;Epsilon;Steps;Wall_Time
0;0.25;1;1648149807.8237712
1;0.25;1;1648149808.9557562
2;0.25;1;1648149813.444996
3;0.25;1;1648149814.0082202
4;0.25;1;1648149817.3792064
5;0.25;1;1648149817.939644
6;0.25;1;1648149820.7503567
7;0.25;1;1648149821.8823314
8;0.25;1;1648149825.8029706
9;0.25;1;1648149826.9280145
10;0.25;1;1648149828.606847
11;0.25;1;1648149832.547056
12;0.25;1;1648149837.081544
13;0.25;1;1648149844.815617
14;0.25;1;1648149848.9235415
15;0.25;1;1648149852.968065
16;0.25;1;1648149861.5942576
17;0.25;1;1648149866.44342
18;0.25;1;1648149874.4271293
19;0.25;1;1648149882.4407008
20;0.25;1;1648149892.5443478
21;0.25;1;1648149913.0261474
22;0.25;1;1648149917.1220117
23;0.25;1;1648149919.197769
24;0.25;1;1648149927.414169
25;0.25;1;1648149948.4536605
26;0.25;1;1648149961.0587232
27;0.25;1;1648149975.770598
28;0.25;1;1648149979.973797
29;0.25;1;1648149984.1795654
30;0.25;1;1648149992.6093068
31;0.25;1;1648149998.9104147
32;0.25;1;1648150001.0225332
33;0.25;1;1648150011.5539503
34;0.25;1;1648150022.088689
35;0.25;1;1648150030.516029
36;0.25;1;1648150032.627771
37;0.25;1;1648150053.6711695
38;0.25;1;1648150062.0758607
39;0.25;1;1648150089.6562438
40;0.25;1;1648150093.9059043
41;0.25;1;1648150102.3078587
42;0.25;1;1648150119.0859902
43;0.25;1;1648150142.1179585
44;0.25;1;1648150144.216059
45;0.25;1;1648150154.6675615
46;0.25;1;1648150158.8434973
47;0.25;1;1648150167.2235208
48;0.25;1;1648150171.4002237
49;0.25;1;1648150196.5104146
50;0.25;1;1648150223.7077863
51;0.25;1;1648150234.170853
52;0.25;1;1648150240.4292967
53;0.25;1;1648150271.8465753
54;0.25;1;1648150282.3226695
55;0.25;1;1648150322.112879
56;0.25;1;1648150334.6870508
57;0.25;1;1648150374.4684148
58;0.25;1;1648150380.7431893
59;0.25;1;1648150391.2119606
60;0.25;1;1648150393.3012683
61;0.25;1;1648150403.7546134
62;0.25;1;1648150407.9330955
63;0.25;1;1648150410.0323894
64;0.25;1;1648150435.1479318
65;0.25;1;1648150456.0728536
66;0.25;1;1648150470.7399518
67;0.25;1;1648150483.311008
68;0.25;1;1648150487.5027444
69;0.25;1;1648150523.020809
70;0.25;1;1648150543.9404066
71;0.25;1;1648150556.509471
72;0.25;1;1648150562.7776582
73;0.25;1;1648150575.3084455
74;0.25;1;1648150583.6796644
75;0.25;1;1648150594.1244388
76;0.25;1;1648150608.8059962
77;0.25;1;1648150623.4730523
78;0.25;1;1648150638.1097622
79;0.25;1;1648150650.6877291
80;0.25;1;1648150669.5103464
81;0.25;1;1648150677.8573656
82;0.25;1;1648150711.3999472
83;0.25;1;1648150734.4311826
84;0.25;1;1648150740.7159755
85;0.25;1;1648150753.2603135
86;0.25;1;1648150770.0239294
87;0.25;1;1648150788.9110029
88;0.25;1;1648150797.3014126
89;0.25;1;1648150805.6937392
90;0.25;1;1648150822.4604647
91;0.25;1;1648150835.0468295
92;0.25;1;1648150837.1387851
93;0.25;1;1648150851.81084
94;0.25;1;1648150868.5379698
95;0.25;1;1648150876.9137897
96;0.25;1;1648150891.5757346
97;0.25;1;1648150904.1356268
98;0.25;1;1648150906.2318811
99;0.25;1;1648150931.3195536
100;0.25;1;1648150943.88285
101;0.25;1;1648150945.9747195
102;0.25;1;1648150964.8198466
103;0.25;1;1648150966.901574
104;0.25;1;1648150968.9996147
105;0.25;1;1648150983.6605577
106;0.25;1;1648150998.3186462
107;0.25;1;1648151021.3979363
108;0.25;1;1648151042.3549936
109;0.25;1;1648151057.012087
110;0.25;1;1648151061.1905885
111;0.25;1;1648151063.2783425
112;0.25;1;1648151086.3075306
113;0.25;1;1648151090.4967306
114;0.25;1;1648151094.685144
115;0.25;1;1648151142.8461363
116;0.25;1;1648151176.3781512
117;0.25;1;1648151180.5685909
118;0.25;1;1648151182.662334
119;0.25;1;1648151230.7974312
120;0.25;1;1648151234.9918654
121;0.25;1;1648151245.4478972
122;0.25;1;1648151270.599723
123;0.25;1;1648151281.0929892
124;0.25;1;1648151285.287064
125;0.25;1;1648151297.8673716
126;0.25;1;1648151304.1734018
127;0.25;1;1648151314.6526194
128;0.25;1;1648151325.1418793
129;0.25;1;1648151331.4246955
130;0.25;1;1648151339.7750087
131;0.25;1;1648151356.4887652
132;0.25;1;1648151394.1997967
133;0.25;1;1648151406.7651837
134;0.25;1;1648151425.61579
135;0.25;1;1648151431.912984
136;0.25;1;1648151452.870183
137;0.25;1;1648151461.258104
138;0.25;1;1648151469.6291306
139;0.25;1;1648151473.8209474
140;0.25;1;1648151478.0074487
141;0.25;1;1648151484.308201
142;0.25;1;1648151509.4622903
143;0.25;1;1648151511.5577645
144;0.25;1;1648151519.9263313
145;0.25;1;1648151528.2969422
146;0.25;1;1648151532.4865646
147;0.25;1;1648151547.1615279
148;0.25;1;1648151549.2609205
149;0.25;1;1648151580.6851234
150;0.25;1;1648151591.175039
151;0.25;1;1648151599.5562913
152;0.25;1;1648151610.0330105
153;0.25;1;1648151624.7166128
154;0.25;1;1648151635.2085614
155;0.25;1;1648151666.6586044
156;0.25;1;1648151683.440834
157;0.25;1;1648151687.6322176
158;0.25;1;1648151700.1672494
159;0.25;1;1648151754.602596
160;0.25;1;1648151788.1158097
161;0.25;1;1648151790.1933248
162;0.25;1;1648151813.1961432
163;0.25;1;1648151844.5744545
164;0.25;1;1648151861.2913542
165;0.25;1;1648151873.8674777
166;0.25;1;1648151907.3750024
167;0.25;1;1648151909.472003
168;0.25;1;1648151919.9643886
169;0.25;1;1648151934.648493
170;0.25;1;1648151957.7112713
171;0.25;1;1648151959.805705
172;0.25;1;1648151972.3676233
173;0.25;1;1648151982.808314
174;0.25;1;1648151986.9916792
175;0.25;1;1648151989.0780158
176;0.25;1;1648151991.1818616
177;0.25;1;1648152001.6684904
178;0.25;1;1648152012.1465492
179;0.25;1;1648152020.5331426
180;0.25;1;1648152060.3790238
181;0.25;1;1648152068.7699924
182;0.25;1;1648152089.6883469
183;0.25;1;1648152114.8401067
184;0.25;1;1648152142.1238067
185;0.25;1;1648152163.0827076
186;0.25;1;1648152190.347404
187;0.25;1;1648152198.7267632
188;0.25;1;1648152236.4542992
189;0.25;1;1648152246.939029
190;0.25;1;1648152255.312289
191;0.25;1;1648152286.6920516
192;0.25;1;1648152309.7073815
193;0.25;1;1648152347.4661553
194;0.25;1;1648152349.5613122
195;0.25;1;1648152399.8129501
196;0.25;1;1648152401.9090722
197;0.25;1;1648152416.590986
198;0.25;1;1648152424.9752972
199;0.25;1;1648152475.2793183
200;0.25;1;1648152481.5679486
201;0.25;1;1648152485.7648745
202;0.25;1;1648152492.0360372
203;0.25;1;1648152498.3168812
204;0.25;1;1648152502.4983196
205;0.25;1;1648152523.4583743
206;0.25;1;1648152529.7368736
207;0.25;1;1648152538.1243553
208;0.25;1;1648152546.4995432
209;0.25;1;1648152567.4519992
210;0.25;1;1648152609.3563275
211;0.25;1;1648152619.8441331
212;0.25;1;1648152628.2443306
213;0.25;1;1648152640.7910326
214;0.25;1;1648152647.0707304
215;0.25;1;1648152649.1629763
216;0.25;1;1648152653.3200781
217;0.25;1;1648152672.1830552
218;0.25;1;1648152695.2708507
219;0.25;1;1648152705.757529
220;0.25;1;1648152709.9456565
221;0.25;1;1648152747.6203833
222;0.25;1;1648152753.8969915
223;0.25;1;1648152768.5661657
224;0.25;1;1648152779.0557227
225;0.25;1;1648152785.3257835
226;0.25;1;1648152787.41534
227;0.25;1;1648152789.5073886
228;0.25;1;1648152802.049345
229;0.25;1;1648152806.23266
230;0.25;1;1648152812.5250182
231;0.25;1;1648152835.5937316
232;0.25;1;1648152843.9686596
233;0.25;1;1648152866.9876611
234;0.25;1;1648152875.3516133
235;0.25;1;1648152879.5355449
236;0.25;1;1648152881.6204138
237;0.25;1;1648152915.1059606
238;0.25;1;1648152925.554802
239;0.25;1;1648152961.0680232
240;0.25;1;1648152969.4420247
241;0.25;1;1648152979.9165936
242;0.25;1;1648152998.7381175
243;0.25;1;1648153000.8256207
244;0.25;1;1648153002.9188762
245;0.25;1;1648153034.2924154
246;0.25;1;1648153048.9740846
247;0.25;1;1648153067.780167
248;0.25;1;1648153071.956233
249;0.25;1;1648153086.5726337
250;0.25;1;1648153099.0907142
251;0.25;1;1648153105.3663971
252;0.25;1;1648153109.547023
253;0.25;1;1648153117.9058282
254;0.25;1;1648153120.0003018
255;0.25;1;1648153122.0806816
256;0.25;1;1648153126.2728555
257;0.25;1;1648153161.796625
258;0.25;1;1648153188.9124777
259;0.25;1;1648153199.3594515
260;0.25;1;1648153213.9564486
261;0.25;1;1648153220.222468
262;0.25;1;1648153222.3088167
263;0.25;1;1648153234.837743
264;0.25;1;1648153243.1827042
265;0.25;1;1648153249.4429696
266;0.25;1;1648153257.8400805
267;0.25;1;1648153262.0427487
268;0.25;1;1648153264.132009
269;0.25;1;1648153291.3487372
270;0.25;1;1648153337.5497003
271;0.25;1;1648153356.4338403
272;0.25;1;1648153362.72873
273;0.25;1;1648153364.8247755
274;0.25;1;1648153377.4288828
275;0.25;1;1648153387.9307451
276;0.25;1;1648153396.3404756
277;0.25;1;1648153402.6214874
278;0.25;1;1648153419.4430187
279;0.25;1;1648153440.3949122
280;0.25;1;1648153442.5000074
281;0.25;1;1648153446.6925218
282;0.25;1;1648153457.1787155
283;0.25;1;1648153463.4754653
284;0.25;1;1648153471.822668
285;0.25;1;1648153480.2247152
286;0.25;1;1648153501.2326329
287;0.25;1;1648153526.424223
288;0.25;1;1648153538.9843786
289;0.25;1;1648153557.8976915
290;0.25;1;1648153589.393943
291;0.25;1;1648153599.8875558
292;0.25;1;1648153606.197452
293;0.25;1;1648153631.3920274
294;0.25;1;1648153635.5983124
295;0.25;1;1648153637.694023
296;0.25;1;1648153677.5834503
297;0.25;1;1648153685.984465
298;0.25;1;1648153690.184543
299;0.25;1;1648153711.152866
300;0.25;1;1648153723.7333605
301;0.25;1;1648153730.039213
302;0.25;1;1648153734.2347097
303;0.25;1;1648153759.426863
