;LR;Steps;Wall_Time
0;9.98500909190625e-05;1;1648150609.9374373
1;9.979018796002492e-05;1;1648150612.7776868
2;9.955094719771296e-05;1;1648150624.0397942
3;9.952107939170673e-05;1;1648150625.5325649
4;9.93718858808279e-05;1;1648150632.4957094
5;9.93420762824826e-05;1;1648150633.994074
6;9.93122739600949e-05;1;1648150635.410336
7;9.916339331539348e-05;1;1648150642.589949
8;9.910390508593991e-05;1;1648150645.5801127
9;9.889597276924178e-05;1;1648150656.048718
10;9.883664461085573e-05;1;1648150659.0432153
11;9.874771785689518e-05;1;1648150663.554716
12;9.85405349638313e-05;1;1648150674.0558665
13;9.848141780821607e-05;1;1648150677.079779
14;9.845187742030248e-05;1;1648150678.5698018
15;9.833378862822428e-05;1;1648150684.5994856
16;9.8039185104426e-05;1;1648150699.6592107
17;9.795097139431164e-05;1;1648150704.186286
18;9.786284499568865e-05;1;1648150708.7218635
19;9.768682502908632e-05;1;1648150717.7531943
20;9.759893146110699e-05;1;1648150722.2554796
21;9.748186857905239e-05;1;1648150728.283603
22;9.736493666423485e-05;1;1648150734.1654787
23;9.721898095449433e-05;1;1648150741.6592824
24;9.718981164041907e-05;1;1648150743.1701105
25;9.692771709524095e-05;2;1648150797.0905821
26;9.68695676419884e-05;2;1648150799.9572997
27;9.684050746727735e-05;2;1648150801.4591608
28;9.672435407992452e-05;2;1648150807.0947914
29;9.643456724006683e-05;2;1648150821.5517483
30;9.626111568650231e-05;2;1648150830.2988162
31;9.60591496550478e-05;2;1648150840.7989335
32;9.600152407074347e-05;2;1648150843.7988975
33;9.594393486622721e-05;2;1648150846.8938656
34;9.582885104464367e-05;2;1648150852.9320066
35;9.57426309469156e-05;2;1648150857.4458597
36;9.57139054662548e-05;2;1648150858.9640396
37;9.55704235821031e-05;2;1648150866.4714553
38;9.542715270072222e-05;2;1648150873.9813006
39;9.53126946114935e-05;2;1648150879.9692338
40;9.528410009806976e-05;2;1648150881.4732468
41;9.511271491646767e-05;2;1648150890.4940085
42;9.499863517703488e-05;2;1648150896.5278974
43;9.488468640483916e-05;2;1648150902.537284
44;9.45153005886823e-05;2;1648150922.1248715
45;9.445859905099496e-05;2;1648150925.1554568
46;9.43452978390269e-05;2;1648150931.1625223
47;9.414735541213304e-05;3;1648150982.0467038
48;9.411911014467478e-05;3;1648150983.447639
49;9.409087215317413e-05;3;1648150984.9591079
50;9.386528836330399e-05;3;1648150996.271665
51;9.380897972732782e-05;3;1648150999.1991255
52;9.378083632327616e-05;3;1648151000.6196654
53;9.37245786190033e-05;3;1648151003.5554125
54;9.364025027025491e-05;3;1648151007.8811839
55;9.35840726015158e-05;3;1648151010.7285125
56;9.352793131256476e-05;3;1648151013.732006
57;9.347182640340179e-05;3;1648151016.745283
58;9.341575059806928e-05;3;1648151019.7599337
59;9.327571024186909e-05;3;1648151027.1429484
60;9.30800088099204e-05;3;1648151037.6604242
61;9.271765156881884e-05;3;1648151057.1926403
62;9.257865895051509e-05;3;1648151064.7101815
63;9.249536378774792e-05;3;1648151069.213051
64;9.208000119542703e-05;3;1648151091.8307166
65;9.194196900352836e-05;3;1648151099.4500833
66;9.177659376291558e-05;3;1648151108.477731
67;9.147418313659728e-05;3;1648151125.0687556
68;9.14193078642711e-05;3;1648151128.0823896
69;9.125487849814817e-05;4;1648151177.3244698
70;9.120013419305906e-05;4;1648151180.1691267
71;9.073612454812974e-05;4;1648151204.9392028
72;9.068169310921803e-05;4;1648151207.9420235
73;9.06544883036986e-05;4;1648151209.4421115
74;9.051858796738088e-05;4;1648151216.946453
75;9.049143409356475e-05;4;1648151218.4790337
76;9.035578113980591e-05;4;1648151225.9960008
77;9.030157525558025e-05;4;1648151229.0165029
78;9.027447958942503e-05;4;1648151230.5131643
79;8.995003008749336e-05;4;1648151248.57068
80;8.968054316937923e-05;4;1648151263.4897954
81;8.949238690547645e-05;4;1648151274.010995
82;8.943869761424139e-05;4;1648151277.0273683
83;8.93850447027944e-05;4;1648151280.0366764
84;8.933142089517787e-05;4;1648151283.048822
85;8.92778261913918e-05;4;1648151286.0561523
86;8.90103547135368e-05;4;1648151301.0384605
87;8.893026824807748e-05;4;1648151305.5594013
88;8.882360270945355e-05;4;1648151311.5534422
89;8.855749183567241e-05;5;1648151366.8830109
90;8.83982065715827e-05;5;1648151375.4392364
91;8.8371685706079e-05;5;1648151376.8585324
92;8.831867307890207e-05;5;1648151379.6769032
93;8.81598170963116e-05;5;1648151388.508595
94;8.805407560430467e-05;5;1648151394.623807
95;8.792207518126816e-05;5;1648151402.1499832
96;8.773760055191815e-05;5;1648151412.7079163
97;8.755351882427931e-05;5;1648151423.2626257
98;8.736982272239402e-05;5;1648151433.7679496
99;8.726502710487694e-05;5;1648151439.7649612
100;8.721267658984289e-05;5;1648151442.775278
101;8.69774812599644e-05;5;1648151456.3154228
102;8.687315857969224e-05;5;1648151462.340857
103;8.645710477139801e-05;5;1648151486.4023309
