;grad_norm_clipped;Steps;Wall_Time
0;1.0;0;1647954867.109731
1;1.0;512000;1647954878.0866368
2;1.0;1024000;1647954885.861493
3;1.0;1536000;1647954894.1995099
4;1.0;2048000;1647954902.6901731
5;1.0;2560000;1647954912.8019078
6;1.0;3072000;1647954922.880441
7;1.0;3584000;1647954932.8933702
8;1.0;4096000;1647954943.1133409
9;1.0;4608000;1647954953.2301803
10;1.0;5120000;1647954963.5429058
11;1.0;5632000;1647954973.7190502
12;1.0;6144000;1647954983.7617297
13;1.0;6656000;1647954993.7935677
14;1.0;7168000;1647955003.8718448
15;1.0;7680000;1647955013.9024935
16;1.0;8192000;1647955024.1240985
17;1.0;8704000;1647955034.17521
18;1.0;9216000;1647955044.2265546
19;1.0;9728000;1647955054.2813444
20;1.0;10240000;1647955064.3255894
21;1.0;10752000;1647955074.3871562
22;1.0;11264000;1647955084.4292696
23;1.0;11776000;1647955094.4621916
24;1.0;12288000;1647955104.6624932
25;1.0;12800000;1647955114.7309506
26;1.0;13312000;1647955124.781299
27;1.0;13824000;1647955134.8500698
28;1.0;14336000;1647955144.900882
29;1.0;14848000;1647955154.9553144
30;1.0;15360000;1647955165.1823032
31;1.0;15872000;1647955175.2184863
32;1.0;16384000;1647955185.589011
33;1.0;16896000;1647955195.6326964
34;1.0;17408000;1647955205.8225305
35;1.0;17920000;1647955215.8740788
36;1.0;18432000;1647955225.933565
37;1.0;18944000;1647955235.9597208
38;1.0;19456000;1647955246.031315
39;1.0;19968000;1647955256.0984519
40;1.0;20480000;1647955266.1578999
41;1.0;20992000;1647955276.240142
42;1.0;21504000;1647955286.4753146
43;1.0;22016000;1647955296.5404224
44;1.0;22528000;1647955306.9410937
45;1.0;23040000;1647955317.347997
46;1.0;23552000;1647955327.4047148
47;1.0;24064000;1647955337.4639575
48;1.0;24576000;1647955347.5141082
49;1.0;25088000;1647955356.954808
50;1.0;25600000;1647955374.0812826
51;1.0;26112000;1647955382.5654116
52;1.0;26624000;1647955392.6267354
53;1.0;27136000;1647955401.5726864
54;1.0;27648000;1647955411.521859
55;1.0;28160000;1647955421.9274025
56;1.0;28672000;1647955431.9497848
57;1.0;29184000;1647955441.9216602
58;1.0;29696000;1647955451.978088
59;1.0;30208000;1647955461.9985666
60;1.0;30720000;1647955472.0056336
61;1.0;31232000;1647955482.0094168
62;1.0;31744000;1647955492.0465932
63;1.0;32256000;1647955502.2281938
64;1.0;32768000;1647955512.4000716
65;1.0;33280000;1647955522.7743936
66;1.0;33792000;1647955532.876009
67;1.0;34304000;1647955543.0676107
68;1.0;34816000;1647955553.3124876
69;1.0;35328000;1647955563.5744221
70;1.0;35840000;1647955573.772278
71;1.0;36352000;1647955584.1527514
72;1.0;36864000;1647955594.2296634
73;1.0;37376000;1647955604.2973816
74;1.0;37888000;1647955614.3575692
75;1.0;38400000;1647955624.4191518
76;1.0;38912000;1647955634.4907749
77;1.0;39424000;1647955644.5542443
78;1.0;39936000;1647955654.6123385
79;1.0;40448000;1647955664.675179
80;1.0;40960000;1647955674.890018
81;1.0;41472000;1647955685.0875833
