;learnrate_pg0;Steps;Wall_Time
0;9.999999747378752e-05;0;1647954873.7190728
1;9.999999747378752e-05;2500;1647955374.8040826
2;9.999999747378752e-05;5000;1647955879.1956832
3;9.999999747378752e-05;7500;1647956386.1952279
4;9.999999747378752e-05;10000;1647956891.8104303
5;9.999999747378752e-05;12500;1647957396.8602595
6;9.999999747378752e-05;15000;1647957902.623383
7;9.999999747378752e-05;17500;1647958406.6923323
8;9.999999747378752e-05;20000;1647958912.8877177
9;9.999999747378752e-05;22500;1647959419.1174448
10;9.999999747378752e-05;25000;1647959925.7391033
11;9.999999747378752e-05;27500;1647960432.1021316
12;9.999999747378752e-05;30000;1647960938.041718
13;9.999999747378752e-05;32500;1647961445.9448621
14;9.999999747378752e-05;35000;1647961951.9391336
15;9.999999747378752e-05;37500;1647962454.5402257
16;9.999999747378752e-05;40000;1647962960.9926062
17;9.999999747378752e-05;42500;1647963466.688307
18;9.999999747378752e-05;45000;1647963973.5982559
19;9.999999747378752e-05;47500;1647964479.8210819
20;9.999999747378752e-05;50000;1647964985.280478
21;9.999999747378752e-05;52500;1647965491.2888844
22;9.999999747378752e-05;55000;1647965994.310424
23;9.999999747378752e-05;57500;1647966498.0842195
24;9.999999747378752e-05;60000;1647967001.396186
25;9.999999747378752e-05;62500;1647967503.8350666
26;9.999999747378752e-05;65000;1647968005.4115276
27;9.999999747378752e-05;67500;1647968508.4927602
28;9.999999747378752e-05;70000;1647969011.1016915
29;9.999999747378752e-05;72500;1647969514.6136916
30;9.999999747378752e-05;75000;1647970018.380949
31;9.999999747378752e-05;77500;1647970519.7248354
32;9.999999747378752e-05;80000;1647971027.586432
33;9.999999747378752e-05;82500;1647971530.0344508
34;9.999999747378752e-05;85000;1647972032.06884
35;9.999999747378752e-05;87500;1647972535.7071378
36;9.999999747378752e-05;90000;1647973039.3650486
37;9.999999747378752e-05;92500;1647973542.034467
38;9.999999747378752e-05;95000;1647974044.6888196
39;9.999999747378752e-05;97500;1647974548.0485244
40;9.999999747378752e-05;100000;1647975049.694388
41;9.999999747378752e-05;102500;1647975554.0236607
42;9.999999747378752e-05;105000;1647976056.1846821
43;9.999999747378752e-05;107500;1647976559.8099217
44;9.999999747378752e-05;110000;1647977064.7546825
45;9.999999747378752e-05;112500;1647977568.617302
46;9.999999747378752e-05;115000;1647978072.6806169
47;9.999999747378752e-05;117500;1647978577.6118178
48;9.999999747378752e-05;120000;1647979079.079393
49;9.999999747378752e-05;122500;1647979583.0321689
50;9.999999747378752e-05;125000;1647980088.8315065
51;9.999999747378752e-05;127500;1647980592.606591
52;9.999999747378752e-05;130000;1647981096.6995895
53;9.999999747378752e-05;132500;1647981601.6288164
54;9.999999747378752e-05;135000;1647982105.7573552
55;9.999999747378752e-05;137500;1647982610.2271404
56;9.999999747378752e-05;140000;1647983114.869846
57;9.999999747378752e-05;142500;1647983620.421952
58;9.999999747378752e-05;145000;1647984125.3838387
59;9.999999747378752e-05;147500;1647984634.9164162
60;9.999999747378752e-05;150000;1647985139.123808
61;9.999999747378752e-05;152500;1647985641.5596192
62;9.999999747378752e-05;155000;1647986145.2932293
63;9.999999747378752e-05;157500;1647986650.2498713
64;9.999999747378752e-05;160000;1647987158.127544
65;9.999999747378752e-05;162500;1647987662.2443464
66;9.999999747378752e-05;165000;1647988166.1966012
67;9.999999747378752e-05;167500;1647988670.1274893
68;9.999999747378752e-05;170000;1647989179.0611541
69;9.999999747378752e-05;172500;1647989682.9884675
70;9.999999747378752e-05;175000;1647990184.8862119
71;9.999999747378752e-05;177500;1647990686.3540616
72;9.999999747378752e-05;180000;1647991190.1380167
73;9.999999747378752e-05;182500;1647991695.5329897
74;9.999999747378752e-05;185000;1647992204.3666985
75;9.999999747378752e-05;187500;1647992710.3701544
76;9.999999747378752e-05;190000;1647993214.65084
77;9.999999747378752e-05;192500;1647993717.9978724
78;9.999999747378752e-05;195000;1647994221.3173313
79;9.999999747378752e-05;197500;1647994727.3216043
80;9.999999747378752e-05;200000;1647995230.8093965
81;9.999999747378752e-05;202500;1647995733.5917263
82;9.999999747378752e-05;205000;1647996235.7928624
83;9.999999747378752e-05;207500;1647996740.8551426
84;9.999999747378752e-05;210000;1647997242.9796345
85;9.999999747378752e-05;212500;1647997747.0691931
86;9.999999747378752e-05;215000;1647998251.098578
87;9.999999747378752e-05;217500;1647998754.1027436
88;9.999999747378752e-05;220000;1647999257.3478093
89;9.999999747378752e-05;222500;1647999761.2597365
90;9.999999747378752e-05;225000;1648000264.9568856
91;9.999999747378752e-05;227500;1648000768.5325017
92;9.999999747378752e-05;230000;1648001271.6692212
93;9.999999747378752e-05;232500;1648001775.3441494
94;9.999999747378752e-05;235000;1648002278.8744035
95;9.999999747378752e-05;237500;1648002782.050607
96;9.999999747378752e-05;240000;1648003284.6885533
97;9.999999747378752e-05;242500;1648003788.016827
98;9.999999747378752e-05;245000;1648004290.9118876
99;9.999999747378752e-05;247500;1648004794.5881026
