;test/length;Steps;Wall_Time
0;20.0;0;1648293938.9924872
1;20.0;64000;1648294169.9657917
2;20.0;128000;1648294413.2343163
3;20.0;192000;1648294644.4628954
4;20.0;256000;1648294842.498827
5;20.0;320000;1648295076.920663
6;20.0;384000;1648295320.7731168
7;20.0;448000;1648295571.8663256
8;20.0;512000;1648295831.4361696
9;20.0;576000;1648296089.4874678
10;20.0;640000;1648296346.2997954
11;20.0;704000;1648296602.8792996
12;20.0;768000;1648296857.4632084
13;20.0;832000;1648297106.8035343
14;20.0;896000;1648297364.0699217
15;20.0;960000;1648297614.821572
16;20.0;1024000;1648297848.8505394
17;20.0;1088000;1648298106.1162045
18;20.0;1152000;1648298363.6851127
19;20.0;1216000;1648298615.2762501
20;20.0;1280000;1648298874.6543674
21;20.0;1344000;1648299132.3219855
22;20.0;1408000;1648299392.3551831
23;20.0;1472000;1648299650.4509625
24;20.0;1536000;1648299904.7511983
25;20.0;1600000;1648300155.568019
26;20.0;1664000;1648300411.5424535
27;20.0;1728000;1648300669.0201082
28;20.0;1792000;1648300925.622678
29;20.0;1856000;1648301181.7443357
30;20.0;1920000;1648301442.587189
31;20.0;1984000;1648301687.0206409
32;20.0;2048000;1648301944.8164313
33;20.0;2112000;1648302202.2966855
34;20.0;2176000;1648302458.9873006
35;20.0;2240000;1648302715.5674622
36;20.0;2304000;1648302973.2078984
37;20.0;2368000;1648303230.840282
38;20.0;2432000;1648303486.5718367
39;20.0;2496000;1648303739.3858378
40;20.0;2560000;1648303990.0675833
41;20.0;2624000;1648304246.7796643
42;20.0;2688000;1648304503.8014877
43;20.0;2752000;1648304761.6198394
44;20.0;2816000;1648305024.8038514
45;20.0;2880000;1648305280.106114
46;20.0;2944000;1648305532.2133791
47;20.0;3008000;1648305782.4881208
48;20.0;3072000;1648306013.1783595
49;20.0;3136000;1648306259.068521
50;20.0;3200000;1648306515.6045306
51;20.0;3264000;1648306772.7441814
52;20.0;3328000;1648307028.7076254
53;20.0;3392000;1648307276.1982827
54;20.0;3456000;1648307531.8928127
55;20.0;3520000;1648307777.192324
56;20.0;3584000;1648308032.0099585
57;20.0;3648000;1648308289.6755888
58;20.0;3712000;1648308546.1797256
59;20.0;3776000;1648308789.2537236
60;20.0;3840000;1648309047.270615
61;20.0;3904000;1648309304.562193
62;20.0;3968000;1648309561.4514043
63;20.0;4032000;1648309818.5889544
64;20.0;4096000;1648310073.7180543
65;20.0;4160000;1648310330.3285718
66;20.0;4224000;1648310587.047699
67;20.0;4288000;1648310842.102918
68;20.0;4352000;1648311090.3448384
69;20.0;4416000;1648311347.4393647
70;20.0;4480000;1648311596.768834
71;20.0;4544000;1648311848.4010262
72;20.0;4608000;1648312108.440397
73;20.0;4672000;1648312361.545328
74;20.0;4736000;1648312611.1081982
75;20.0;4800000;1648312868.744948
76;20.0;4864000;1648313123.5037005
77;20.0;4928000;1648313380.9248984
78;20.0;4992000;1648313634.5158987
79;20.0;5056000;1648313889.876114
80;20.0;5120000;1648314149.456309
81;20.0;5184000;1648314404.4245405
82;20.0;5248000;1648314661.628803
83;20.0;5312000;1648314916.2943292
84;20.0;5376000;1648315169.3966613
85;20.0;5440000;1648315423.4181743
86;20.0;5504000;1648315668.192618
87;20.0;5568000;1648315918.853512
88;20.0;5632000;1648316174.7690194
89;20.0;5696000;1648316433.814503
90;20.0;5760000;1648316688.8428285
91;20.0;5824000;1648316946.1007645
92;20.0;5888000;1648317204.82704
93;20.0;5952000;1648317453.5411074
94;20.0;6016000;1648317709.0964553
95;20.0;6080000;1648317959.4607122
96;20.0;6144000;1648318214.4773817
97;20.0;6208000;1648318457.67822
98;20.0;6272000;1648318715.010338
99;20.0;6336000;1648318971.7645428
100;20.0;6400000;1648319228.0493336
101;20.0;6464000;1648319479.5124037
102;20.0;6528000;1648319734.253142
103;20.0;6592000;1648319987.2150373
104;20.0;6656000;1648320238.6722012
