;test/length_std;Steps;Wall_Time
0;0.0;0;1647713450.848908
1;0.0;64000;1647713725.9138224
2;0.0;128000;1647714001.423744
3;0.0;192000;1647714277.203233
4;0.0;256000;1647714552.5326355
5;0.0;320000;1647714828.1892636
6;0.0;384000;1647715103.3946443
7;0.0;448000;1647715378.5483594
8;0.0;512000;1647715654.2773573
9;0.0;576000;1647715929.9610424
10;0.0;640000;1647716205.9693522
11;0.0;704000;1647716480.5764413
12;0.0;768000;1647716754.2964787
13;0.0;832000;1647717028.7996917
14;0.0;896000;1647717303.5320616
15;0.0;960000;1647717578.1864982
16;0.0;1024000;1647717853.2618532
17;0.0;1088000;1647718128.0993161
18;0.0;1152000;1647718402.1335075
19;0.0;1216000;1647718677.250306
20;0.0;1280000;1647718952.4309795
21;0.0;1344000;1647719227.5140588
22;0.0;1408000;1647719502.5442264
23;0.0;1472000;1647719813.0139112
24;0.0;1536000;1647720156.8735065
25;0.0;1600000;1647720437.3945022
26;0.0;1664000;1647720717.1551735
27;0.0;1728000;1647720997.552377
28;0.0;1792000;1647721277.3846476
29;0.0;1856000;1647721556.907111
30;0.0;1920000;1647721837.433059
31;0.0;1984000;1647722117.91055
32;0.0;2048000;1647722398.7148132
33;0.0;2112000;1647722679.1982906
34;0.0;2176000;1647722959.1367207
35;0.0;2240000;1647723239.7179918
36;0.0;2304000;1647723520.1551766
37;0.0;2368000;1647723800.84385
38;0.0;2432000;1647724081.6008968
39;0.0;2496000;1647724362.2957513
40;0.0;2560000;1647724642.9121315
41;0.0;2624000;1647724923.390117
42;0.0;2688000;1647725204.1378107
43;0.0;2752000;1647725484.5726392
44;0.0;2816000;1647725764.7077494
45;0.0;2880000;1647726043.8550458
46;0.0;2944000;1647726323.1023839
47;0.0;3008000;1647726601.4862728
48;0.0;3072000;1647726880.361269
49;0.0;3136000;1647727159.3264816
50;0.0;3200000;1647727438.5034404
51;0.0;3264000;1647727718.599257
52;0.0;3328000;1647727998.584964
53;0.0;3392000;1647728278.484481
54;0.0;3456000;1647728558.4073968
55;0.0;3520000;1647728837.1874642
56;0.0;3584000;1647729117.0830414
57;0.0;3648000;1647729397.0751936
58;0.0;3712000;1647729675.5374446
59;0.0;3776000;1647729955.5146081
60;0.0;3840000;1647730235.7189584
61;0.0;3904000;1647730515.7082627
62;0.0;3968000;1647730795.7529004
63;0.0;4032000;1647731075.591593
64;0.0;4096000;1647731355.3826685
65;0.0;4160000;1647731634.7108378
66;0.0;4224000;1647731914.7306192
67;0.0;4288000;1647732194.65422
68;0.0;4352000;1647732474.513101
69;0.0;4416000;1647732754.4647162
70;0.0;4480000;1647733034.4775689
71;0.0;4544000;1647733314.5141459
72;0.0;4608000;1647733594.3833675
73;0.0;4672000;1647733874.765869
74;0.0;4736000;1647734155.1416636
75;0.0;4800000;1647734435.4593003
76;0.0;4864000;1647734715.926358
77;0.0;4928000;1647734996.338201
78;0.0;4992000;1647735276.7558484
79;0.0;5056000;1647735557.0590284
80;0.0;5120000;1647735837.4217012
81;0.0;5184000;1647736117.8998141
82;0.0;5248000;1647736398.1112037
83;0.0;5312000;1647736677.7288265
84;0.0;5376000;1647736957.2738068
85;0.0;5440000;1647737236.898642
86;0.0;5504000;1647737516.6251369
87;0.0;5568000;1647737796.2109747
88;0.0;5632000;1647738075.8131752
89;0.0;5696000;1647738355.3609571
90;0.0;5760000;1647738634.8705068
91;0.0;5824000;1647738914.5532007
92;0.0;5888000;1647739194.0970938
93;0.0;5952000;1647739473.767597
94;0.0;6016000;1647739753.257189
95;0.0;6080000;1647740032.8241994
96;0.0;6144000;1647740312.2232249
97;0.0;6208000;1647740591.851479
98;0.0;6272000;1647740871.582018
99;0.0;6336000;1647741130.0102153
