;test/reward;Steps;Wall_Time
0;-10.430618286132812;0;1647719755.052401
1;-10.236729621887207;64000;1647720111.1717637
2;-9.998390197753906;128000;1647720389.2616715
3;-10.069823265075684;192000;1647720666.8962846
4;-9.98623275756836;256000;1647720945.0120013
5;-9.946249008178711;320000;1647721223.1916425
6;-9.901426315307617;384000;1647721501.530058
7;-9.709118843078613;448000;1647721779.551393
8;-9.619017601013184;512000;1647722057.6952612
9;-9.461440086364746;576000;1647722335.567098
10;-9.323891639709473;640000;1647722613.6998935
11;-9.058319091796875;704000;1647722891.6276457
12;-9.115696907043457;768000;1647723169.2172647
13;-8.98299789428711;832000;1647723446.985924
14;-8.707219123840332;896000;1647723724.5599668
15;-8.605947494506836;960000;1647724002.177239
16;-8.475421905517578;1024000;1647724279.3037486
17;-8.442289352416992;1088000;1647724556.7581577
18;-8.234546661376953;1152000;1647724834.2225513
19;-8.250772476196289;1216000;1647725111.6786692
20;-8.070306777954102;1280000;1647725389.278616
21;-8.04725170135498;1344000;1647725666.7684517
22;-8.105032920837402;1408000;1647725944.7235694
23;-8.154593467712402;1472000;1647726222.9417987
24;-8.133282661437988;1536000;1647726502.0899608
25;-8.108366966247559;1600000;1647726781.1217804
26;-8.058187484741211;1664000;1647727060.2754457
27;-8.218595504760742;1728000;1647727339.0548747
28;-8.06869125366211;1792000;1647727616.802397
29;-8.129592895507812;1856000;1647727895.4431152
30;-8.23306655883789;1920000;1647728174.04735
31;-8.160811424255371;1984000;1647728452.6488156
32;-8.124062538146973;2048000;1647728731.78363
33;-8.070296287536621;2112000;1647729010.6426241
34;-7.79277229309082;2176000;1647729289.4781358
35;-7.6645355224609375;2240000;1647729568.5692306
36;-7.5820631980896;2304000;1647729847.47889
37;-7.51013708114624;2368000;1647730126.401978
38;-7.299838066101074;2432000;1647730405.2000203
39;-7.317579746246338;2496000;1647730683.9502816
40;-7.094494819641113;2560000;1647730962.9161775
41;-6.9619574546813965;2624000;1647731241.768593
42;-6.874273777008057;2688000;1647731520.7142355
43;-6.847009181976318;2752000;1647731799.619177
44;-6.777561187744141;2816000;1647732078.5489228
45;-6.580731391906738;2880000;1647732357.5862343
46;-6.568305492401123;2944000;1647732636.4388995
47;-6.559524059295654;3008000;1647732915.295418
48;-6.4336724281311035;3072000;1647733193.8424711
49;-6.50547456741333;3136000;1647733472.3977208
50;-6.409407138824463;3200000;1647733749.3772705
51;-6.557461261749268;3264000;1647734025.8196957
52;-6.430671215057373;3328000;1647734304.2017074
53;-6.391489505767822;3392000;1647734582.7284198
54;-6.239964962005615;3456000;1647734861.2790809
55;-6.232449531555176;3520000;1647735139.85901
56;-6.153022766113281;3584000;1647735418.4140728
57;-6.265169620513916;3648000;1647735696.8247309
58;-6.244121551513672;3712000;1647735975.3089824
59;-6.21658182144165;3776000;1647736253.2317004
60;-6.141695022583008;3840000;1647736531.402249
61;-6.248542785644531;3904000;1647736809.5036306
62;-6.149685382843018;3968000;1647737087.7147667
63;-6.065748691558838;4032000;1647737365.8733823
64;-6.135340213775635;4096000;1647737643.789728
65;-6.064250946044922;4160000;1647737922.041412
66;-6.027052879333496;4224000;1647738199.971714
67;-6.021263599395752;4288000;1647738477.986779
68;-5.978170394897461;4352000;1647738756.2455063
69;-6.044278621673584;4416000;1647739034.3072562
70;-6.036510467529297;4480000;1647739312.5258687
71;-6.030423164367676;4544000;1647739590.8456724
72;-5.939384460449219;4608000;1647739869.2880611
73;-5.945965766906738;4672000;1647740147.5711439
74;-5.924763202667236;4736000;1647740425.813066
75;-5.85592794418335;4800000;1647740703.7880363
76;-5.830581188201904;4864000;1647740982.0245488
77;-5.961843490600586;4928000;1647741201.8790402
78;-5.753060817718506;4992000;1647741344.8535063
79;-5.845335960388184;5056000;1647741424.2424927
80;-5.837972640991211;5120000;1647741503.5845003
81;-5.743555545806885;5184000;1647741583.0991306
82;-5.799079895019531;5248000;1647741662.6807232
83;-5.834272861480713;5312000;1647741742.2147384
84;-5.7151198387146;5376000;1647741821.6352136
85;-5.729104042053223;5440000;1647741901.0777023
86;-5.727973937988281;5504000;1647741980.7510498
87;-5.679447650909424;5568000;1647742060.1226683
88;-5.629814147949219;5632000;1647742139.5561867
89;-5.683187961578369;5696000;1647742219.0720031
90;-5.636804103851318;5760000;1647742298.5748339
91;-5.552334785461426;5824000;1647742377.9539042
92;-5.55454683303833;5888000;1647742457.4410708
93;-5.558135986328125;5952000;1647742536.734529
94;-5.551093101501465;6016000;1647742613.2666194
95;-5.565014362335205;6080000;1647742689.808993
96;-5.509765148162842;6144000;1647742766.3169684
97;-5.6111016273498535;6208000;1647742842.8528476
98;-5.560492515563965;6272000;1647742919.3588629
99;-5.502948760986328;6336000;1647742996.0058725
