;train/episode;Steps;Wall_Time
0;32.0;1280;1647613995.5032241
1;32.0;2560;1647613998.3072839
2;32.0;3840;1647614001.1131272
3;32.0;5120;1647614003.904981
4;32.0;6400;1647614006.702063
5;32.0;7680;1647614009.4987726
6;32.0;8960;1647614012.296142
7;32.0;10240;1647614015.097813
8;32.0;11520;1647614017.89389
9;32.0;12800;1647614020.6852973
10;32.0;14080;1647614023.4946203
11;32.0;15360;1647614026.2945964
12;32.0;16640;1647614029.0883095
13;32.0;17920;1647614031.8817303
14;32.0;19200;1647614034.6877918
15;32.0;20480;1647614037.474889
16;32.0;21760;1647614040.2920434
17;32.0;23040;1647614043.0971117
18;32.0;24320;1647614045.8945222
19;32.0;25600;1647614048.6813817
20;32.0;26880;1647614051.482295
21;32.0;28160;1647614054.2820332
22;32.0;29440;1647614057.0685847
23;32.0;30720;1647614059.8727932
24;32.0;32000;1647614062.6825874
25;32.0;33280;1647614065.4716992
26;32.0;34560;1647614068.2661166
27;32.0;35840;1647614071.0512033
28;32.0;37120;1647614073.8532484
29;32.0;38400;1647614076.6419444
30;32.0;39680;1647614079.4388452
31;32.0;40960;1647614082.23532
32;32.0;42240;1647614085.0446784
33;32.0;43520;1647614087.852363
34;32.0;44800;1647614090.6413136
35;32.0;46080;1647614093.447951
36;32.0;47360;1647614096.2361343
37;32.0;48640;1647614099.0430453
38;32.0;49920;1647614101.8249187
