;train/reward;Steps;Wall_Time
0;-10.256535530090332;3840;1648150611.2065642
1;-10.496867179870605;7680;1648150619.6089003
2;-10.636041641235352;10240;1648150625.4314995
3;-10.439148902893066;14080;1648150633.8933077
4;-10.266654968261719;20480;1648150648.465103
5;-10.722367286682129;21760;1648150651.455344
6;-10.26852798461914;23040;1648150654.4607334
7;-10.475933074951172;28160;1648150666.453376
8;-10.058298110961914;29440;1648150669.4542139
9;-10.215843200683594;30720;1648150672.445392
10;-10.203730583190918;37120;1648150687.522025
11;-10.446393013000488;39680;1648150693.5523713
12;-10.468993186950684;42240;1648150699.5550756
13;-10.19548225402832;48640;1648150714.6587267
14;-10.351605415344238;51200;1648150720.6562285
15;-10.290445327758789;55040;1648150729.6895282
16;-10.66712760925293;64000;1648150750.551667
17;-10.228487014770508;66560;1648150796.9918463
18;-10.165548324584961;67840;1648150799.8552666
19;-10.432510375976562;72960;1648150811.3395185
20;-10.086945533752441;78080;1648150822.8620296
21;-10.66204833984375;81920;1648150831.7030392
22;-10.409774780273438;85760;1648150840.7028863
23;-10.149943351745605;87040;1648150843.7023022
24;-9.61543083190918;89600;1648150849.8048575
25;-9.91573429107666;93440;1648150858.8587246
26;-10.165446281433105;101120;1648150876.8738277
27;-9.975451469421387;104960;1648150885.8887978
28;-10.164606094360352;106240;1648150888.8933494
29;-10.081518173217773;108800;1648150894.9283652
30;-10.156339645385742;110080;1648150897.9329216
31;-10.605362892150879;112640;1648150903.951189
32;-9.757063865661621;115200;1648150909.9510415
33;-10.148756980895996;119040;1648150919.0108547
34;-10.201496124267578;121600;1648150925.05402
35;-10.369767189025879;122880;1648150928.050183
36;-9.609375;124160;1648150931.0615587
37;-10.143280029296875;128000;1648150940.0493784
38;-10.181436538696289;130560;1648150986.1714442
39;-10.280096054077148;133120;1648150991.9280512
40;-9.896946907043457;134400;1648150994.8465276
41;-10.059165000915527;136960;1648151000.5216482
42;-10.012426376342773;138240;1648151003.4562967
43;-10.309098243713379;143360;1648151015.13472
44;-10.075104713439941;149760;1648151030.0401506
45;-9.928411483764648;152320;1648151036.0592096
46;-9.615757942199707;156160;1648151045.075204
47;-9.666284561157227;157440;1648151048.0736804
48;-10.332318305969238;163840;1648151063.1073036
49;-10.318652153015137;168960;1648151075.1435456
50;-10.038756370544434;170240;1648151078.1589365
51;-10.15601921081543;172800;1648151084.2092338
52;-9.370729446411133;175360;1648151090.2216055
53;-10.060391426086426;177920;1648151096.35002
54;-10.30073070526123;179200;1648151099.344889
55;-10.081870079040527;183040;1648151108.3798306
56;-10.237079620361328;186880;1648151117.4230723
57;-9.609113693237305;188160;1648151120.430094
58;-9.7280912399292;192000;1648151129.471376
59;-9.885308265686035;194560;1648151175.716082
60;-9.869850158691406;195840;1648151178.643623
61;-9.9841890335083;198400;1648151184.3569229
62;-9.743563652038574;200960;1648151190.1597862
63;-9.263409614562988;206080;1648151201.8167808
