;update/alpha;Steps;Wall_Time
0;0.752209484577179;999;1647859624.4109764
1;0.557318389415741;1999;1647860387.7955618
2;0.4135027527809143;2999;1647861152.7280898
3;0.3077518045902252;3999;1647861917.8123384
4;0.22967693209648132;4999;1647862682.9673493
5;0.1720588505268097;5999;1647863449.367403
6;0.12953579425811768;6999;1647864216.5444953
7;0.09794322401285172;7999;1647864984.8342407
8;0.07436545193195343;8999;1647865752.75405
9;0.05660028010606766;9999;1647866520.4666843
10;0.043130554258823395;10999;1647867281.343106
11;0.03287220746278763;11999;1647868044.8792727
12;0.025032151490449905;12999;1647868812.874182
13;0.01902218908071518;13999;1647869578.1109402
14;0.014411605894565582;14999;1647870338.2566245
15;0.010880588553845882;15999;1647871097.1254115
16;0.008185545913875103;16999;1647871856.2649963
17;0.006139867007732391;17999;1647872623.9054902
18;0.004593175370246172;18999;1647873393.8323584
19;0.003428514814004302;19999;1647874166.3615324
