;update/loss/alpha;Steps;Wall_Time
0;-0.8847189545631409;999;1648152658.541861
1;-1.7896738052368164;1999;1648154590.708955
2;-2.6550230979919434;2999;1648156529.2928078
3;-3.4563279151916504;3999;1648158467.7564967
4;-4.1446852684021;4999;1648160405.8487089
5;-4.67539119720459;5999;1648162345.1925933
6;-5.0561041831970215;6999;1648164282.6178179
7;-5.301382541656494;7999;1648166221.1391473
8;-5.424626350402832;8999;1648168154.948137
9;-5.4996337890625;9999;1648170092.3321662
10;-5.490025043487549;10999;1648172029.8301775
11;-5.528445243835449;11999;1648173956.2967856
12;-5.537333011627197;12999;1648175897.1096833
13;-5.5857014656066895;13999;1648177837.1822927
14;-5.63944673538208;14999;1648179777.1170163
15;-5.742103099822998;15999;1648181720.3978877
16;-5.869734764099121;16999;1648183660.2637582
17;-6.0348944664001465;17999;1648185600.1329992
18;-6.189038276672363;18999;1648187527.3013647
19;-6.390742301940918;19999;1648189461.1189592
20;-6.601056098937988;20999;1648191393.1138515
21;-6.830169677734375;21999;1648193333.579416
22;-7.07273006439209;22999;1648195274.2702885
23;-7.335621356964111;23999;1648197211.006964
24;-7.613901138305664;24999;1648199158.901257
25;-7.885909557342529;25999;1648201099.9236848
26;-8.164798736572266;26999;1648203043.697365
27;-8.44949722290039;27999;1648204997.7878509
28;-8.745087623596191;28999;1648206964.73915
29;-9.029963493347168;29999;1648208919.981497
30;-9.320829391479492;30999;1648210869.955827
31;-9.624005317687988;31999;1648212817.819761
32;-9.926246643066406;32999;1648214767.2720196
33;-10.22824764251709;33999;1648216719.0176766
34;-10.515357971191406;34999;1648218665.2655053
35;-10.825117111206055;35999;1648220609.5072315
36;-11.118729591369629;36999;1648222549.6589358
37;-11.416245460510254;37999;1648224490.3921316
38;-11.711085319519043;38999;1648226438.2335594
39;-12.035335540771484;39999;1648228385.1689618
40;-12.309064865112305;40999;1648230334.451773
41;-12.61180305480957;41999;1648232284.0504313
42;-12.941972732543945;42999;1648234231.5382643
43;-13.216497421264648;43999;1648236179.722956
44;-13.523885726928711;44999;1648238126.7843661
45;-13.80723762512207;45999;1648240074.4007936
46;-14.127806663513184;46999;1648242021.2983246
47;-14.397801399230957;47999;1648243937.8027444
48;-14.700319290161133;48999;1648245880.1699572
49;-15.031743049621582;49999;1648247831.148609
