;ActorLR;Steps;Wall_Time
0;9.999999747378752e-05;1280;1651187648.2444696
1;9.999999747378752e-05;3200;1651187651.5601475
2;9.999999747378752e-05;4480;1651187653.6843033
3;9.999999747378752e-05;5120;1651187656.3638291
4;9.999999747378752e-05;6400;1651187658.5994084
5;9.999999747378752e-05;9600;1651187665.7039654
6;9.999999747378752e-05;10240;1651187666.8259156
7;9.999999747378752e-05;10880;1651187667.943048
8;9.999999747378752e-05;13440;1651187672.1603549
9;9.999999747378752e-05;14080;1651187673.1961648
10;9.999999747378752e-05;14720;1651187675.8912067
11;9.999999747378752e-05;17920;1651187683.0728633
12;9.999999747378752e-05;18560;1651187684.1946058
13;9.999999747378752e-05;19200;1651187685.312918
14;9.999999747378752e-05;20480;1651187687.5470724
15;9.999999747378752e-05;23680;1651187694.7359421
16;9.999999747378752e-05;24960;1651187696.9641168
17;9.999999747378752e-05;26880;1651187701.9064884
18;9.999999747378752e-05;31360;1651187709.2984104
19;9.999999747378752e-05;32640;1651187711.4444065
20;9.999999747378752e-05;33280;1651187714.1622326
21;9.999999747378752e-05;35200;1651187717.497508
22;9.999999747378752e-05;35840;1651187718.6168683
23;9.999999747378752e-05;38400;1651187724.4781675
24;9.999999747378752e-05;40320;1651187727.6524239
25;9.999999747378752e-05;42240;1651187732.4754028
26;9.999999747378752e-05;42880;1651187733.5838175
27;9.999999747378752e-05;43520;1651187734.7023098
28;9.999999747378752e-05;44160;1651187735.7836835
29;9.999999747378752e-05;46080;1651187740.571529
30;9.999999747378752e-05;49920;1651187747.261479
31;9.999999747378752e-05;51840;1651187752.1572545
32;9.999999747378752e-05;52480;1651187753.1944354
33;9.999999747378752e-05;53760;1651187755.430231
34;9.999999747378752e-05;54400;1651187756.547997
35;9.999999747378752e-05;55680;1651187760.3722918
36;9.999999747378752e-05;56960;1651187762.5983539
37;9.999999747378752e-05;58880;1651187765.9540086
38;9.999999747378752e-05;60160;1651187768.179036
39;9.999999747378752e-05;60800;1651187770.8619368
40;9.999999747378752e-05;61440;1651187771.9126272
41;9.999999747378752e-05;63360;1651187775.0680475
42;9.999999747378752e-05;64000;1651187811.4681404
43;9.999999747378752e-05;64640;1651187814.1799984
44;9.999999747378752e-05;65920;1651187816.4150705
