;ActorLR;Steps;Wall_Time
0;9.991999831981957e-05;0;1651355921.3284984
1;9.984006464947015e-05;2560;1651355922.75162
2;9.976018918678164e-05;5120;1651355924.0568395
3;9.968038648366928e-05;7680;1651355925.3628705
4;9.960064198821783e-05;10240;1651355926.66262
5;9.95209557004273e-05;12800;1651355927.9676228
6;9.94413421722129e-05;15360;1651355929.2761104
7;9.936178685165942e-05;17920;1651355930.5725195
8;9.928229701472446e-05;20480;1651355931.8836818
9;9.920287266140804e-05;23040;1651355933.209571
10;9.912351379171014e-05;25600;1651355934.5218987
11;9.904421312967315e-05;28160;1651355935.8108225
12;9.89649779512547e-05;30720;1651355937.114971
13;9.888580825645477e-05;33280;1651355938.4170122
14;9.880669676931575e-05;35840;1651355939.7304914
15;9.872765076579526e-05;38400;1651355941.0481946
16;9.86486702458933e-05;40960;1651355942.4701989
17;9.856974793365225e-05;43520;1651355943.7835782
18;9.849089110502973e-05;46080;1651355945.0705092
19;9.841209976002574e-05;48640;1651355946.361586
20;9.833337389864028e-05;51200;1651355947.663631
21;9.825470624491572e-05;53760;1651355948.9583077
22;9.81761040748097e-05;56320;1651355950.2581315
23;9.809756011236459e-05;58880;1651355951.5519571
24;9.801908163353801e-05;61440;1651355952.863592
25;9.794066863832995e-05;64000;1651355954.1552222
26;9.786231385078281e-05;66560;1651355955.4583607
27;9.77840245468542e-05;69120;1651355956.7702909
28;9.770580072654411e-05;71680;1651355958.0687778
29;9.762763511389494e-05;74240;1651355959.3633952
30;9.754952770890668e-05;76800;1651355960.7169409
31;9.747149306349456e-05;79360;1651355962.0009685
32;9.739351662574336e-05;81920;1651355963.3539536
33;9.731559839565307e-05;84480;1651355964.6392717
34;9.72377456491813e-05;87040;1651355965.9253974
35;9.715995838632807e-05;89600;1651355967.2166026
36;9.708222933113575e-05;92160;1651355968.510502
37;9.700456575956196e-05;94720;1651355969.8017457
38;9.692696039564908e-05;97280;1651355971.0884929
39;9.684942051535472e-05;99840;1651355972.3707972
40;9.677193884272128e-05;102400;1651355973.6528726
41;9.669452265370637e-05;104960;1651355974.9414408
42;9.661716467235237e-05;107520;1651355976.2458386
43;9.65398721746169e-05;110080;1651355977.5613005
44;9.646263788454235e-05;112640;1651355978.8610654
45;9.638546907808632e-05;115200;1651355980.1565118
46;9.63083584792912e-05;117760;1651355981.4728549
47;9.623131336411461e-05;120320;1651355982.7658389
48;9.615432645659894e-05;122880;1651355984.1402237
49;9.607740503270179e-05;125440;1651355985.4308567
50;9.600054181646556e-05;128000;1651355986.7486696
51;9.592374408384785e-05;130560;1651355988.0690053
52;9.584700455889106e-05;133120;1651355989.3749542
53;9.577033051755279e-05;135680;1651355990.6773388
54;9.569370740791783e-05;138240;1651355992.0951815
55;9.5617157057859e-05;140800;1651355993.468909
56;9.554066491546109e-05;143360;1651355994.755248
57;9.54642309807241e-05;145920;1651355996.0521784
58;9.538785525364801e-05;148480;1651355997.366276
59;9.531154501019046e-05;151040;1651355998.68757
60;9.523530025035143e-05;153600;1651355999.9995022
61;9.515911369817331e-05;156160;1651356001.312261
62;9.508298535365611e-05;158720;1651356002.6243715
63;9.500691521679983e-05;161280;1651356003.915736
64;9.493091056356207e-05;163840;1651356005.2219625
65;9.485496411798522e-05;166400;1651356006.5888002
66;9.47790831560269e-05;168960;1651356007.9032483
67;9.47032604017295e-05;171520;1651356009.1968014
68;9.4627495855093e-05;174080;1651356010.491739
69;9.455179679207504e-05;176640;1651356011.8043811
70;9.447615593671799e-05;179200;1651356013.117893
71;9.440057328902185e-05;181760;1651356014.429605
72;9.432504884898663e-05;184320;1651356015.7203069
73;9.424958989256993e-05;186880;1651356017.0335155
74;9.417418914381415e-05;189440;1651356018.3445442
75;9.409885387867689e-05;192000;1651356019.6514583
76;9.402357682120055e-05;194560;1651356020.9605744
77;9.394835797138512e-05;197120;1651356022.2601218
78;9.38731973292306e-05;199680;1651356023.5522707
79;9.3798094894737e-05;202240;1651356024.8516915
80;9.372305794386193e-05;204800;1651356026.14093
81;9.364807920064777e-05;207360;1651356027.4310014
82;9.357315866509452e-05;209920;1651356028.7974124
83;9.34983036131598e-05;212480;1651356030.0860622
84;9.3423506768886e-05;215040;1651356031.3905706
85;9.334876813227311e-05;217600;1651356032.6844978
86;9.327408770332113e-05;220160;1651356033.97307
87;9.319946548203006e-05;222720;1651356035.268215
88;9.312490874435753e-05;225280;1651356036.5571778
89;9.30504102143459e-05;227840;1651356037.8758533
90;9.297596989199519e-05;230400;1651356039.1671188
91;9.29015877773054e-05;232960;1651356040.4602609
92;9.282726387027651e-05;235520;1651356041.7710638
93;9.275300544686615e-05;238080;1651356043.0751858
94;9.267880523111671e-05;240640;1651356044.3705263
95;9.260465594707057e-05;243200;1651356045.6574767
96;9.253057214664295e-05;245760;1651356046.9474266
97;9.245655382983387e-05;248320;1651356048.239083
98;9.238258644472808e-05;250880;1651356049.6051846
99;9.23086772672832e-05;253440;1651356050.9092035
100;9.223483357345685e-05;256000;1651356059.7910626
101;9.21610408113338e-05;258560;1651356061.1204207
102;9.208731353282928e-05;261120;1651356062.4148662
103;9.201364446198568e-05;263680;1651356063.7043378
104;9.194003359880298e-05;266240;1651356065.0053809
105;9.18664809432812e-05;268800;1651356066.298202
106;9.179298649542034e-05;271360;1651356067.6045284
107;9.1719557531178e-05;273920;1651356068.9181762
108;9.164617949863896e-05;276480;1651356070.2340808
109;9.157285967376083e-05;279040;1651356071.532539
110;9.149960533250123e-05;281600;1651356072.8527966
111;9.142640192294493e-05;284160;1651356074.1571438
112;9.135326399700716e-05;286720;1651356075.5335145
113;9.12801842787303e-05;289280;1651356076.8324044
114;9.120715549215674e-05;291840;1651356078.2058547
115;9.113419218920171e-05;294400;1651356079.510123
116;9.10612870939076e-05;296960;1651356080.7950323
117;9.098843293031678e-05;299520;1651356082.0730753
118;9.091564425034449e-05;302080;1651356083.354878
119;9.084291377803311e-05;304640;1651356084.661588
120;9.077023423742503e-05;307200;1651356085.9509661
121;9.069762018043548e-05;309760;1651356087.2289455
122;9.062506433110684e-05;312320;1651356088.5129268
123;9.05525594134815e-05;314880;1651356089.807354
124;9.04801199794747e-05;317440;1651356091.0913079
125;9.04077387531288e-05;320000;1651356092.3901596
126;9.03354084584862e-05;322560;1651356093.6997592
127;9.026314364746213e-05;325120;1651356095.0055816
128;9.019092976814136e-05;327680;1651356096.307925
129;9.011878137243912e-05;330240;1651356097.5907152
130;9.004668390844017e-05;332800;1651356098.9614458
131;8.997464465210214e-05;335360;1651356100.2563474
132;8.990266360342503e-05;337920;1651356101.5649981
133;8.983074803836644e-05;340480;1651356102.8573437
134;8.975888340501115e-05;343040;1651356104.1596355
135;8.968706970335916e-05;345600;1651356105.452758
136;8.96153214853257e-05;348160;1651356106.7562532
137;8.954363147495314e-05;350720;1651356108.0529609
138;8.94719923962839e-05;353280;1651356109.3403878
139;8.940041880123317e-05;355840;1651356110.63957
140;8.932889613788575e-05;358400;1651356111.9200318
141;8.925743168219924e-05;360960;1651356113.209119
142;8.918602543417364e-05;363520;1651356114.5127246
143;8.911467739380896e-05;366080;1651356115.8004048
144;8.904338756110519e-05;368640;1651356117.1297522
145;8.897215593606234e-05;371200;1651356118.4190614
146;8.890097524272278e-05;373760;1651356119.7787538
147;8.882985275704414e-05;376320;1651356121.0624158
148;8.875878847902641e-05;378880;1651356122.3489106
149;8.868778240866959e-05;381440;1651356123.6537044
150;8.861683454597369e-05;384000;1651356124.939919
151;8.854593761498109e-05;386560;1651356126.226088
