;Epsilon;Steps;Wall_Time
0;0.25;1;1651076233.6832438
1;0.25;1;1651076234.6206582
2;0.25;1;1651076235.522019
3;0.25;1;1651076236.418692
4;0.25;1;1651076237.3110723
5;0.25;1;1651076238.1977942
6;0.25;1;1651076239.1003494
7;0.25;1;1651076239.9967027
8;0.25;1;1651076240.8932693
9;0.25;1;1651076241.795282
10;0.25;1;1651076242.680193
11;0.25;1;1651076243.5790033
12;0.25;1;1651076244.4661205
13;0.25;1;1651076245.347278
14;0.25;1;1651076246.2277634
15;0.25;1;1651076247.1061628
16;0.25;1;1651076247.9783134
17;0.25;1;1651076248.8586802
18;0.25;1;1651076249.7326753
19;0.25;1;1651076250.612316
20;0.25;1;1651076251.5116136
21;0.25;1;1651076252.39803
22;0.25;1;1651076253.290675
23;0.25;1;1651076254.1854498
24;0.25;1;1651076255.0751307
25;0.25;1;1651076255.9660277
26;0.25;1;1651076256.8449156
27;0.25;1;1651076257.7196865
28;0.25;1;1651076258.5971966
29;0.25;1;1651076259.4762807
30;0.25;1;1651076260.3528855
31;0.25;1;1651076261.2300227
32;0.25;1;1651076262.1084077
33;0.25;1;1651076263.0024977
34;0.25;1;1651076263.8765433
35;0.25;1;1651076264.778193
36;0.25;1;1651076265.660707
37;0.25;1;1651076266.560936
38;0.25;1;1651076267.4628592
39;0.25;1;1651076268.3415039
40;0.25;1;1651076269.2172732
41;0.25;1;1651076270.1026125
42;0.25;1;1651076270.984677
43;0.25;1;1651076271.8626308
44;0.25;1;1651076272.7444956
45;0.25;1;1651076273.642939
46;0.25;1;1651076274.5341213
47;0.25;1;1651076275.4222057
48;0.25;1;1651076276.3144515
49;0.25;1;1651076277.1956663
50;0.25;1;1651076278.076897
51;0.25;1;1651076278.9576325
52;0.25;1;1651076279.8511875
53;0.25;1;1651076280.7534182
54;0.25;1;1651076281.64926
55;0.25;1;1651076282.5497704
56;0.25;1;1651076283.45155
57;0.25;1;1651076284.358375
58;0.25;1;1651076285.253146
59;0.25;1;1651076286.1526806
60;0.25;1;1651076287.0475314
61;0.25;1;1651076287.9403749
62;0.25;1;1651076288.8246858
63;0.25;1;1651076289.7293668
64;0.25;1;1651076290.6094196
65;0.25;1;1651076291.4919405
66;0.25;1;1651076292.3902626
67;0.25;1;1651076293.2755084
68;0.25;1;1651076294.1626716
69;0.25;1;1651076295.0462954
70;0.25;1;1651076295.9295168
71;0.25;1;1651076296.8088295
72;0.25;1;1651076297.691651
73;0.25;1;1651076298.58823
74;0.25;1;1651076299.4948714
75;0.25;1;1651076300.3997684
76;0.25;1;1651076301.2997696
77;0.25;1;1651076302.2022839
78;0.25;1;1651076303.101141
79;0.25;1;1651076303.9947178
80;0.25;1;1651076304.8939424
81;0.25;1;1651076305.7915475
82;0.25;1;1651076306.7027042
83;0.25;1;1651076307.6010551
84;0.25;1;1651076308.5044577
85;0.25;1;1651076309.4033265
86;0.25;1;1651076310.2888854
87;0.25;1;1651076311.1702342
88;0.25;1;1651076312.0595608
89;0.25;1;1651076312.9529796
90;0.25;1;1651076313.8302307
91;0.25;1;1651076314.7083037
92;0.25;1;1651076315.6007164
93;0.25;1;1651076316.489973
94;0.25;1;1651076317.3863168
95;0.25;1;1651076318.285101
96;0.25;1;1651076319.1856744
97;0.25;1;1651076320.0979018
98;0.25;1;1651076320.9768686
99;0.25;1;1651076321.8628557
100;0.1666666716337204;2;1651076330.1100047
101;0.1666666716337204;2;1651076331.0387053
102;0.1666666716337204;2;1651076331.94289
103;0.1666666716337204;2;1651076332.8301425
104;0.1666666716337204;2;1651076333.7063773
105;0.1666666716337204;2;1651076334.656556
106;0.1666666716337204;2;1651076335.531389
107;0.1666666716337204;2;1651076336.419705
108;0.1666666716337204;2;1651076337.292855
109;0.1666666716337204;2;1651076338.1787553
110;0.1666666716337204;2;1651076339.061199
111;0.1666666716337204;2;1651076339.933879
112;0.1666666716337204;2;1651076340.805442
113;0.1666666716337204;2;1651076341.6809144
114;0.1666666716337204;2;1651076342.5707538
115;0.1666666716337204;2;1651076343.449379
116;0.1666666716337204;2;1651076344.3345573
117;0.1666666716337204;2;1651076345.2283711
118;0.1666666716337204;2;1651076346.1118784
119;0.1666666716337204;2;1651076347.0138266
120;0.1666666716337204;2;1651076347.8956144
121;0.1666666716337204;2;1651076348.7705057
122;0.1666666716337204;2;1651076349.6449444
123;0.1666666716337204;2;1651076350.5179114
124;0.1666666716337204;2;1651076351.4033542
125;0.1666666716337204;2;1651076352.2971745
126;0.1666666716337204;2;1651076353.1872177
127;0.1666666716337204;2;1651076354.078761
128;0.1666666716337204;2;1651076354.964266
129;0.1666666716337204;2;1651076355.8494837
130;0.1666666716337204;2;1651076356.7385166
131;0.1666666716337204;2;1651076357.628514
132;0.1666666716337204;2;1651076358.51689
133;0.1666666716337204;2;1651076359.4043233
134;0.1666666716337204;2;1651076360.3064594
135;0.1666666716337204;2;1651076361.2065392
136;0.1666666716337204;2;1651076362.111426
137;0.1666666716337204;2;1651076362.9934018
138;0.1666666716337204;2;1651076363.870643
139;0.1666666716337204;2;1651076364.7531838
140;0.1666666716337204;2;1651076365.640047
141;0.1666666716337204;2;1651076366.532391
142;0.1666666716337204;2;1651076367.4179606
143;0.1666666716337204;2;1651076368.311864
144;0.1666666716337204;2;1651076369.2059672
145;0.1666666716337204;2;1651076370.0970016
146;0.1666666716337204;2;1651076370.9960222
147;0.1666666716337204;2;1651076371.9012723
148;0.1666666716337204;2;1651076372.805223
149;0.1666666716337204;2;1651076373.6809683
150;0.1666666716337204;2;1651076374.5591998
151;0.1666666716337204;2;1651076375.456784
152;0.1666666716337204;2;1651076376.3350933
153;0.1666666716337204;2;1651076377.2214634
154;0.1666666716337204;2;1651076378.1241996
155;0.1666666716337204;2;1651076379.0034506
156;0.1666666716337204;2;1651076379.8745382
157;0.1666666716337204;2;1651076380.750967
158;0.1666666716337204;2;1651076381.6265304
159;0.1666666716337204;2;1651076382.506055
160;0.1666666716337204;2;1651076383.3820393
161;0.1666666716337204;2;1651076384.2597044
162;0.1666666716337204;2;1651076385.1357286
163;0.1666666716337204;2;1651076386.0201938
164;0.1666666716337204;2;1651076386.9032133
165;0.1666666716337204;2;1651076387.7842577
166;0.1666666716337204;2;1651076388.677223
167;0.1666666716337204;2;1651076389.5520527
168;0.1666666716337204;2;1651076390.430948
169;0.1666666716337204;2;1651076391.308652
170;0.1666666716337204;2;1651076392.1905704
171;0.1666666716337204;2;1651076393.0778913
172;0.1666666716337204;2;1651076393.9590976
173;0.1666666716337204;2;1651076394.863262
174;0.1666666716337204;2;1651076395.7515783
175;0.1666666716337204;2;1651076396.6375916
176;0.1666666716337204;2;1651076397.537595
177;0.1666666716337204;2;1651076398.433256
178;0.1666666716337204;2;1651076399.326382
179;0.1666666716337204;2;1651076400.2010949
180;0.1666666716337204;2;1651076401.077142
181;0.1666666716337204;2;1651076401.96508
182;0.1666666716337204;2;1651076402.850505
183;0.1666666716337204;2;1651076403.7464812
184;0.1666666716337204;2;1651076404.6490858
185;0.1666666716337204;2;1651076405.5432053
186;0.1666666716337204;2;1651076406.4241834
187;0.1666666716337204;2;1651076407.304316
188;0.1666666716337204;2;1651076408.206612
189;0.1666666716337204;2;1651076409.1166937
190;0.1666666716337204;2;1651076410.0072935
191;0.1666666716337204;2;1651076410.8837795
192;0.1666666716337204;2;1651076411.758839
193;0.1666666716337204;2;1651076412.639546
194;0.1666666716337204;2;1651076413.5361316
195;0.1666666716337204;2;1651076414.4282267
196;0.1666666716337204;2;1651076415.3134158
197;0.1666666716337204;2;1651076416.2051687
198;0.1666666716337204;2;1651076417.091668
199;0.1666666716337204;2;1651076417.9831758
200;0.125;3;1651076426.209701
201;0.125;3;1651076427.1340759
202;0.125;3;1651076428.034072
203;0.125;3;1651076428.9222434
204;0.125;3;1651076429.7979903
205;0.125;3;1651076430.6975727
206;0.125;3;1651076431.5734212
207;0.125;3;1651076432.453938
208;0.125;3;1651076433.334279
209;0.125;3;1651076434.2113173
210;0.125;3;1651076435.086726
211;0.125;3;1651076435.9701765
212;0.125;3;1651076436.8613572
213;0.125;3;1651076437.752686
214;0.125;3;1651076438.6525102
215;0.125;3;1651076439.5516262
216;0.125;3;1651076440.4473317
217;0.125;3;1651076441.3463423
218;0.125;3;1651076442.2271235
219;0.125;3;1651076443.1070416
220;0.125;3;1651076443.98565
221;0.125;3;1651076444.8618164
222;0.125;3;1651076445.7388122
223;0.125;3;1651076446.644317
224;0.125;3;1651076447.5508094
225;0.125;3;1651076448.4552171
226;0.125;3;1651076449.3585107
227;0.125;3;1651076450.257175
228;0.125;3;1651076451.1621966
229;0.125;3;1651076452.041175
230;0.125;3;1651076452.9214668
231;0.125;3;1651076453.8002195
232;0.125;3;1651076454.677444
233;0.125;3;1651076455.5621405
234;0.125;3;1651076456.4540849
235;0.125;3;1651076457.3458796
236;0.125;3;1651076458.238176
237;0.125;3;1651076459.1277566
238;0.125;3;1651076460.0121875
239;0.125;3;1651076460.9025333
240;0.125;3;1651076461.804546
241;0.125;3;1651076462.6814148
242;0.125;3;1651076463.5578706
243;0.125;3;1651076464.4363008
244;0.125;3;1651076465.3155615
245;0.125;3;1651076466.2154398
246;0.125;3;1651076467.1069584
247;0.125;3;1651076468.0003831
248;0.125;3;1651076468.8915665
249;0.125;3;1651076469.79463
250;0.125;3;1651076470.684323
251;0.125;3;1651076471.5900252
252;0.125;3;1651076472.4911199
253;0.125;3;1651076473.3670902
254;0.125;3;1651076474.2434778
255;0.125;3;1651076475.1218421
256;0.125;3;1651076475.9998553
257;0.125;3;1651076476.8766634
258;0.125;3;1651076477.7554805
259;0.125;3;1651076478.6452808
260;0.125;3;1651076479.5315952
261;0.125;3;1651076480.4181807
262;0.125;3;1651076481.3134754
263;0.125;3;1651076482.2077708
264;0.125;3;1651076483.1072533
265;0.125;3;1651076483.9867442
266;0.125;3;1651076484.8638172
267;0.125;3;1651076485.741045
268;0.125;3;1651076486.6390004
269;0.125;3;1651076487.5213332
270;0.125;3;1651076488.4005163
271;0.125;3;1651076489.2775447
272;0.125;3;1651076490.1578379
273;0.125;3;1651076491.04942
274;0.125;3;1651076491.9411314
275;0.125;3;1651076492.843908
276;0.125;3;1651076493.7323925
277;0.125;3;1651076494.6116183
278;0.125;3;1651076495.4853897
279;0.125;3;1651076496.361679
280;0.125;3;1651076497.2362797
281;0.125;3;1651076498.1336496
282;0.125;3;1651076499.0214329
283;0.125;3;1651076499.911659
284;0.125;3;1651076500.8083763
285;0.125;3;1651076501.6964762
286;0.125;3;1651076502.5869627
287;0.125;3;1651076503.4784844
288;0.125;3;1651076504.3662417
289;0.125;3;1651076505.2406297
290;0.125;3;1651076506.1238198
291;0.125;3;1651076507.0109732
292;0.125;3;1651076507.8972526
293;0.125;3;1651076508.7862463
294;0.125;3;1651076509.6832714
295;0.125;3;1651076510.5779035
296;0.125;3;1651076511.4706776
297;0.125;3;1651076512.3699517
298;0.125;3;1651076513.2641525
299;0.125;3;1651076514.1576207
300;0.10000000149011612;4;1651076522.364624
301;0.10000000149011612;4;1651076523.2768648
302;0.10000000149011612;4;1651076524.177527
303;0.10000000149011612;4;1651076525.063081
304;0.10000000149011612;4;1651076525.9546952
305;0.10000000149011612;4;1651076526.8410153
306;0.10000000149011612;4;1651076527.737542
307;0.10000000149011612;4;1651076528.6369584
308;0.10000000149011612;4;1651076529.5264668
309;0.10000000149011612;4;1651076530.409783
310;0.10000000149011612;4;1651076531.2861097
311;0.10000000149011612;4;1651076532.1638954
312;0.10000000149011612;4;1651076533.0382426
313;0.10000000149011612;4;1651076533.9184022
314;0.10000000149011612;4;1651076534.8092031
315;0.10000000149011612;4;1651076535.6912017
316;0.10000000149011612;4;1651076536.588769
317;0.10000000149011612;4;1651076537.4857523
318;0.10000000149011612;4;1651076538.3803866
319;0.10000000149011612;4;1651076539.2555091
320;0.10000000149011612;4;1651076540.1336243
321;0.10000000149011612;4;1651076541.0250611
322;0.10000000149011612;4;1651076541.9003344
323;0.10000000149011612;4;1651076542.7757213
324;0.10000000149011612;4;1651076543.6530366
325;0.10000000149011612;4;1651076544.5337386
326;0.10000000149011612;4;1651076545.4263816
327;0.10000000149011612;4;1651076546.3122284
328;0.10000000149011612;4;1651076547.1983027
329;0.10000000149011612;4;1651076548.0862813
330;0.10000000149011612;4;1651076548.9772809
331;0.10000000149011612;4;1651076549.8707387
332;0.10000000149011612;4;1651076550.7619505
333;0.10000000149011612;4;1651076551.6562316
334;0.10000000149011612;4;1651076552.533878
335;0.10000000149011612;4;1651076553.4101317
336;0.10000000149011612;4;1651076554.304503
337;0.10000000149011612;4;1651076555.1826825
338;0.10000000149011612;4;1651076556.0741003
339;0.10000000149011612;4;1651076556.9504957
340;0.10000000149011612;4;1651076557.8281145
341;0.10000000149011612;4;1651076558.7085714
342;0.10000000149011612;4;1651076559.582457
343;0.10000000149011612;4;1651076560.4607878
344;0.10000000149011612;4;1651076561.3361275
345;0.10000000149011612;4;1651076562.222056
346;0.10000000149011612;4;1651076563.1072376
347;0.10000000149011612;4;1651076563.9911895
348;0.10000000149011612;4;1651076564.87838
349;0.10000000149011612;4;1651076565.7534919
350;0.10000000149011612;4;1651076566.6558743
351;0.10000000149011612;4;1651076567.5315776
352;0.10000000149011612;4;1651076568.4117312
353;0.10000000149011612;4;1651076569.2891064
354;0.10000000149011612;4;1651076570.1750162
355;0.10000000149011612;4;1651076571.0579965
356;0.10000000149011612;4;1651076571.9447527
357;0.10000000149011612;4;1651076572.8324268
358;0.10000000149011612;4;1651076573.7251077
359;0.10000000149011612;4;1651076574.6349204
360;0.10000000149011612;4;1651076575.533821
361;0.10000000149011612;4;1651076576.4254875
362;0.10000000149011612;4;1651076577.321988
363;0.10000000149011612;4;1651076578.2084637
364;0.10000000149011612;4;1651076579.1074111
365;0.10000000149011612;4;1651076580.0009162
366;0.10000000149011612;4;1651076580.8965895
367;0.10000000149011612;4;1651076581.7845564
368;0.10000000149011612;4;1651076582.6768708
369;0.10000000149011612;4;1651076583.5587592
370;0.10000000149011612;4;1651076584.4577217
371;0.10000000149011612;4;1651076585.3563404
372;0.10000000149011612;4;1651076586.2472885
373;0.10000000149011612;4;1651076587.1507058
374;0.10000000149011612;4;1651076588.0447354
375;0.10000000149011612;4;1651076588.941598
376;0.10000000149011612;4;1651076589.917417
377;0.10000000149011612;4;1651076590.8138406
378;0.10000000149011612;4;1651076591.7163873
379;0.10000000149011612;4;1651076592.5960684
380;0.10000000149011612;4;1651076593.4729793
381;0.10000000149011612;4;1651076594.3632166
382;0.10000000149011612;4;1651076595.240669
383;0.10000000149011612;4;1651076596.121501
384;0.10000000149011612;4;1651076596.9990869
385;0.10000000149011612;4;1651076597.8953538
386;0.10000000149011612;4;1651076598.7820184
387;0.10000000149011612;4;1651076599.6606624
388;0.10000000149011612;4;1651076600.557558
389;0.10000000149011612;4;1651076601.448493
390;0.10000000149011612;4;1651076602.3443174
391;0.10000000149011612;4;1651076603.235844
392;0.10000000149011612;4;1651076604.1284552
393;0.10000000149011612;4;1651076605.012752
394;0.10000000149011612;4;1651076605.895692
395;0.10000000149011612;4;1651076606.7759094
396;0.10000000149011612;4;1651076607.6662376
397;0.10000000149011612;4;1651076608.5579247
398;0.10000000149011612;4;1651076609.4377558
399;0.10000000149011612;4;1651076610.3235111
400;0.0833333358168602;5;1651076618.6294806
401;0.0833333358168602;5;1651076619.5504816
402;0.0833333358168602;5;1651076620.459088
403;0.0833333358168602;5;1651076621.354738
404;0.0833333358168602;5;1651076622.2536004
405;0.0833333358168602;5;1651076623.1366985
406;0.0833333358168602;5;1651076624.021771
407;0.0833333358168602;5;1651076624.9067862
408;0.0833333358168602;5;1651076625.7897656
409;0.0833333358168602;5;1651076626.6748247
410;0.0833333358168602;5;1651076627.5565321
411;0.0833333358168602;5;1651076628.4464893
412;0.0833333358168602;5;1651076629.3503277
413;0.0833333358168602;5;1651076630.2429032
414;0.0833333358168602;5;1651076631.1391551
415;0.0833333358168602;5;1651076632.0335088
416;0.0833333358168602;5;1651076632.9262176
417;0.0833333358168602;5;1651076633.8162062
418;0.0833333358168602;5;1651076634.710759
419;0.0833333358168602;5;1651076635.5909736
420;0.0833333358168602;5;1651076636.473748
421;0.0833333358168602;5;1651076637.353644
422;0.0833333358168602;5;1651076638.2546885
423;0.0833333358168602;5;1651076639.1397998
424;0.0833333358168602;5;1651076640.0336182
425;0.0833333358168602;5;1651076640.9149845
426;0.0833333358168602;5;1651076641.7944915
427;0.0833333358168602;5;1651076642.6781342
428;0.0833333358168602;5;1651076643.556767
429;0.0833333358168602;5;1651076644.4489977
430;0.0833333358168602;5;1651076645.3431854
431;0.0833333358168602;5;1651076646.234872
432;0.0833333358168602;5;1651076647.1248472
433;0.0833333358168602;5;1651076648.0155194
434;0.0833333358168602;5;1651076648.9024825
435;0.0833333358168602;5;1651076649.7931392
436;0.0833333358168602;5;1651076650.6775992
437;0.0833333358168602;5;1651076651.5598776
438;0.0833333358168602;5;1651076652.4572644
439;0.0833333358168602;5;1651076653.344963
440;0.0833333358168602;5;1651076654.2424066
441;0.0833333358168602;5;1651076655.132118
442;0.0833333358168602;5;1651076656.0131752
443;0.0833333358168602;5;1651076656.8927827
444;0.0833333358168602;5;1651076657.7763047
445;0.0833333358168602;5;1651076658.6791954
446;0.0833333358168602;5;1651076659.5602038
447;0.0833333358168602;5;1651076660.463293
448;0.0833333358168602;5;1651076661.3495526
449;0.0833333358168602;5;1651076662.2347996
450;0.0833333358168602;5;1651076663.1210508
451;0.0833333358168602;5;1651076664.0185232
452;0.0833333358168602;5;1651076664.9149532
453;0.0833333358168602;5;1651076665.81393
454;0.0833333358168602;5;1651076666.7263138
455;0.0833333358168602;5;1651076667.6076305
456;0.0833333358168602;5;1651076668.4994137
457;0.0833333358168602;5;1651076669.3832068
458;0.0833333358168602;5;1651076670.2747161
459;0.0833333358168602;5;1651076671.1800685
460;0.0833333358168602;5;1651076672.0746937
461;0.0833333358168602;5;1651076672.9679298
462;0.0833333358168602;5;1651076673.8666484
463;0.0833333358168602;5;1651076674.7746346
464;0.0833333358168602;5;1651076675.6587243
465;0.0833333358168602;5;1651076676.5445602
466;0.0833333358168602;5;1651076677.4260244
467;0.0833333358168602;5;1651076678.317476
468;0.0833333358168602;5;1651076679.2057834
469;0.0833333358168602;5;1651076680.0900452
470;0.0833333358168602;5;1651076680.9791229
471;0.0833333358168602;5;1651076681.8801892
472;0.0833333358168602;5;1651076682.7618065
473;0.0833333358168602;5;1651076683.6441314
474;0.0833333358168602;5;1651076684.5432081
475;0.0833333358168602;5;1651076685.4363468
476;0.0833333358168602;5;1651076686.336402
477;0.0833333358168602;5;1651076687.238775
478;0.0833333358168602;5;1651076688.1360092
479;0.0833333358168602;5;1651076689.0233474
480;0.0833333358168602;5;1651076689.9112525
481;0.0833333358168602;5;1651076690.787738
482;0.0833333358168602;5;1651076691.6666842
