;LR;Steps;Wall_Time
0;9.999999747378752e-05;1;1650767571.1515977
1;9.991999831981957e-05;1;1650767572.3884084
2;9.984006464947015e-05;1;1650767573.5837233
3;9.976018918678164e-05;1;1650767574.7847984
4;9.968038648366928e-05;1;1650767575.9511037
5;9.960064198821783e-05;1;1650767577.111105
6;9.95209557004273e-05;1;1650767578.2743115
7;9.94413421722129e-05;1;1650767579.4475007
8;9.936178685165942e-05;1;1650767580.6195252
9;9.928229701472446e-05;1;1650767581.786294
10;9.920287266140804e-05;1;1650767582.9580555
11;9.912351379171014e-05;1;1650767584.1495342
12;9.904421312967315e-05;1;1650767585.340731
13;9.89649779512547e-05;1;1650767586.5258667
14;9.888580825645477e-05;1;1650767587.6997921
15;9.880669676931575e-05;1;1650767588.8784635
16;9.872765076579526e-05;1;1650767590.0611746
17;9.86486702458933e-05;1;1650767591.232348
18;9.856974793365225e-05;1;1650767592.3993652
19;9.849089110502973e-05;1;1650767593.5629132
20;9.841209976002574e-05;1;1650767594.7516859
21;9.833337389864028e-05;1;1650767595.9166167
22;9.825470624491572e-05;1;1650767597.0816574
23;9.81761040748097e-05;1;1650767598.2543733
24;9.809756011236459e-05;1;1650767599.4344053
25;9.801908163353801e-05;1;1650767600.6104667
26;9.794066863832995e-05;1;1650767601.7707024
27;9.786231385078281e-05;1;1650767602.9369648
28;9.77840245468542e-05;1;1650767604.0995567
29;9.770580072654411e-05;1;1650767605.2632542
30;9.762763511389494e-05;1;1650767606.4341378
31;9.754952770890668e-05;1;1650767607.5943863
32;9.747149306349456e-05;1;1650767608.7552207
33;9.739351662574336e-05;1;1650767609.937138
34;9.731559839565307e-05;1;1650767611.1291327
35;9.72377456491813e-05;1;1650767612.291794
36;9.715995838632807e-05;1;1650767613.4591348
37;9.708222933113575e-05;1;1650767614.6430316
38;9.700456575956196e-05;1;1650767615.8334267
39;9.692696039564908e-05;1;1650767617.0230803
40;9.684942051535472e-05;1;1650767618.2024748
41;9.677193884272128e-05;1;1650767619.3668544
42;9.669452265370637e-05;1;1650767620.544341
43;9.661716467235237e-05;1;1650767621.7314956
44;9.65398721746169e-05;1;1650767622.9140403
45;9.646263788454235e-05;1;1650767624.0833907
46;9.638546907808632e-05;1;1650767625.2603395
47;9.63083584792912e-05;1;1650767626.4271839
48;9.623131336411461e-05;1;1650767627.594843
49;9.615432645659894e-05;1;1650767628.7840958
50;9.607740503270179e-05;1;1650767629.9730482
51;9.600054181646556e-05;1;1650767631.1651106
52;9.592374408384785e-05;1;1650767632.3731549
53;9.584700455889106e-05;1;1650767633.5422997
54;9.577033051755279e-05;1;1650767634.7362611
55;9.569370740791783e-05;1;1650767635.916104
56;9.5617157057859e-05;1;1650767637.1021545
57;9.554066491546109e-05;1;1650767638.2636194
58;9.54642309807241e-05;1;1650767639.425945
59;9.538785525364801e-05;1;1650767640.6033876
60;9.531154501019046e-05;1;1650767641.783877
61;9.523530025035143e-05;1;1650767642.9698625
62;9.515911369817331e-05;1;1650767644.137151
63;9.508298535365611e-05;1;1650767645.304674
