;grad_norm_clipped;Steps;Wall_Time
0;1.0;0;1649631977.9910653
1;1.0;2560;1649631978.053713
2;1.0;5120;1649631978.114527
3;1.0;7680;1649631978.1730964
4;1.0;10240;1649631978.2401552
5;1.0;12800;1649631978.308124
6;1.0;15360;1649631978.372216
7;1.0;17920;1649631978.437289
8;1.0;20480;1649631978.501738
9;1.0;23040;1649631978.5585275
10;1.0;25600;1649631978.624929
11;1.0;28160;1649631978.6895185
12;1.0;30720;1649631978.745249
13;1.0;33280;1649631978.811456
14;1.0;35840;1649631978.880495
15;1.0;38400;1649631978.9373705
16;1.0;40960;1649631978.995566
17;1.0;43520;1649631979.055718
18;1.0;46080;1649631979.1174324
19;1.0;48640;1649631979.1710174
20;1.0;51200;1649631979.2353358
21;1.0;53760;1649631979.3002012
22;1.0;56320;1649631979.3625228
23;1.0;58880;1649631979.4367397
24;1.0;61440;1649631979.5012686
25;1.0;64000;1649631979.5624192
26;1.0;66560;1649631979.6251876
27;1.0;69120;1649631979.688529
28;1.0;71680;1649631979.7502043
29;1.0;74240;1649631979.827036
30;1.0;76800;1649631979.88549
31;1.0;79360;1649631979.947757
32;1.0;81920;1649631980.005528
33;1.0;84480;1649631980.0647786
34;1.0;87040;1649631980.1270492
35;1.0;89600;1649631980.1908832
36;1.0;92160;1649631980.2477877
37;1.0;94720;1649631980.31148
38;1.0;97280;1649631980.369394
39;1.0;99840;1649631980.4320643
40;1.0;102400;1649631980.4941154
41;1.0;104960;1649631980.5582855
42;1.0;107520;1649631980.6215184
43;1.0;110080;1649631980.6859653
44;1.0;112640;1649631980.7471073
45;1.0;115200;1649631980.8121111
46;1.0;117760;1649631980.876362
47;1.0;120320;1649631980.944322
48;1.0;122880;1649631981.0030444
49;1.0;125440;1649631981.0676534
50;1.0;128000;1649631981.124693
51;1.0;130560;1649631981.1854637
52;1.0;133120;1649631981.2424505
53;1.0;135680;1649631981.3068218
54;1.0;138240;1649631981.3623133
55;1.0;140800;1649631981.4191842
56;1.0;143360;1649631981.4795024
57;1.0;145920;1649631981.5424771
58;1.0;148480;1649631981.6026368
59;1.0;151040;1649631981.6683986
60;1.0;153600;1649631981.7301338
61;1.0;156160;1649631981.790334
62;1.0;158720;1649631981.849416
63;1.0;161280;1649631981.9033587
64;1.0;163840;1649631981.9596295
65;1.0;166400;1649631982.0162933
66;1.0;168960;1649631982.0789726
67;1.0;171520;1649631982.142905
68;1.0;174080;1649631982.2068057
69;1.0;176640;1649631982.28137
70;1.0;179200;1649631982.344876
71;1.0;181760;1649631982.4063938
72;1.0;184320;1649631982.4678538
73;1.0;186880;1649631982.5274034
74;1.0;189440;1649631982.5835314
75;1.0;192000;1649631982.6388526
76;1.0;194560;1649631982.6951764
77;1.0;197120;1649631982.7511034
78;1.0;199680;1649631982.8072383
79;1.0;202240;1649631982.867147
80;1.0;204800;1649631982.924976
81;1.0;207360;1649631982.9942088
82;1.0;209920;1649631983.0612514
83;1.0;212480;1649631983.1265557
84;1.0;215040;1649631983.186513
85;1.0;217600;1649631983.2532449
86;1.0;220160;1649631983.3213072
87;1.0;222720;1649631983.3816185
88;1.0;225280;1649631983.4399538
89;1.0;227840;1649631983.5166469
90;1.0;230400;1649631983.574327
91;1.0;232960;1649631983.6260061
92;1.0;235520;1649631983.680694
93;1.0;238080;1649631983.7437747
94;1.0;240640;1649631983.8072555
95;1.0;243200;1649631983.866555
96;1.0;245760;1649631983.9192977
97;1.0;248320;1649631983.9790776
98;1.0;250880;1649631984.0334742
99;1.0;253440;1649631984.0907674
100;1.0;256000;1649631985.0449371
101;1.0;258560;1649631985.1071978
102;1.0;261120;1649631985.1638954
103;1.0;263680;1649631985.2259514
104;1.0;266240;1649631985.2903144
105;1.0;268800;1649631985.348203
106;1.0;271360;1649631985.409454
107;1.0;273920;1649631985.4721253
108;1.0;276480;1649631985.5292103
109;1.0;279040;1649631985.5813541
110;1.0;281600;1649631985.6376352
111;1.0;284160;1649631985.7004828
112;1.0;286720;1649631985.762001
113;1.0;289280;1649631985.8263752
114;1.0;291840;1649631985.9005218
115;1.0;294400;1649631985.957883
