;learnrate_pg0;Steps;Wall_Time
0;9.999999747378752e-05;0;1649683687.1960416
1;9.7999996796716e-05;100;1649683694.8114371
2;9.603999933460727e-05;200;1649683703.2299125
3;9.411919745616615e-05;300;1649683712.3734686
4;9.223681263392791e-05;400;1649683722.003895
5;9.039208089234307e-05;500;1649683730.5629265
6;8.858423825586215e-05;600;1649683740.0809186
7;8.68125498527661e-05;700;1649683749.1453526
8;8.507630263920873e-05;800;1649683758.4065313
9;8.337477629538625e-05;900;1649683767.7838883
10;8.170727960532531e-05;1000;1649683776.7268977
11;8.007313590496778e-05;1100;1649683785.816466
12;7.847167580621317e-05;1200;1649683795.0095136
13;7.690223719691858e-05;1300;1649683803.47329
14;7.536419434472919e-05;1400;1649683812.9079175
15;7.385690696537495e-05;1500;1649683822.5727189
16;7.237977115437388e-05;1600;1649683831.9180768
17;7.09321757312864e-05;1700;1649683840.7845123
18;6.951353134354576e-05;1800;1649683851.0385768
19;6.812326319050044e-05;1900;1649683860.3463993
20;6.67607964714989e-05;2000;1649683869.1095436
21;6.542557821376249e-05;2100;1649683877.800881
22;6.411706999642774e-05;2200;1649683887.0375519
23;6.28347261226736e-05;2300;1649683895.5312848
24;6.157803727546707e-05;2400;1649683904.138782
25;6.034647230990231e-05;2500;1649683913.063239
26;5.913954373681918e-05;2600;1649683921.6426573
27;5.79567531531211e-05;2700;1649683930.449107
28;5.679761670762673e-05;2800;1649683939.6143994
29;5.566166510106996e-05;2900;1649683948.911669
30;5.454843267216347e-05;3000;1649683957.624823
31;5.345746467355639e-05;3100;1649683966.586202
32;5.238831363385543e-05;3200;1649683975.543656
33;5.134054663358256e-05;3300;1649683984.4207864
34;5.031373802921735e-05;3400;1649683993.9437065
35;4.930746217723936e-05;3500;1649684003.0790417
36;4.83213116240222e-05;3600;1649684012.7510097
37;4.7354886191897094e-05;3700;1649684022.4434817
38;4.6407789341174066e-05;3800;1649684032.2391312
39;4.547963180812076e-05;3900;1649684041.7634676
40;4.457003888092004e-05;4000;1649684051.6382828
41;4.3678639485733584e-05;4100;1649684061.4987078
42;4.280506618670188e-05;4200;1649684070.8830738
43;4.1948966099880636e-05;4300;1649684080.2500331
44;4.1109986341325566e-05;4400;1649684090.199299
45;4.0287784941028804e-05;4500;1649684099.387102
46;3.94820308429189e-05;4600;1649684109.004288
47;3.869238935294561e-05;4700;1649684117.7505407
48;3.791854396695271e-05;4800;1649684127.1205733
49;3.716017090482637e-05;4900;1649684136.6322699
50;3.641696821432561e-05;5000;1649684146.6482153
51;3.568863030523062e-05;5100;1649684156.4869304
52;3.4974855225300416e-05;5200;1649684165.9090168
53;3.427535921218805e-05;5300;1649684175.5846913
54;3.358985122758895e-05;5400;1649684183.5384016
55;3.291805478511378e-05;5500;1649684192.566747
56;3.22596933983732e-05;5600;1649684202.4039083
57;3.161450149491429e-05;5700;1649684212.0320508
58;3.098220986430533e-05;5800;1649684222.1359324
59;3.0362565667019226e-05;5900;1649684231.5342846
60;2.9755314244539477e-05;6000;1649684241.0132086
61;2.9160208214307204e-05;6100;1649684251.1823285
62;2.857700383174233e-05;6200;1649684261.3265731
63;2.80054646282224e-05;6300;1649684271.3322778
64;2.7445354135124944e-05;6400;1649684280.745249
65;2.689644679776393e-05;6500;1649684290.1735225
66;2.6358518880442716e-05;6600;1649684299.6812167
67;2.5831348466454074e-05;6700;1649684310.3385158
68;2.5314720915048383e-05;6800;1649684319.7411602
69;2.4808427042444237e-05;6900;1649684329.63981
70;2.4312257664860226e-05;7000;1649684339.5821266
71;2.3826012693461962e-05;7100;1649684349.3697755
72;2.3349492039415054e-05;7200;1649684359.2107022
73;2.2882502889842726e-05;7300;1649684368.8314028
74;2.2424852431868203e-05;7400;1649684378.8319068
75;2.1976355128572322e-05;7500;1649684389.1158357
76;2.153682908101473e-05;7600;1649684399.0913653
77;2.110609239025507e-05;7700;1649684409.5093985
78;2.0683970433310606e-05;7800;1649684419.4848287
79;2.0270290406187996e-05;7900;1649684429.3516002
80;1.9864884961862117e-05;8000;1649684439.2805636
81;1.9467586753307842e-05;8100;1649684449.5948584
82;1.9078235709457658e-05;8200;1649684459.748021
83;1.8696671759244055e-05;8300;1649684470.4563396
84;1.8322736650588922e-05;8400;1649684480.197831
85;1.7956283045350574e-05;8500;1649684490.0609639
86;1.759715632942971e-05;8600;1649684499.9973307
87;1.724521462165285e-05;8700;1649684509.925768
88;1.6900308764888905e-05;8800;1649684520.045707
89;1.6562304153922014e-05;8900;1649684529.8532462
90;1.6231057088589296e-05;9000;1649684539.511411
91;1.5906436601653695e-05;9100;1649684549.6963282
92;1.558830808789935e-05;9200;1649684559.9314895
93;1.5276540580089204e-05;9300;1649684570.911895
94;1.4971010386943817e-05;9400;1649684582.1754785
95;1.467159017920494e-05;9500;1649684593.7439113
96;1.4378158084582537e-05;9600;1649684604.9934947
97;1.4090594959270675e-05;9700;1649684613.981917
98;1.3808783478452824e-05;9800;1649684623.056009
99;1.353260813630186e-05;9900;1649684632.0823328
