;test/length;Steps;Wall_Time
0;20.0;0;1651232553.1056826
1;20.0;128000;1651232813.1084316
2;20.0;256000;1651233073.7765558
3;20.0;384000;1651233334.7100782
4;20.0;512000;1651233529.3885167
5;20.0;640000;1651233702.06628
6;20.0;768000;1651233873.8112292
7;20.0;896000;1651234047.2621222
8;20.0;1024000;1651234221.0334964
9;20.0;1152000;1651234392.1794302
10;20.0;1280000;1651234560.0505733
11;20.0;1408000;1651234727.7652245
12;20.0;1536000;1651234898.5047472
13;20.0;1664000;1651235071.8319511
14;20.0;1792000;1651235242.2174342
15;20.0;1920000;1651235410.4925938
16;20.0;2048000;1651235578.1309266
17;20.0;2176000;1651235749.7515786
18;20.0;2304000;1651235924.771527
19;20.0;2432000;1651236094.7528012
20;20.0;2560000;1651236264.9225516
21;20.0;2688000;1651236433.1316304
22;20.0;2816000;1651236597.621709
23;20.0;2944000;1651236762.7499702
24;20.0;3072000;1651236931.8904376
25;20.0;3200000;1651237103.8855271
26;20.0;3328000;1651237272.313619
27;20.0;3456000;1651237441.7951007
28;20.0;3584000;1651237613.663288
29;20.0;3712000;1651237784.8899255
30;20.0;3840000;1651237957.2139487
31;20.0;3968000;1651238126.3111022
32;20.0;4096000;1651238299.6253958
33;20.0;4224000;1651238473.2206295
34;20.0;4352000;1651238646.0086212
35;20.0;4480000;1651238818.0755086
36;20.0;4608000;1651238990.630229
37;20.0;4736000;1651239165.2777753
38;20.0;4864000;1651239338.2637608
39;20.0;4992000;1651239509.1927402
40;20.0;5120000;1651239675.5963798
41;20.0;5248000;1651239842.9632337
42;20.0;5376000;1651240015.7785199
43;20.0;5504000;1651240186.1742752
44;20.0;5632000;1651240353.555211
45;20.0;5760000;1651240518.5186863
46;20.0;5888000;1651240684.1888351
47;20.0;6016000;1651240851.7911856
48;20.0;6144000;1651241019.1223164
49;20.0;6272000;1651241186.5480626
50;20.0;6400000;1651241356.9889657
51;20.0;6528000;1651241523.2369742
52;20.0;6656000;1651241689.8243096
53;20.0;6784000;1651241856.7848463
54;20.0;6912000;1651242022.1999516
55;20.0;7040000;1651242186.085325
56;20.0;7168000;1651242358.580367
57;20.0;7296000;1651242528.4417458
58;20.0;7424000;1651242699.0249028
59;20.0;7552000;1651242869.1714797
60;20.0;7680000;1651243039.1060734
61;20.0;7808000;1651243208.1141815
62;20.0;7936000;1651243378.9923446
63;20.0;8064000;1651243545.917741
64;20.0;8192000;1651243712.5176206
65;20.0;8320000;1651243878.5890481
66;20.0;8448000;1651244045.1750598
67;20.0;8576000;1651244210.1112046
68;20.0;8704000;1651244384.3357854
69;20.0;8832000;1651244556.0407386
70;20.0;8960000;1651244730.300418
71;20.0;9088000;1651244906.3045962
72;20.0;9216000;1651245075.420504
73;20.0;9344000;1651245252.1713386
74;20.0;9472000;1651245427.8358154
75;20.0;9600000;1651245599.3746798
76;20.0;9728000;1651245771.2690134
77;20.0;9856000;1651245940.8247888
78;20.0;9984000;1651246114.2422278
79;20.0;10112000;1651246289.2947257
80;20.0;10240000;1651246462.2237015
81;20.0;10368000;1651246637.0513217
82;20.0;10496000;1651246812.5054584
83;20.0;10624000;1651246986.6308692
84;20.0;10752000;1651247160.8431265
85;20.0;10880000;1651247332.7981236
86;20.0;11008000;1651247508.348211
87;20.0;11136000;1651247677.2377956
88;20.0;11264000;1651247842.8973713
89;20.0;11392000;1651248013.9233866
90;20.0;11520000;1651248182.3669133
91;20.0;11648000;1651248351.739651
92;20.0;11776000;1651248521.5254574
93;20.0;11904000;1651248693.8787882
94;20.0;12032000;1651248863.2629158
95;20.0;12160000;1651249035.111341
96;20.0;12288000;1651249202.7148867
97;20.0;12416000;1651249374.5174053
98;20.0;12544000;1651249543.0926433
99;20.0;12672000;1651249711.6317244
100;20.0;12800000;1651249877.3542635
101;20.0;12928000;1651250044.885201
102;20.0;13056000;1651250214.1851585
103;20.0;13184000;1651250384.10917
104;20.0;13312000;1651250560.155411
105;20.0;13440000;1651250735.0779364
106;20.0;13568000;1651250903.2632463
107;20.0;13696000;1651251072.0094008
108;20.0;13824000;1651251243.7816374
109;20.0;13952000;1651251410.2179687
110;20.0;14080000;1651251579.2970145
111;20.0;14208000;1651251747.1377323
