;test/length;Steps;Wall_Time
0;20.0;0;1651110273.8406646
1;20.0;256000;1651110366.746748
2;20.0;512000;1651110458.9035711
3;20.0;768000;1651110551.3495631
4;20.0;1024000;1651110643.6020405
5;20.0;1280000;1651110736.045024
6;20.0;1536000;1651110828.7580628
7;20.0;1792000;1651110921.6694105
8;20.0;2048000;1651111014.647269
9;20.0;2304000;1651111107.232168
10;20.0;2560000;1651111199.8945777
11;20.0;2816000;1651111292.9251552
12;20.0;3072000;1651111386.1342714
13;20.0;3328000;1651111479.4989495
14;20.0;3584000;1651111572.635096
15;20.0;3840000;1651111665.684567
16;20.0;4096000;1651111758.9147992
17;20.0;4352000;1651111851.666987
18;20.0;4608000;1651111944.4500513
19;20.0;4864000;1651112037.1083632
20;20.0;5120000;1651112129.6589458
21;20.0;5376000;1651112221.8508606
22;20.0;5632000;1651112314.0418074
23;20.0;5888000;1651112406.3388767
24;20.0;6144000;1651112498.5659704
25;20.0;6400000;1651112590.6332397
26;20.0;6656000;1651112682.9561527
27;20.0;6912000;1651112775.1541753
28;20.0;7168000;1651112867.6507044
29;20.0;7424000;1651112959.8022525
30;20.0;7680000;1651113051.5705018
31;20.0;7936000;1651113143.3747425
32;20.0;8192000;1651113236.025347
33;20.0;8448000;1651113328.3500087
34;20.0;8704000;1651113420.6057377
35;20.0;8960000;1651113512.8482816
36;20.0;9216000;1651113605.1231027
37;20.0;9472000;1651113697.4448721
38;20.0;9728000;1651113790.337754
39;20.0;9984000;1651113883.2036123
40;20.0;10240000;1651113976.117306
41;20.0;10496000;1651114069.0252914
42;20.0;10752000;1651114161.7364802
43;20.0;11008000;1651114254.4916797
44;20.0;11264000;1651114347.222128
45;20.0;11520000;1651114439.8018389
46;20.0;11776000;1651114532.4331915
47;20.0;12032000;1651114624.8466375
48;20.0;12288000;1651114716.8917017
49;20.0;12544000;1651114808.7808774
50;20.0;12800000;1651114900.8314016
