;test/length;Steps;Wall_Time
0;20.0;0;1649066212.032099
1;20.0;256000;1649066331.5514894
2;20.0;512000;1649066449.2869692
3;20.0;768000;1649066567.3547251
4;20.0;1024000;1649066685.5495021
5;20.0;1280000;1649066803.9333358
6;20.0;1536000;1649066926.3531258
7;20.0;1792000;1649067057.9176555
8;20.0;2048000;1649067188.2168121
9;20.0;2304000;1649067312.5923266
10;20.0;2560000;1649067439.152924
11;20.0;2816000;1649067565.9983664
12;20.0;3072000;1649067691.5682378
13;20.0;3328000;1649067814.024059
14;20.0;3584000;1649067942.2171872
15;20.0;3840000;1649068070.1801963
16;20.0;4096000;1649068194.6978655
17;20.0;4352000;1649068320.1103246
18;20.0;4608000;1649068447.9271545
19;20.0;4864000;1649068573.3759928
20;20.0;5120000;1649068695.8070445
21;20.0;5376000;1649068823.707571
22;20.0;5632000;1649068951.2681994
23;20.0;5888000;1649069075.966603
24;20.0;6144000;1649069203.030936
25;20.0;6400000;1649069331.0812216
26;20.0;6656000;1649069457.449316
27;20.0;6912000;1649069581.789875
28;20.0;7168000;1649069711.071296
29;20.0;7424000;1649069839.147014
30;20.0;7680000;1649069963.8780978
31;20.0;7936000;1649070091.388372
32;20.0;8192000;1649070219.8914106
33;20.0;8448000;1649070346.5574484
34;20.0;8704000;1649070467.417352
35;20.0;8960000;1649070585.413155
36;20.0;9216000;1649070703.993629
37;20.0;9472000;1649070822.9986699
38;20.0;9728000;1649070941.9730005
39;20.0;9984000;1649071060.8873954
40;20.0;10240000;1649071179.8646686
41;20.0;10496000;1649071298.921559
42;20.0;10752000;1649071417.9056838
43;20.0;11008000;1649071536.8770373
44;20.0;11264000;1649071655.9525647
45;20.0;11520000;1649071774.957569
46;20.0;11776000;1649071893.7977717
47;20.0;12032000;1649072012.0538
48;20.0;12288000;1649072129.714883
49;20.0;12544000;1649072247.6289515
50;20.0;12800000;1649072365.3865914
