;test/length_std;Steps;Wall_Time
0;0.0;0;1651114918.2566347
1;0.0;256000;1651115013.9365072
2;0.0;512000;1651115109.2736435
3;0.0;768000;1651115204.7053618
4;0.0;1024000;1651115300.2240915
5;0.0;1280000;1651115395.878951
6;0.0;1536000;1651115491.312377
7;0.0;1792000;1651115585.9407063
8;0.0;2048000;1651115680.797964
9;0.0;2304000;1651115776.1747956
10;0.0;2560000;1651115871.3087196
11;0.0;2816000;1651115966.1051178
12;0.0;3072000;1651116060.7462156
13;0.0;3328000;1651116155.8711503
14;0.0;3584000;1651116251.4337454
15;0.0;3840000;1651116346.3250163
16;0.0;4096000;1651116441.0076385
17;0.0;4352000;1651116536.3745644
18;0.0;4608000;1651116631.547017
19;0.0;4864000;1651116726.7234778
20;0.0;5120000;1651116822.000648
21;0.0;5376000;1651116916.6377695
22;0.0;5632000;1651117011.4137073
23;0.0;5888000;1651117105.9012492
24;0.0;6144000;1651117200.4601068
25;0.0;6400000;1651117295.7148893
26;0.0;6656000;1651117391.1680763
27;0.0;6912000;1651117486.4697924
28;0.0;7168000;1651117581.4660728
29;0.0;7424000;1651117676.5490363
30;0.0;7680000;1651117771.073005
31;0.0;7936000;1651117866.07931
32;0.0;8192000;1651117961.326278
33;0.0;8448000;1651118056.6105096
34;0.0;8704000;1651118151.5415618
35;0.0;8960000;1651118251.0937
36;0.0;9216000;1651118346.350797
37;0.0;9472000;1651118442.1559072
38;0.0;9728000;1651118537.737306
39;0.0;9984000;1651118632.4471195
40;0.0;10240000;1651118727.085579
41;0.0;10496000;1651118821.5118167
42;0.0;10752000;1651118916.7534952
43;0.0;11008000;1651119012.1321208
44;0.0;11264000;1651119107.581026
45;0.0;11520000;1651119202.535286
46;0.0;11776000;1651119297.787872
47;0.0;12032000;1651119392.969611
48;0.0;12288000;1651119488.3403888
49;0.0;12544000;1651119583.5143352
50;0.0;12800000;1651119678.4178827
