;test/length_std;Steps;Wall_Time
0;0.0;0;1649274906.59712
1;0.0;256000;1649275036.957701
2;0.0;512000;1649275167.1172717
3;0.0;768000;1649275297.1021779
4;0.0;1024000;1649275427.4630196
5;0.0;1280000;1649275557.5679862
6;0.0;1536000;1649275687.15585
7;0.0;1792000;1649275816.3899016
8;0.0;2048000;1649275945.7247207
9;0.0;2304000;1649276074.8949795
10;0.0;2560000;1649276204.3906898
11;0.0;2816000;1649276334.6029658
12;0.0;3072000;1649276464.4499667
13;0.0;3328000;1649276594.2596738
14;0.0;3584000;1649276723.8869426
15;0.0;3840000;1649276853.6633086
16;0.0;4096000;1649276983.4061751
17;0.0;4352000;1649277113.3283691
18;0.0;4608000;1649277243.4408133
19;0.0;4864000;1649277373.3822436
20;0.0;5120000;1649277503.4031043
21;0.0;5376000;1649277633.329288
22;0.0;5632000;1649277763.5461032
23;0.0;5888000;1649277893.4716685
24;0.0;6144000;1649278023.6824002
25;0.0;6400000;1649278153.8500137
26;0.0;6656000;1649278284.2013588
27;0.0;6912000;1649278414.4659834
28;0.0;7168000;1649278544.6100566
29;0.0;7424000;1649278674.6423411
30;0.0;7680000;1649278804.367517
31;0.0;7936000;1649278934.1122372
32;0.0;8192000;1649279064.2369828
33;0.0;8448000;1649279194.6818836
34;0.0;8704000;1649279324.7600107
35;0.0;8960000;1649279454.5935826
36;0.0;9216000;1649279584.604982
37;0.0;9472000;1649279714.2948887
38;0.0;9728000;1649279844.0137591
39;0.0;9984000;1649279974.0202713
40;0.0;10240000;1649280104.1028936
41;0.0;10496000;1649280234.1321092
42;0.0;10752000;1649280364.0661774
43;0.0;11008000;1649280494.1278238
44;0.0;11264000;1649280624.358446
45;0.0;11520000;1649280754.3990037
46;0.0;11776000;1649280884.3187363
47;0.0;12032000;1649281014.118555
48;0.0;12288000;1649281143.949293
49;0.0;12544000;1649281273.3765316
50;0.0;12800000;1649281402.7479613
51;0.0;13056000;1649281532.2053623
52;0.0;13312000;1649281661.670439
53;0.0;13568000;1649281791.1192217
54;0.0;13824000;1649281920.5623715
55;0.0;14080000;1649282050.0869427
56;0.0;14336000;1649282179.6565301
57;0.0;14592000;1649282309.2325282
58;0.0;14848000;1649282438.7768297
59;0.0;15104000;1649282568.2675745
60;0.0;15360000;1649282697.8543026
61;0.0;15616000;1649282827.2715178
62;0.0;15872000;1649282956.7762468
63;0.0;16128000;1649283086.3151205
64;0.0;16384000;1649283215.8036199
65;0.0;16640000;1649283345.3233678
66;0.0;16896000;1649283474.8224077
67;0.0;17152000;1649283604.3385699
68;0.0;17408000;1649283733.8693302
69;0.0;17664000;1649283863.3654015
70;0.0;17920000;1649283992.758307
71;0.0;18176000;1649284122.2614124
72;0.0;18432000;1649284251.6036916
73;0.0;18688000;1649284380.9596574
74;0.0;18944000;1649284510.4049308
75;0.0;19200000;1649284639.812882
76;0.0;19456000;1649284769.1912897
77;0.0;19712000;1649284898.668164
78;0.0;19968000;1649285028.2188168
79;0.0;20224000;1649285157.5671186
80;0.0;20480000;1649285287.0891488
81;0.0;20736000;1649285416.640041
82;0.0;20992000;1649285546.0642974
83;0.0;21248000;1649285675.4805672
84;0.0;21504000;1649285804.9417193
85;0.0;21760000;1649285934.4559205
86;0.0;22016000;1649286063.8180509
87;0.0;22272000;1649286193.2700598
88;0.0;22528000;1649286322.5540261
89;0.0;22784000;1649286451.8668962
90;0.0;23040000;1649286581.1174634
91;0.0;23296000;1649286710.550351
92;0.0;23552000;1649286840.0217478
