;test/reward;Steps;Wall_Time
0;-9.25485897064209;0;1651060752.628847
1;-7.607923984527588;256000;1651060851.6002128
2;-6.6691460609436035;512000;1651060950.3040853
3;-6.348028659820557;768000;1651061048.9706185
4;-9.590498924255371;1024000;1651061147.7581718
5;-7.303581237792969;1280000;1651061246.316156
6;-7.183345317840576;1536000;1651061345.09921
7;-7.166479587554932;1792000;1651061444.8273926
8;-5.66249942779541;2048000;1651061544.424311
9;-7.190897464752197;2304000;1651061643.7379053
10;-6.754861831665039;2560000;1651061741.9875712
11;-7.062479496002197;2816000;1651061840.3069239
12;-6.536864757537842;3072000;1651061938.9882865
13;-6.105419158935547;3328000;1651062037.211842
14;-6.730532169342041;3584000;1651062135.6718733
15;-6.764615535736084;3840000;1651062235.0216587
16;-6.350994110107422;4096000;1651062334.3307412
17;-6.247862339019775;4352000;1651062433.420241
18;-6.075336456298828;4608000;1651062532.5305345
19;-6.081994533538818;4864000;1651062631.6998594
20;-6.283896446228027;5120000;1651062730.8365412
21;-6.739871501922607;5376000;1651062830.0581822
22;-6.957151889801025;5632000;1651062929.1949522
23;-6.751147747039795;5888000;1651063028.5228486
24;-6.1927170753479;6144000;1651063127.701195
25;-5.917867660522461;6400000;1651063226.8800998
26;-5.483959197998047;6656000;1651063325.9668221
27;-5.175724029541016;6912000;1651063424.7993083
28;-5.198070526123047;7168000;1651063523.8847375
29;-4.8508992195129395;7424000;1651063623.0573897
30;-4.6824259757995605;7680000;1651063721.8675966
31;-4.889811992645264;7936000;1651063821.1384873
32;-6.717782497406006;8192000;1651063920.431687
33;-6.364515781402588;8448000;1651064019.6184185
34;-6.0995283126831055;8704000;1651064118.5367956
35;-5.0716352462768555;8960000;1651064217.889698
36;-4.901494979858398;9216000;1651064317.593073
37;-5.07391881942749;9472000;1651064417.0511835
38;-4.937998294830322;9728000;1651064516.2678535
39;-4.992239952087402;9984000;1651064615.4144204
40;-4.966521263122559;10240000;1651064714.6898894
41;-4.897849082946777;10496000;1651064813.7220616
42;-4.805875778198242;10752000;1651064912.8427489
43;-4.847250461578369;11008000;1651065012.1418912
44;-4.8447370529174805;11264000;1651065111.2066975
45;-4.7116265296936035;11520000;1651065210.5786803
46;-4.710426330566406;11776000;1651065310.207481
47;-4.643750190734863;12032000;1651065409.4925637
48;-4.647888660430908;12288000;1651065508.8562334
49;-4.601851463317871;12544000;1651065608.3817942
50;-4.554500102996826;12800000;1651065708.2683058
