;test/reward;Steps;Wall_Time
0;-10.411186218261719;0;1648976545.0410237
1;-7.875997543334961;256000;1648976667.9702466
2;-4.8524274826049805;512000;1648976790.6983874
3;-4.39314603805542;768000;1648976913.4738882
4;-4.297859191894531;1024000;1648977036.3149586
5;-4.2107648849487305;1280000;1648977159.2738824
6;-4.246657371520996;1536000;1648977282.1324801
7;-4.147826194763184;1792000;1648977405.072376
8;-4.411847114562988;2048000;1648977528.2670617
9;-4.330267906188965;2304000;1648977651.3541589
10;-4.262042045593262;2560000;1648977774.3454669
11;-4.234004497528076;2816000;1648977897.2768795
12;-4.248093128204346;3072000;1648978020.154262
13;-4.2286481857299805;3328000;1648978143.0709665
14;-4.312502384185791;3584000;1648978265.8068178
15;-4.285668849945068;3840000;1648978388.7065566
16;-4.146070957183838;4096000;1648978511.3774319
17;-4.1223554611206055;4352000;1648978633.7950168
18;-4.117486476898193;4608000;1648978756.5461392
19;-4.080441474914551;4864000;1648978879.0342836
20;-4.113156795501709;5120000;1648979001.4320712
21;-4.096263885498047;5376000;1648979123.7732105
22;-4.079293727874756;5632000;1648979246.4111385
23;-4.098243713378906;5888000;1648979368.7114046
24;-4.103119373321533;6144000;1648979490.9943423
25;-4.105814456939697;6400000;1648979613.3424106
26;-4.099198818206787;6656000;1648979735.8840754
27;-4.103004455566406;6912000;1648979858.510164
28;-4.114902973175049;7168000;1648979980.9261746
29;-4.160815715789795;7424000;1648980103.5694969
30;-4.1583733558654785;7680000;1648980226.1508474
31;-4.186478614807129;7936000;1648980348.6885002
32;-4.15635347366333;8192000;1648980471.1817353
33;-4.220826148986816;8448000;1648980593.6253505
34;-4.164711952209473;8704000;1648980716.128261
35;-4.1440534591674805;8960000;1648980838.5233648
36;-4.065108776092529;9216000;1648980960.906879
37;-4.069408893585205;9472000;1648981083.4337776
38;-4.07283353805542;9728000;1648981205.8713686
39;-4.063181400299072;9984000;1648981328.421435
40;-4.070394992828369;10240000;1648981450.9853833
41;-4.054419040679932;10496000;1648981573.6879761
42;-4.086701393127441;10752000;1648981696.5223312
43;-4.069246292114258;11008000;1648981819.265387
44;-4.046147346496582;11264000;1648981942.0328104
45;-4.043926239013672;11520000;1648982064.7967465
46;-4.0897016525268555;11776000;1648982187.3369508
47;-4.07682991027832;12032000;1648982310.1397955
48;-4.1005859375;12288000;1648982432.9698281
49;-4.131226062774658;12544000;1648982555.709732
50;-4.059896469116211;12800000;1648982678.5014272
