;train/episode;Steps;Wall_Time
0;64.0;1280;1651232555.287857
1;64.0;3840;1651232560.0977135
2;64.0;5120;1651232562.4209476
3;64.0;7680;1651232567.0843885
4;64.0;10240;1651232571.7369766
5;64.0;11520;1651232574.0771706
6;64.0;12800;1651232576.410447
7;64.0;14080;1651232578.7351573
8;64.0;15360;1651232581.0634499
9;64.0;16640;1651232583.386414
10;64.0;17920;1651232585.712045
11;64.0;19200;1651232588.043365
12;64.0;20480;1651232590.3701074
13;64.0;21760;1651232592.7045612
14;64.0;23040;1651232595.034343
15;64.0;25600;1651232599.6817636
16;64.0;26880;1651232602.0041497
17;64.0;28160;1651232604.3350632
18;64.0;29440;1651232606.6734579
19;64.0;30720;1651232608.9984543
20;64.0;32000;1651232611.328403
21;64.0;34560;1651232615.9994767
22;64.0;35840;1651232618.325374
23;64.0;37120;1651232620.653167
24;64.0;38400;1651232622.9800417
25;64.0;39680;1651232625.3038762
26;64.0;40960;1651232627.6406538
27;64.0;42240;1651232629.96421
28;64.0;43520;1651232632.2874446
29;64.0;46080;1651232636.6138718
30;64.0;47360;1651232638.7795596
31;64.0;48640;1651232640.9330583
32;64.0;49920;1651232643.0409102
33;64.0;51200;1651232645.20229
34;64.0;52480;1651232647.389546
35;64.0;55040;1651232651.6977084
36;64.0;56320;1651232653.8644395
37;64.0;57600;1651232655.9579744
38;64.0;58880;1651232658.1281683
39;64.0;60160;1651232660.2830846
40;64.0;61440;1651232662.4148047
41;64.0;62720;1651232664.5564487
42;64.0;64000;1651232666.6566856
43;64.0;65280;1651232668.9844494
44;64.0;66560;1651232671.232431
45;64.0;67840;1651232673.5537271
46;64.0;69120;1651232675.9052293
47;64.0;70400;1651232678.2040668
48;64.0;71680;1651232680.5139837
49;64.0;72960;1651232682.8331046
50;64.0;78080;1651232692.086566
51;64.0;79360;1651232694.3935661
52;64.0;80640;1651232696.6986494
53;64.0;81920;1651232699.0095594
54;64.0;83200;1651232701.3212132
55;64.0;84480;1651232703.6348102
56;64.0;85760;1651232705.951967
57;64.0;87040;1651232708.2563453
58;64.0;88320;1651232710.5703022
59;64.0;89600;1651232712.8806782
60;64.0;92160;1651232717.5148547
61;64.0;93440;1651232719.8194382
62;64.0;96000;1651232724.4548361
63;64.0;97280;1651232726.76374
64;64.0;98560;1651232729.0813763
65;64.0;99840;1651232731.3972116
66;64.0;101120;1651232733.7024994
67;64.0;102400;1651232736.0082574
68;64.0;103680;1651232738.317118
69;64.0;104960;1651232740.623298
70;64.0;106240;1651232742.8594582
71;64.0;107520;1651232745.1056767
72;64.0;108800;1651232747.3564014
73;64.0;110080;1651232749.566959
74;64.0;111360;1651232751.7919147
75;64.0;112640;1651232754.0442076
76;64.0;113920;1651232756.229859
77;64.0;115200;1651232758.4140582
78;64.0;116480;1651232760.665521
79;64.0;117760;1651232762.856472
80;64.0;119040;1651232765.0618024
81;64.0;120320;1651232767.3061922
82;64.0;121600;1651232769.5237503
83;64.0;122880;1651232771.740726
84;64.0;124160;1651232773.989478
85;64.0;125440;1651232776.1696339
86;64.0;126720;1651232778.361714
87;64.0;128000;1651232780.602952
88;64.0;129280;1651232815.2222173
89;64.0;130560;1651232817.5302556
90;64.0;131840;1651232819.850028
91;64.0;133120;1651232822.1635447
92;64.0;134400;1651232824.4732597
93;64.0;135680;1651232826.7845361
94;64.0;136960;1651232829.1058352
95;64.0;138240;1651232831.426223
96;64.0;139520;1651232833.7493358
97;64.0;140800;1651232836.0685866
98;64.0;142080;1651232838.3899722
99;64.0;143360;1651232840.7067842
100;64.0;144640;1651232843.028688
101;64.0;145920;1651232845.3522835
102;64.0;148480;1651232849.9869404
103;64.0;149760;1651232852.305875
104;64.0;152320;1651232856.9501426
105;64.0;153600;1651232859.2669592
106;64.0;154880;1651232861.5874848
107;64.0;156160;1651232863.9010777
108;64.0;157440;1651232866.2225792
109;64.0;158720;1651232868.5500178
110;64.0;161280;1651232873.1994846
111;64.0;162560;1651232875.5197785
112;64.0;163840;1651232877.8448322
113;64.0;165120;1651232880.1626096
114;64.0;167680;1651232884.7958567
115;64.0;168960;1651232887.109473
116;64.0;170240;1651232889.4247196
117;64.0;172800;1651232893.8706422
118;64.0;174080;1651232896.009018
119;64.0;175360;1651232898.143921
120;64.0;177920;1651232902.4289114
121;64.0;179200;1651232904.5082862
122;64.0;180480;1651232906.6466343
123;64.0;181760;1651232908.7657926
124;64.0;183040;1651232910.927244
125;64.0;184320;1651232913.0764787
126;64.0;185600;1651232915.1458955
127;64.0;186880;1651232917.285715
128;64.0;188160;1651232919.3906655
129;64.0;190720;1651232923.6163714
130;64.0;192000;1651232925.7602832
131;64.0;194560;1651232930.3748503
132;64.0;195840;1651232932.6823456
133;64.0;197120;1651232934.9940128
134;64.0;198400;1651232937.3033283
135;64.0;199680;1651232939.6131773
136;64.0;200960;1651232941.9298565
137;64.0;202240;1651232944.2581196
138;64.0;203520;1651232946.572167
139;64.0;204800;1651232948.879314
140;64.0;206080;1651232951.1969633
141;64.0;207360;1651232953.5137177
142;64.0;208640;1651232955.8359854
143;64.0;209920;1651232958.1546795
144;64.0;211200;1651232960.4648936
145;64.0;212480;1651232962.7805939
146;64.0;215040;1651232967.4032545
147;64.0;216320;1651232969.715587
148;64.0;218880;1651232974.3426034
149;64.0;220160;1651232976.6496937
150;64.0;222720;1651232981.2708504
151;64.0;224000;1651232983.5871148
152;64.0;225280;1651232985.8982024
153;64.0;226560;1651232988.2115247
154;64.0;227840;1651232990.5158045
155;64.0;229120;1651232992.8243406
156;64.0;231680;1651232997.440406
157;64.0;234240;1651233002.0467207
158;64.0;235520;1651233004.3551328
159;64.0;236800;1651233006.664996
160;64.0;238080;1651233008.9790163
161;64.0;239360;1651233011.2912605
162;64.0;240640;1651233013.5708733
163;64.0;241920;1651233015.8553376
164;64.0;243200;1651233018.1727972
165;64.0;244480;1651233020.4911098
166;64.0;245760;1651233022.798993
167;64.0;247040;1651233025.113525
168;64.0;248320;1651233027.4208407
169;64.0;249600;1651233029.728312
170;64.0;250880;1651233032.037503
171;64.0;252160;1651233034.34511
172;64.0;253440;1651233036.6605408
173;64.0;254720;1651233038.9658651
174;64.0;256000;1651233041.2784882
175;64.0;257280;1651233075.8193665
176;64.0;258560;1651233078.0541954
177;64.0;259840;1651233080.2552123
178;64.0;261120;1651233082.5003648
179;64.0;263680;1651233086.920934
180;64.0;264960;1651233089.1638029
181;64.0;266240;1651233091.381188
182;64.0;267520;1651233093.5588894
183;64.0;268800;1651233095.8197567
184;64.0;270080;1651233098.0489953
185;64.0;271360;1651233100.2768245
186;64.0;272640;1651233102.5471573
187;64.0;273920;1651233104.7244391
188;64.0;275200;1651233107.046714
189;64.0;276480;1651233109.3722494
190;64.0;277760;1651233111.7000508
191;64.0;280320;1651233116.3420136
192;64.0;281600;1651233118.6682684
193;64.0;282880;1651233120.9843318
194;64.0;284160;1651233123.2965195
195;64.0;285440;1651233125.6136951
196;64.0;286720;1651233127.9260888
197;64.0;288000;1651233130.2455497
198;64.0;289280;1651233132.5318143
199;64.0;290560;1651233134.8064566
200;64.0;291840;1651233137.122112
201;64.0;294400;1651233141.7563477
202;64.0;296960;1651233146.3693814
203;64.0;298240;1651233148.6733277
204;64.0;300800;1651233153.0597618
205;64.0;302080;1651233155.2011344
206;64.0;303360;1651233157.3505342
207;64.0;304640;1651233159.4952972
208;64.0;305920;1651233161.6207368
209;64.0;307200;1651233163.760746
210;64.0;308480;1651233165.8434181
211;64.0;311040;1651233170.1644409
212;64.0;312320;1651233172.29804
213;64.0;313600;1651233174.442008
214;64.0;314880;1651233176.55904
215;64.0;316160;1651233178.664473
216;64.0;318720;1651233182.925819
217;64.0;320000;1651233185.1482382
218;64.0;321280;1651233187.4934483
219;64.0;322560;1651233189.7634175
220;64.0;323840;1651233192.0691504
221;64.0;325120;1651233194.340951
222;64.0;326400;1651233196.7352686
223;64.0;327680;1651233199.0776007
224;64.0;328960;1651233201.3945594
225;64.0;330240;1651233203.7037017
226;64.0;331520;1651233206.0171287
227;64.0;332800;1651233208.339713
228;64.0;334080;1651233210.673033
229;64.0;335360;1651233212.9937584
230;64.0;336640;1651233215.29545
231;64.0;339200;1651233219.931926
232;64.0;340480;1651233222.2476068
233;64.0;341760;1651233224.5677662
234;64.0;344320;1651233229.2189083
235;64.0;345600;1651233231.5441012
236;64.0;346880;1651233233.861303
237;64.0;348160;1651233236.1769228
238;64.0;349440;1651233238.4932108
239;64.0;350720;1651233240.8167586
240;64.0;352000;1651233243.137047
241;64.0;353280;1651233245.4708033
242;64.0;354560;1651233247.8038657
243;64.0;355840;1651233250.107708
244;64.0;357120;1651233252.4229274
245;64.0;358400;1651233254.7081108
246;64.0;359680;1651233256.961226
247;64.0;360960;1651233259.1850786
