;train/episode;Steps;Wall_Time
0;512.0;3496;1649763559.8527524
1;512.0;7247;1649763562.3562672
2;512.0;11049;1649763564.9026475
3;512.0;14910;1649763567.5028663
4;512.0;18890;1649763570.642706
5;512.0;22806;1649763573.3618777
6;512.0;26732;1649763576.0515916
7;512.0;30680;1649763578.7732692
8;512.0;34640;1649763581.5403368
9;512.0;38574;1649763584.245556
10;512.0;42574;1649763586.937543
11;512.0;46545;1649763589.626036
12;512.0;50496;1649763592.3236225
13;512.0;54493;1649763595.0296147
14;512.0;58540;1649763597.7745514
15;512.0;62573;1649763600.5644062
16;512.0;66691;1649763603.327295
17;512.0;70854;1649763606.1130407
18;512.0;75024;1649763608.9723759
19;512.0;79336;1649763611.880834
20;512.0;83785;1649763615.0737667
21;512.0;88382;1649763618.1564293
22;512.0;93180;1649763621.3007135
23;512.0;98284;1649763624.9840684
24;512.0;103443;1649763628.424319
25;512.0;108886;1649763632.2503517
26;512.0;114435;1649763635.8950114
27;512.0;120260;1649763640.2254505
28;512.0;126219;1649763644.324235
29;512.0;132295;1649763648.6845057
30;512.0;138381;1649763653.1383235
31;512.0;144572;1649763657.4847214
32;512.0;150777;1649763661.8748772
33;512.0;156954;1649763666.4336135
34;512.0;163257;1649763670.5699613
35;512.0;169505;1649763674.9971113
36;512.0;175804;1649763679.16213
37;512.0;182180;1649763683.3442583
38;512.0;188657;1649763688.024554
39;512.0;195238;1649763692.7808917
40;512.0;201774;1649763697.5379329
41;512.0;208442;1649763701.9369783
42;512.0;215009;1649763706.7187736
43;512.0;221567;1649763711.017538
44;512.0;228232;1649763715.400482
45;512.0;234809;1649763719.810148
46;512.0;241479;1649763724.199245
47;512.0;248204;1649763728.6249046
48;512.0;255021;1649763733.5930567
49;512.0;261804;1649763738.486125
50;512.0;268735;1649763743.042724
51;512.0;275587;1649763747.9929934
52;512.0;282411;1649763752.5269992
53;512.0;289304;1649763757.0313873
54;512.0;296109;1649763761.5468767
55;512.0;303047;1649763766.057074
