;train/length;Steps;Wall_Time
0;20.0;1280;1651184318.5726128
1;20.0;2560;1651184321.2415946
2;20.0;3840;1651184323.707815
3;20.0;5120;1651184326.3023787
4;20.0;6400;1651184328.935385
5;20.0;7680;1651184331.4939408
6;20.0;8960;1651184334.3485222
7;20.0;10240;1651184336.7887661
8;20.0;11520;1651184339.4854407
9;20.0;12800;1651184341.9966948
10;20.0;14080;1651184344.6796017
11;20.0;15360;1651184347.188501
12;20.0;16640;1651184349.86914
13;20.0;17920;1651184352.54915
14;20.0;19200;1651184355.0347679
15;20.0;20480;1651184357.8672206
16;20.0;21760;1651184360.3642871
17;20.0;23040;1651184362.9871094
18;20.0;24320;1651184365.5085437
19;20.0;25600;1651184368.1863656
20;20.0;26880;1651184370.8266876
21;20.0;28160;1651184373.3170834
22;20.0;29440;1651184375.9837995
23;20.0;30720;1651184378.5073702
24;20.0;32000;1651184381.361323
25;20.0;33280;1651184383.8217373
26;20.0;34560;1651184386.5178518
27;20.0;35840;1651184389.181666
28;20.0;37120;1651184391.7141862
29;20.0;38400;1651184394.3844013
30;20.0;39680;1651184396.8645442
31;20.0;40960;1651184399.5368502
32;20.0;42240;1651184402.0535262
33;20.0;43520;1651184404.8970706
34;20.0;44800;1651184407.3245718
35;20.0;46080;1651184410.013621
36;20.0;47360;1651184412.6523304
37;20.0;48640;1651184415.128121
38;20.0;49920;1651184417.76772
39;20.0;51200;1651184420.2345135
40;20.0;52480;1651184422.8549237
41;20.0;53760;1651184425.3426692
42;20.0;55040;1651184427.944293
43;20.0;56320;1651184430.4392724
44;20.0;57600;1651184433.1916957
45;20.0;58880;1651184435.8828003
46;20.0;60160;1651184438.3150513
47;20.0;61440;1651184440.990399
48;20.0;62720;1651184443.5125895
49;20.0;64000;1651184446.2053063
50;20.0;65280;1651184490.6649172
51;20.0;66560;1651184493.3573103
52;20.0;67840;1651184496.0474982
53;20.0;69120;1651184498.5675356
54;20.0;70400;1651184501.2207608
55;20.0;71680;1651184503.7204607
56;20.0;72960;1651184506.5435314
57;20.0;74240;1651184509.0153995
58;20.0;75520;1651184511.7043126
59;20.0;76800;1651184514.2202802
60;20.0;78080;1651184516.9197385
61;20.0;79360;1651184519.5591576
62;20.0;80640;1651184522.0483952
63;20.0;81920;1651184524.7258053
64;20.0;83200;1651184527.2291389
65;20.0;84480;1651184530.078423
66;20.0;85760;1651184532.5941317
67;20.0;87040;1651184535.270326
68;20.0;88320;1651184537.9652874
69;20.0;89600;1651184540.4450874
70;20.0;90880;1651184542.9446814
71;20.0;92160;1651184545.3157294
72;20.0;93440;1651184547.8452365
73;20.0;94720;1651184550.1829076
74;20.0;96000;1651184552.6925397
75;20.0;97280;1651184555.1436644
76;20.0;98560;1651184557.5103986
77;20.0;99840;1651184560.0650601
78;20.0;101120;1651184562.419323
79;20.0;102400;1651184564.6943085
80;20.0;103680;1651184567.052993
81;20.0;104960;1651184569.3450422
82;20.0;106240;1651184571.6993048
83;20.0;107520;1651184574.0306993
84;20.0;108800;1651184576.345707
85;20.0;110080;1651184578.7138584
86;20.0;111360;1651184581.0772097
87;20.0;112640;1651184583.4348097
88;20.0;113920;1651184586.1001308
89;20.0;115200;1651184588.606357
90;20.0;116480;1651184591.132991
91;20.0;117760;1651184593.65872
92;20.0;119040;1651184596.101938
93;20.0;120320;1651184598.5536454
94;20.0;121600;1651184601.0816014
95;20.0;122880;1651184603.5631144
96;20.0;124160;1651184606.0537283
97;20.0;125440;1651184608.555917
98;20.0;126720;1651184611.1790543
99;20.0;128000;1651184613.6736076
100;20.0;129280;1651184656.2278247
101;20.0;130560;1651184658.6596181
102;20.0;131840;1651184661.1399648
103;20.0;133120;1651184663.6575203
104;20.0;134400;1651184666.3170512
