;train/length;Steps;Wall_Time
0;20.0;2560;1651076234.4326715
1;20.0;5120;1651076235.3583891
2;20.0;7680;1651076236.2603269
3;20.0;10240;1651076237.152654
4;20.0;12800;1651076238.0394065
5;20.0;15360;1651076238.942215
6;20.0;17920;1651076239.835436
7;20.0;20480;1651076240.7319732
8;20.0;23040;1651076241.6362004
9;20.0;25600;1651076242.5217855
10;20.0;28160;1651076243.4200413
11;20.0;30720;1651076244.307382
12;20.0;33280;1651076245.188845
13;20.0;35840;1651076246.069602
14;20.0;38400;1651076246.948155
15;20.0;40960;1651076247.8202078
16;20.0;43520;1651076248.7006688
17;20.0;46080;1651076249.57488
18;20.0;48640;1651076250.4545298
19;20.0;51200;1651076251.3535428
20;20.0;53760;1651076252.2396622
21;20.0;56320;1651076253.1324854
22;20.0;58880;1651076254.0272377
23;20.0;61440;1651076254.9171073
24;20.0;64000;1651076255.8074188
25;20.0;66560;1651076256.6865957
26;20.0;69120;1651076257.5617743
27;20.0;71680;1651076258.43923
28;20.0;74240;1651076259.3182397
29;20.0;76800;1651076260.1950598
30;20.0;79360;1651076261.0720663
31;20.0;81920;1651076261.9500391
32;20.0;84480;1651076262.8429713
33;20.0;87040;1651076263.7181523
34;20.0;89600;1651076264.619584
35;20.0;92160;1651076265.5020583
36;20.0;94720;1651076266.4025817
37;20.0;97280;1651076267.304729
38;20.0;99840;1651076268.1833832
39;20.0;102400;1651076269.0595338
40;20.0;104960;1651076269.944207
41;20.0;107520;1651076270.8265767
42;20.0;110080;1651076271.7046318
43;20.0;112640;1651076272.5855742
44;20.0;115200;1651076273.4839463
45;20.0;117760;1651076274.3755045
46;20.0;120320;1651076275.2641008
47;20.0;122880;1651076276.1560738
48;20.0;125440;1651076277.037452
49;20.0;128000;1651076277.9187746
50;20.0;130560;1651076278.7977824
51;20.0;133120;1651076279.6927013
52;20.0;135680;1651076280.5951726
53;20.0;138240;1651076281.4911141
54;20.0;140800;1651076282.3914633
55;20.0;143360;1651076283.293434
56;20.0;145920;1651076284.1999063
57;20.0;148480;1651076285.0950623
58;20.0;151040;1651076285.9941206
59;20.0;153600;1651076286.8890452
60;20.0;156160;1651076287.78209
61;20.0;158720;1651076288.666808
62;20.0;161280;1651076289.5711458
63;20.0;163840;1651076290.4513795
64;20.0;166400;1651076291.333951
65;20.0;168960;1651076292.2317095
66;20.0;171520;1651076293.1174943
67;20.0;174080;1651076294.0040689
68;20.0;176640;1651076294.8882005
69;20.0;179200;1651076295.7708602
70;20.0;181760;1651076296.6507177
71;20.0;184320;1651076297.5334432
72;20.0;186880;1651076298.4298975
73;20.0;189440;1651076299.33661
74;20.0;192000;1651076300.2414396
75;20.0;194560;1651076301.1412435
76;20.0;197120;1651076302.0437477
77;20.0;199680;1651076302.943099
78;20.0;202240;1651076303.8342535
79;20.0;204800;1651076304.735479
80;20.0;207360;1651076305.6330056
81;20.0;209920;1651076306.54426
82;20.0;212480;1651076307.442941
83;20.0;215040;1651076308.3460345
84;20.0;217600;1651076309.245106
85;20.0;220160;1651076310.130754
86;20.0;222720;1651076311.012372
87;20.0;225280;1651076311.9007056
88;20.0;227840;1651076312.7949362
89;20.0;230400;1651076313.6722496
90;20.0;232960;1651076314.550195
91;20.0;235520;1651076315.4423318
92;20.0;238080;1651076316.3314452
93;20.0;240640;1651076317.2277942
94;20.0;243200;1651076318.1267736
95;20.0;245760;1651076319.0273585
96;20.0;248320;1651076319.9392118
97;20.0;250880;1651076320.8188365
98;20.0;253440;1651076321.704624
99;20.0;256000;1651076322.5977678
100;20.0;258560;1651076330.8574166
101;20.0;261120;1651076331.779606
102;20.0;263680;1651076332.6717486
103;20.0;266240;1651076333.548351
104;20.0;268800;1651076334.498242
105;20.0;271360;1651076335.3735843
106;20.0;273920;1651076336.2613978
107;20.0;276480;1651076337.1349518
108;20.0;279040;1651076338.0206466
109;20.0;281600;1651076338.9033165
110;20.0;284160;1651076339.7758818
111;20.0;286720;1651076340.6476882
112;20.0;289280;1651076341.5210137
113;20.0;291840;1651076342.4124675
114;20.0;294400;1651076343.291288
115;20.0;296960;1651076344.1765285
116;20.0;299520;1651076345.070282
117;20.0;302080;1651076345.9537086
118;20.0;304640;1651076346.8554363
119;20.0;307200;1651076347.7372117
120;20.0;309760;1651076348.6124933
121;20.0;312320;1651076349.4870749
122;20.0;314880;1651076350.3599734
123;20.0;317440;1651076351.2449396
124;20.0;320000;1651076352.138976
125;20.0;322560;1651076353.0292192
126;20.0;325120;1651076353.920549
127;20.0;327680;1651076354.8062785
128;20.0;330240;1651076355.6915681
129;20.0;332800;1651076356.5789223
130;20.0;335360;1651076357.4702828
131;20.0;337920;1651076358.35856
132;20.0;340480;1651076359.2462218
133;20.0;343040;1651076360.1482096
134;20.0;345600;1651076361.0485036
135;20.0;348160;1651076361.9528375
136;20.0;350720;1651076362.8354557
137;20.0;353280;1651076363.712841
138;20.0;355840;1651076364.5949585
139;20.0;358400;1651076365.4819038
140;20.0;360960;1651076366.3732557
141;20.0;363520;1651076367.2593694
142;20.0;366080;1651076368.1535044
143;20.0;368640;1651076369.0475636
144;20.0;371200;1651076369.9388149
145;20.0;373760;1651076370.8379366
146;20.0;376320;1651076371.7428288
147;20.0;378880;1651076372.64695
148;20.0;381440;1651076373.5228114
149;20.0;384000;1651076374.401176
150;20.0;386560;1651076375.2969503
151;20.0;389120;1651076376.1770089
152;20.0;391680;1651076377.0631464
153;20.0;394240;1651076377.965901
154;20.0;396800;1651076378.8452349
155;20.0;399360;1651076379.716491
156;20.0;401920;1651076380.5927083
157;20.0;404480;1651076381.46867
158;20.0;407040;1651076382.3478267
159;20.0;409600;1651076383.224098
160;20.0;412160;1651076384.101607
161;20.0;414720;1651076384.9776747
162;20.0;417280;1651076385.8583152
163;20.0;419840;1651076386.7449334
164;20.0;422400;1651076387.6260657
165;20.0;424960;1651076388.5189679
166;20.0;427520;1651076389.3940475
167;20.0;430080;1651076390.2728682
168;20.0;432640;1651076391.150401
169;20.0;435200;1651076392.0324562
170;20.0;437760;1651076392.9198651
171;20.0;440320;1651076393.801056
172;20.0;442880;1651076394.7048726
173;20.0;445440;1651076395.593281
174;20.0;448000;1651076396.47949
175;20.0;450560;1651076397.37907
176;20.0;453120;1651076398.2749867
177;20.0;455680;1651076399.1680436
178;20.0;458240;1651076400.0431628
179;20.0;460800;1651076400.9192643
180;20.0;463360;1651076401.8068767
