;train/length;Steps;Wall_Time
0;20.0;1280;1647810596.7047348
1;20.0;2560;1647810597.960041
2;20.0;3840;1647810599.2264218
3;20.0;5120;1647810600.4772756
4;20.0;6400;1647810601.7260637
5;20.0;7680;1647810602.975286
6;20.0;8960;1647810604.2244287
7;20.0;10240;1647810605.4837837
8;20.0;11520;1647810606.7844546
9;20.0;12800;1647810608.032453
10;20.0;14080;1647810609.2961624
11;20.0;15360;1647810610.5391078
12;20.0;16640;1647810611.7947679
13;20.0;17920;1647810613.0412977
14;20.0;19200;1647810614.2747881
15;20.0;20480;1647810615.5219443
16;20.0;21760;1647810616.7888374
17;20.0;23040;1647810618.037466
18;20.0;24320;1647810619.2836351
19;20.0;25600;1647810620.541807
20;20.0;26880;1647810621.7874558
21;20.0;28160;1647810623.0391502
22;20.0;29440;1647810624.2950606
23;20.0;30720;1647810625.544116
24;20.0;32000;1647810626.7921185
25;20.0;33280;1647810628.0730906
26;20.0;34560;1647810629.314143
27;20.0;35840;1647810630.5697365
28;20.0;37120;1647810631.8043294
29;20.0;38400;1647810633.0492184
30;20.0;39680;1647810634.292831
31;20.0;40960;1647810635.543827
32;20.0;42240;1647810636.795652
33;20.0;43520;1647810638.065009
34;20.0;44800;1647810639.3134756
35;20.0;46080;1647810640.5561972
36;20.0;47360;1647810641.8076093
37;20.0;48640;1647810643.0665965
38;20.0;49920;1647810644.3110342
39;20.0;51200;1647810645.549391
40;20.0;52480;1647810646.8025358
41;20.0;53760;1647810648.072166
42;20.0;55040;1647810649.3264542
43;20.0;56320;1647810650.5711288
44;20.0;57600;1647810651.81751
45;20.0;58880;1647810653.059284
46;20.0;60160;1647810654.3124056
47;20.0;61440;1647810655.5483038
48;20.0;62720;1647810656.8042762
49;20.0;64000;1647810658.0466607
50;20.0;65280;1647810675.4383368
51;20.0;66560;1647810676.6836717
52;20.0;67840;1647810677.9236858
53;20.0;69120;1647810679.1804194
54;20.0;70400;1647810680.4461796
55;20.0;71680;1647810681.6914566
56;20.0;72960;1647810682.938519
