;train/length;Steps;Wall_Time
0;6.828125;3496;1649763559.8528495
1;7.326171875;7247;1649763562.3563662
2;7.42578125;11049;1649763564.9027338
3;7.541015625;14910;1649763567.5029523
4;7.7734375;18890;1649763570.6430094
5;7.6484375;22806;1649763573.3620152
6;7.66796875;26732;1649763576.051686
7;7.7109375;30680;1649763578.7734115
8;7.734375;34640;1649763581.5404432
9;7.68359375;38574;1649763584.2456932
10;7.8125;42574;1649763586.9376502
11;7.755859375;46545;1649763589.6261249
12;7.716796875;50496;1649763592.3237178
13;7.806640625;54493;1649763595.0297503
14;7.904296875;58540;1649763597.7746744
15;7.876953125;62573;1649763600.5644987
16;8.04296875;66691;1649763603.3273885
17;8.130859375;70854;1649763606.1131446
18;8.14453125;75024;1649763608.9724631
19;8.421875;79336;1649763611.8809264
20;8.689453125;83785;1649763615.0738502
21;8.978515625;88382;1649763618.1565256
22;9.37109375;93180;1649763621.3008058
23;9.96875;98284;1649763624.9841812
24;10.076171875;103443;1649763628.4244237
25;10.630859375;108886;1649763632.2504451
26;10.837890625;114435;1649763635.8951018
27;11.376953125;120260;1649763640.225539
28;11.638671875;126219;1649763644.3243272
29;11.8671875;132295;1649763648.6846333
30;11.88671875;138381;1649763653.1384172
31;12.091796875;144572;1649763657.4848125
32;12.119140625;150777;1649763661.8749888
33;12.064453125;156954;1649763666.4337204
34;12.310546875;163257;1649763670.5700765
35;12.203125;169505;1649763674.9972086
36;12.302734375;175804;1649763679.1622272
37;12.453125;182180;1649763683.3443646
38;12.650390625;188657;1649763688.0246615
39;12.853515625;195238;1649763692.7809842
40;12.765625;201774;1649763697.5380244
41;13.0234375;208442;1649763701.9370682
42;12.826171875;215009;1649763706.718868
43;12.80859375;221567;1649763711.0176282
44;13.017578125;228232;1649763715.400575
45;12.845703125;234809;1649763719.810241
46;13.02734375;241479;1649763724.199357
47;13.134765625;248204;1649763728.6250257
48;13.314453125;255021;1649763733.59315
49;13.248046875;261804;1649763738.4862351
50;13.537109375;268735;1649763743.0428195
51;13.3828125;275587;1649763747.993085
52;13.328125;282411;1649763752.5270917
53;13.462890625;289304;1649763757.0314949
54;13.291015625;296109;1649763761.5469797
55;13.55078125;303047;1649763766.0571733
