;update/loss;Steps;Wall_Time
0;-13.904947280883789;1;1651114919.259914
1;-13.854843139648438;2;1651114920.1505356
2;-13.846124649047852;3;1651114921.0336583
3;-13.886077880859375;4;1651114921.9126592
4;-13.79875373840332;5;1651114922.7746222
5;-13.825115203857422;6;1651114923.6365945
6;-13.794078826904297;7;1651114924.5264878
7;-13.790112495422363;8;1651114925.402366
8;-13.775850296020508;9;1651114926.291078
9;-13.777331352233887;10;1651114927.1742976
10;-13.788423538208008;11;1651114928.056795
11;-13.78976058959961;12;1651114928.9419339
12;-13.79694938659668;13;1651114929.8095615
13;-13.79831600189209;14;1651114930.6728578
14;-13.814634323120117;15;1651114931.559227
15;-13.817048072814941;16;1651114932.4333465
16;-13.823005676269531;17;1651114933.2920904
17;-13.825206756591797;18;1651114934.169969
18;-13.834396362304688;19;1651114935.0498059
19;-13.832969665527344;20;1651114935.922761
20;-13.844223022460938;21;1651114936.8090234
21;-13.840428352355957;22;1651114937.698133
22;-13.85114574432373;23;1651114938.5903645
23;-13.852665901184082;24;1651114939.4516017
24;-13.84904670715332;25;1651114940.3195884
25;-13.861019134521484;26;1651114941.1857111
26;-13.857885360717773;27;1651114942.0632496
27;-13.86327838897705;28;1651114942.940035
28;-13.867055892944336;29;1651114943.7994866
29;-13.848780632019043;30;1651114944.6683888
30;-13.85268783569336;31;1651114945.528103
31;-13.862137794494629;32;1651114946.4076824
32;-13.865676879882812;33;1651114947.2937691
33;-13.87072467803955;34;1651114948.1726403
34;-13.871006965637207;35;1651114949.0612268
35;-13.871973037719727;36;1651114949.954126
36;-13.8757905960083;37;1651114950.8410764
37;-13.879369735717773;38;1651114951.7132652
38;-13.877861022949219;39;1651114952.6130624
39;-13.874740600585938;40;1651114953.4979446
40;-13.878141403198242;41;1651114954.3701775
41;-13.884016990661621;42;1651114955.2461944
42;-13.883378982543945;43;1651114956.1265657
43;-13.886006355285645;44;1651114957.0084972
44;-13.887093544006348;45;1651114957.893322
45;-13.885557174682617;46;1651114958.7808673
46;-13.879128456115723;47;1651114959.6563692
47;-13.8724946975708;48;1651114960.5419884
48;-13.873329162597656;49;1651114961.4373727
49;-13.874773025512695;50;1651114962.334114
50;-13.868080139160156;51;1651114963.2373798
51;-13.875503540039062;52;1651114964.1003854
52;-13.880470275878906;53;1651114964.9657454
53;-13.877533912658691;54;1651114965.8268611
54;-13.879571914672852;55;1651114966.7091613
55;-13.880101203918457;56;1651114967.6017783
56;-13.880831718444824;57;1651114968.4791448
57;-13.876509666442871;58;1651114969.354563
58;-13.879753112792969;59;1651114970.2304547
59;-13.879012107849121;60;1651114971.092162
60;-13.881034851074219;61;1651114971.9721155
61;-13.87865924835205;62;1651114972.846526
62;-13.878549575805664;63;1651114973.7442694
63;-13.880684852600098;64;1651114974.6382515
64;-13.881162643432617;65;1651114975.5233767
65;-13.883360862731934;66;1651114976.411695
66;-13.882254600524902;67;1651114977.2980196
67;-13.885025024414062;68;1651114978.1815886
68;-13.88748836517334;69;1651114979.050163
69;-13.887804985046387;70;1651114979.9151132
70;-13.888800621032715;71;1651114980.7799556
71;-13.892472267150879;72;1651114981.653542
72;-13.891824722290039;73;1651114982.51309
73;-13.891302108764648;74;1651114983.3916826
74;-13.892844200134277;75;1651114984.2819605
75;-13.889239311218262;76;1651114985.1580045
76;-13.889120101928711;77;1651114986.0379875
77;-13.890618324279785;78;1651114986.9229376
78;-13.88833236694336;79;1651114987.803441
79;-13.89309024810791;80;1651114988.694978
80;-13.890287399291992;81;1651114989.5630825
81;-13.888291358947754;82;1651114990.4233484
82;-13.885421752929688;83;1651114991.29607
83;-13.88528060913086;84;1651114992.1659842
84;-13.88550853729248;85;1651114993.0320485
85;-13.887983322143555;86;1651114993.8915458
86;-13.890498161315918;87;1651114994.79113
87;-13.890875816345215;88;1651114995.6480486
88;-13.890416145324707;89;1651114996.5392997
89;-13.890341758728027;90;1651114997.4240968
90;-13.889503479003906;91;1651114998.3122237
91;-13.88618278503418;92;1651114999.1702461
92;-13.887290000915527;93;1651115000.0385046
