;update/loss/actor;Steps;Wall_Time
0;-2.2605738639831543;3;1651414774.6029434
1;-2.3616652488708496;6;1651414779.4593935
2;-2.450664520263672;8;1651414782.6823199
3;-2.766253709793091;16;1651414795.6347146
4;-2.7926251888275146;17;1651414797.2524788
5;-2.819530725479126;18;1651414798.874142
6;-2.923555850982666;22;1651414805.246881
7;-2.9495232105255127;23;1651414806.916994
8;-2.974850654602051;24;1651414808.526004
9;-3.050731658935547;29;1651414816.5985684
10;-3.0784311294555664;31;1651414819.7943788
11;-3.101276159286499;33;1651414822.9681592
12;-3.156209707260132;38;1651414831.0123746
13;-3.1677539348602295;40;1651414834.2020059
14;-3.1895346641540527;43;1651414838.9837325
15;-3.235884428024292;50;1651414850.2068672
16;-3.2455852031707764;52;1651414853.3949652
17;-3.250682830810547;53;1651414854.9955726
18;-3.2672338485717773;57;1651414861.3788633
19;-3.3131370544433594;67;1651414877.327703
20;-3.316518545150757;68;1651414878.9172506
21;-3.325711727142334;70;1651414882.0836947
22;-3.336721897125244;73;1651414886.9157667
23;-3.351815700531006;79;1651414896.4286137
24;-3.3599891662597656;82;1651414901.2291338
25;-3.3648948669433594;83;1651414902.887712
26;-3.367382526397705;85;1651414906.0451062
27;-3.371067523956299;86;1651414907.6396518
28;-3.381251096725464;90;1651414913.9602625
29;-3.393357038497925;95;1651414921.9290426
30;-3.39558482170105;96;1651414923.5199099
31;-3.3985776901245117;97;1651414925.104983
32;-3.404017686843872;100;1651414929.9017415
33;-3.431299924850464;102;1651414935.941126
34;-3.468350887298584;105;1651414940.6970334
35;-3.488118886947632;107;1651414943.9333107
36;-3.497129201889038;108;1651414945.5290606
37;-3.5219414234161377;112;1651414951.8616421
38;-3.5458507537841797;117;1651414959.770454
39;-3.5542333126068115;119;1651414963.0369477
40;-3.560865879058838;122;1651414967.795891
41;-3.563204765319824;123;1651414969.3833876
42;-3.570904493331909;128;1651414977.2962065
43;-3.5790276527404785;132;1651414983.661246
44;-3.5866634845733643;135;1651414988.414603
45;-3.588489294052124;137;1651414991.6023047
46;-3.5928072929382324;139;1651414994.7780979
47;-3.595712661743164;140;1651414996.3631988
48;-3.600079298019409;143;1651415001.1672518
49;-3.605552911758423;146;1651415005.9488788
50;-3.6066126823425293;147;1651415007.5089822
51;-3.608818531036377;150;1651415012.2046528
52;-3.6132750511169434;152;1651415015.3633368
53;-3.619619607925415;155;1651415020.1891518
54;-3.6208009719848633;157;1651415023.3292885
55;-3.6228020191192627;161;1651415029.68959
56;-3.6242034435272217;162;1651415031.2954555
57;-3.6304235458374023;166;1651415037.679949
58;-3.6333155632019043;168;1651415040.9363487
59;-3.6381874084472656;172;1651415047.2758625
60;-3.6442835330963135;176;1651415053.7128782
61;-3.656280755996704;189;1651415074.4471443
62;-3.658095121383667;191;1651415077.7185225
63;-3.6618051528930664;195;1651415084.0644615
64;-3.664635419845581;199;1651415090.3961456
65;-3.6653668880462646;202;1651415098.2387164
66;-3.6673359870910645;203;1651415099.8284466
67;-3.6691555976867676;204;1651415101.4235835
68;-3.669346570968628;206;1651415104.5956323
69;-3.6713626384735107;207;1651415106.1580005
70;-3.678121566772461;212;1651415114.0914412
71;-3.6778554916381836;213;1651415115.6842775
72;-3.6774566173553467;214;1651415117.3452213
73;-3.6788554191589355;215;1651415118.9434304
74;-3.679953098297119;217;1651415122.1080585
75;-3.6809186935424805;220;1651415126.8899584
76;-3.6815834045410156;221;1651415128.502361
77;-3.681804656982422;222;1651415130.0986378
78;-3.6845080852508545;224;1651415133.2814019
79;-3.6850972175598145;226;1651415136.483132
80;-3.686875820159912;228;1651415139.6428103
81;-3.6855807304382324;230;1651415142.783059
82;-3.6897318363189697;233;1651415147.5652015
83;-3.6916494369506836;236;1651415152.3162956
84;-3.6936020851135254;240;1651415158.7691278
85;-3.697005271911621;243;1651415163.531793
86;-3.7011594772338867;251;1651415176.289565
87;-3.7034778594970703;253;1651415179.475966
88;-3.7042243480682373;256;1651415184.2163975
89;-3.7058560848236084;258;1651415187.416741
90;-3.7098515033721924;261;1651415192.184277
91;-3.7095887660980225;272;1651415209.6737216
92;-3.7099170684814453;276;1651415216.1137161
93;-3.7114720344543457;278;1651415219.2457795
94;-3.711726188659668;281;1651415223.9525495
95;-3.7132554054260254;282;1651415225.5179682
96;-3.7158122062683105;285;1651415230.2967634
97;-3.717365026473999;287;1651415233.5694864
98;-3.7208800315856934;298;1651415250.9796348
99;-3.7227370738983154;300;1651415254.2088954
100;-3.72330904006958;302;1651415260.570738
101;-3.724921941757202;303;1651415262.1426609
102;-3.727116107940674;306;1651415266.8865347
103;-3.7284584045410156;308;1651415270.0770717
104;-3.729011058807373;314;1651415279.5550063
105;-3.732966661453247;322;1651415292.2986624
106;-3.7327680587768555;324;1651415295.482963
107;-3.7342071533203125;325;1651415297.047762
108;-3.735832452774048;326;1651415298.6283019
109;-3.737248420715332;327;1651415300.2143726
110;-3.738035202026367;328;1651415301.7911685
111;-3.7380270957946777;329;1651415303.368229
112;-3.740401029586792;333;1651415309.6654415
113;-3.739051580429077;334;1651415311.323217
114;-3.743593215942383;339;1651415319.2151985
115;-3.7432305812835693;340;1651415320.8057876
116;-3.743464708328247;341;1651415322.378704
