;update/loss/alpha;Steps;Wall_Time
0;0.0;1;1651377212.1746943
1;-0.001564709353260696;2;1651377213.4522288
2;-0.0031336587853729725;3;1651377214.7495027
3;-0.004689506255090237;4;1651377216.068051
4;-0.006220927461981773;5;1651377217.3901694
5;-0.0077971662394702435;6;1651377218.7179642
6;-0.009342056699097157;7;1651377220.0383434
7;-0.010912071913480759;8;1651377221.3676124
8;-0.012449624948203564;9;1651377222.689242
9;-0.014008402824401855;10;1651377223.990199
10;-0.015561464242637157;11;1651377225.3019793
11;-0.01711074262857437;12;1651377226.6125457
12;-0.018672099336981773;13;1651377227.9047208
13;-0.02022964507341385;14;1651377229.2153232
14;-0.02178732305765152;15;1651377230.5049691
15;-0.023358294740319252;16;1651377231.9011996
16;-0.024904148653149605;17;1651377233.2026124
17;-0.026457155123353004;18;1651377234.5003445
18;-0.02804930880665779;19;1651377235.7823606
19;-0.02961542271077633;20;1651377237.0664413
20;-0.03115537390112877;21;1651377238.357372
21;-0.032724957913160324;22;1651377239.68965
22;-0.03427350893616676;23;1651377240.9768713
23;-0.03584125638008118;24;1651377242.2918231
24;-0.0373997800052166;25;1651377243.5793087
25;-0.03895998001098633;26;1651377244.8810828
26;-0.040482357144355774;27;1651377246.18467
27;-0.04204142093658447;28;1651377247.499721
28;-0.04358598589897156;29;1651377248.806633
29;-0.04513120651245117;30;1651377250.124378
30;-0.04667377471923828;31;1651377251.4201443
31;-0.04820948839187622;32;1651377252.8124185
32;-0.049798671156167984;33;1651377254.1380842
33;-0.05136130750179291;34;1651377255.4592848
34;-0.052911870181560516;35;1651377256.802676
35;-0.054465536028146744;36;1651377258.131933
36;-0.056047674268484116;37;1651377259.4563394
37;-0.0575825572013855;38;1651377260.769218
38;-0.05913563817739487;39;1651377262.0848656
39;-0.06068887934088707;40;1651377263.4076324
40;-0.062239810824394226;41;1651377264.7129369
41;-0.06380190700292587;42;1651377266.0186446
42;-0.06536950916051865;43;1651377267.3229113
43;-0.0669577345252037;44;1651377268.639916
44;-0.06852811574935913;45;1651377269.9607017
45;-0.07008630782365799;46;1651377271.2745075
46;-0.07162371277809143;47;1651377272.5802183
47;-0.07320013642311096;48;1651377273.9666324
48;-0.07474711537361145;49;1651377275.2865818
49;-0.07631900161504745;50;1651377276.5887024
50;-0.07790341228246689;51;1651377277.8859308
51;-0.07949221879243851;52;1651377279.1883447
52;-0.08105000853538513;53;1651377280.4887593
53;-0.08259958028793335;54;1651377281.7930624
54;-0.08414557576179504;55;1651377283.0985746
55;-0.08568048477172852;56;1651377284.413982
56;-0.08724991232156754;57;1651377285.7359743
57;-0.0887991413474083;58;1651377287.054041
58;-0.0903383269906044;59;1651377288.3666213
59;-0.09188707917928696;60;1651377289.669827
60;-0.09344153106212616;61;1651377290.973032
61;-0.09501910209655762;62;1651377292.2810931
62;-0.09655476361513138;63;1651377293.5813727
63;-0.0981278046965599;64;1651377294.8961194
64;-0.09969034790992737;65;1651377296.2839532
65;-0.101226806640625;66;1651377297.596742
66;-0.10277941823005676;67;1651377298.9461498
67;-0.1043313592672348;68;1651377300.258375
68;-0.10590650886297226;69;1651377301.5575175
69;-0.10748272389173508;70;1651377302.8692417
70;-0.10903119295835495;71;1651377304.1531107
71;-0.11056136339902878;72;1651377305.4501705
72;-0.11211477220058441;73;1651377306.7354162
73;-0.11366110295057297;74;1651377308.0258832
74;-0.11520199477672577;75;1651377309.3076346
75;-0.11672371625900269;76;1651377310.5990355
76;-0.1182759553194046;77;1651377311.9008255
