;update/loss/alpha;Steps;Wall_Time
0;-0.0030220472253859043;3;1651414774.603053
1;-0.007519072853028774;6;1651414779.4595015
2;-0.010499210096895695;8;1651414782.6824594
3;-0.02180449478328228;16;1651414795.6348345
4;-0.023202253505587578;17;1651414797.2525923
5;-0.024623002856969833;18;1651414798.8742645
6;-0.030441008508205414;22;1651414805.246987
7;-0.03190517798066139;23;1651414806.9171104
8;-0.03338046744465828;24;1651414808.5261097
9;-0.04041386395692825;29;1651414816.5986753
10;-0.04325911030173302;31;1651414819.7944968
11;-0.04607401415705681;33;1651414822.9682786
12;-0.05324047431349754;38;1651414831.012495
13;-0.05605534836649895;40;1651414834.2021146
14;-0.060263704508543015;43;1651414838.9838533
15;-0.0702069103717804;50;1651414850.2069936
16;-0.07306292653083801;52;1651414853.3950784
17;-0.07443902641534805;53;1651414854.9956803
18;-0.07999872416257858;57;1651414861.3789816
19;-0.09422320127487183;67;1651414877.3278155
20;-0.09561268240213394;68;1651414878.9173543
21;-0.09848956018686295;70;1651414882.0838084
22;-0.10276437550783157;73;1651414886.9159057
23;-0.11109001934528351;79;1651414896.4287238
24;-0.11537930369377136;82;1651414901.2292583
25;-0.11682761460542679;83;1651414902.8878324
26;-0.11963286250829697;85;1651414906.0452242
27;-0.12107401341199875;86;1651414907.639765
28;-0.12674660980701447;90;1651414913.9603727
29;-0.1338323950767517;95;1651414921.9291506
30;-0.13527649641036987;96;1651414923.5200176
31;-0.1367320865392685;97;1651414925.1050913
32;-0.14099419116973877;100;1651414929.9018788
33;-0.1466471552848816;102;1651414935.9412432
34;-0.15518353879451752;105;1651414940.6971397
35;-0.16089271008968353;107;1651414943.9334168
36;-0.16375640034675598;108;1651414945.529168
37;-0.175007626414299;112;1651414951.8617525
38;-0.18931442499160767;117;1651414959.7705789
39;-0.1950490027666092;119;1651414963.0370698
40;-0.20358727872371674;122;1651414967.796007
41;-0.2064361572265625;123;1651414969.383496
42;-0.2206069976091385;128;1651414977.2963152
43;-0.2320074886083603;132;1651414983.6613734
44;-0.24062079191207886;135;1651414988.4147294
45;-0.2463524043560028;137;1651414991.602421
46;-0.25209492444992065;139;1651414994.7782178
47;-0.25495344400405884;140;1651414996.3633072
48;-0.2634259760379791;143;1651415001.1673741
49;-0.27194496989250183;146;1651415005.949003
50;-0.27479350566864014;147;1651415007.5090895
51;-0.2832436263561249;150;1651415012.2047536
52;-0.28893187642097473;152;1651415015.3634422
53;-0.2976076900959015;155;1651415020.1892762
54;-0.30328771471977234;157;1651415023.3294003
55;-0.3145574629306793;161;1651415029.6897027
56;-0.3173525631427765;162;1651415031.2955685
57;-0.328876793384552;166;1651415037.6800737
58;-0.3346404731273651;168;1651415040.9364674
59;-0.3462505638599396;172;1651415047.2759788
60;-0.3576861619949341;176;1651415053.7129946
61;-0.3944869935512543;189;1651415074.4472654
62;-0.40022096037864685;191;1651415077.718653
63;-0.4115215539932251;195;1651415084.0645928
64;-0.42269977927207947;199;1651415090.396264
65;-0.4310300350189209;202;1651415098.2388556
66;-0.4339432418346405;203;1651415099.8285637
67;-0.43678879737854004;204;1651415101.423689
68;-0.4424261748790741;206;1651415104.5957627
69;-0.44526833295822144;207;1651415106.1581197
70;-0.459597647190094;212;1651415114.0915565
71;-0.46239638328552246;213;1651415115.684398
72;-0.46515360474586487;214;1651415117.345345
73;-0.4679870903491974;215;1651415118.9435472
74;-0.4734440743923187;217;1651415122.108168
75;-0.4818356931209564;220;1651415126.8900788
76;-0.48469793796539307;221;1651415128.5024729
77;-0.4875529706478119;222;1651415130.0987628
78;-0.4932275712490082;224;1651415133.2815106
79;-0.4987982511520386;226;1651415136.4832542
80;-0.5043547749519348;228;1651415139.6429198
81;-0.5097699165344238;230;1651415142.7831857
82;-0.518278956413269;233;1651415147.5653129
83;-0.5266560316085815;236;1651415152.3164032
84;-0.5377122163772583;240;1651415158.7692304
85;-0.5463683009147644;243;1651415163.5319118
86;-0.5685836672782898;251;1651415176.2896712
87;-0.5740092992782593;253;1651415179.476081
88;-0.5819756388664246;256;1651415184.216509
89;-0.5877214074134827;258;1651415187.4168508
90;-0.596240758895874;261;1651415192.184404
91;-0.6258577704429626;272;1651415209.6738377
92;-0.6367719173431396;276;1651415216.113826
93;-0.6422569155693054;278;1651415219.2459142
94;-0.6503992080688477;281;1651415223.952687
95;-0.653104305267334;282;1651415225.5180893
96;-0.6614449620246887;285;1651415230.2968712
97;-0.6670480966567993;287;1651415233.569597
98;-0.6969896554946899;298;1651415250.9797406
99;-0.7025589942932129;300;1651415254.2090054
100;-0.707866370677948;302;1651415260.570867
101;-0.7106215357780457;303;1651415262.1427882
102;-0.718840479850769;306;1651415266.8866596
103;-0.7242515683174133;308;1651415270.0771978
104;-0.7404800057411194;314;1651415279.555123
105;-0.7618774771690369;322;1651415292.298774
106;-0.7671903371810913;324;1651415295.4830942
107;-0.769980251789093;325;1651415297.0478818
108;-0.7727281451225281;326;1651415298.6284232
109;-0.7754151225090027;327;1651415300.2145185
110;-0.778221070766449;328;1651415301.7912748
111;-0.7808806896209717;329;1651415303.3683481
112;-0.7916883826255798;333;1651415309.665548
113;-0.7942530512809753;334;1651415311.3233387
114;-0.8078701496124268;339;1651415319.2153065
115;-0.810578465461731;340;1651415320.8059168
116;-0.8130834698677063;341;1651415322.3788261
117;-0.815779447555542;342;1651415323.9385667
118;-0.8182933330535889;343;1651415325.500558
119;-0.8211073875427246;344;1651415327.0911655
120;-0.8456549048423767;353;1651415341.3402739
121;-0.8484639525413513;354;1651415342.9207983
122;-0.8538784384727478;356;1651415346.04185
123;-0.856478750705719;357;1651415347.602639
124;-0.8752039074897766;364;1651415358.6078405
125;-0.8938642144203186;371;1651415369.6636217
126;-0.8993181586265564;373;1651415372.8106482
127;-0.9047304391860962;375;1651415375.9296763
128;-0.9099772572517395;377;1651415379.0439277
129;-0.9154266119003296;379;1651415382.2029243
130;-0.9237053990364075;382;1651415386.9110065
131;-0.9264893531799316;383;1651415388.4652822
132;-0.9389286637306213;388;1651415396.2438965
133;-0.9415309429168701;389;1651415397.8043494
134;-0.9495984315872192;392;1651415402.4993763
135;-0.9603887796401978;396;1651415408.786984
136;-0.9684433341026306;399;1651415413.4698396
137;-0.9847403764724731;405;1651415426.0021126
138;-0.9874580502510071;406;1651415427.623208
139;-1.0032405853271484;412;1651415436.9912217
140;-1.0056102275848389;413;1651415438.535312
141;-1.0079292058944702;414;1651415440.0790024
142;-1.0104413032531738;415;1651415441.64806
143;-1.0237690210342407;420;1651415449.5085895
144;-1.0265095233917236;421;1651415451.0580373
145;-1.0376002788543701;425;1651415457.3098633
146;-1.0426609516143799;427;1651415460.4541097
147;-1.0501105785369873;430;1651415465.213696
148;-1.0683737993240356;437;1651415476.1248
149;-1.0844191312789917;443;1651415485.5602865
150;-1.0869978666305542;444;1651415487.1266003
151;-1.089568853378296;445;1651415488.6765826
152;-1.0942057371139526;447;1651415491.8154469
153;-1.1046206951141357;451;1651415498.0903015
154;-1.1147332191467285;455;1651415504.4431262
