;ActorLR;Steps;Wall_Time
0;9.999999747378752e-05;0;1651184902.6100547
1;9.999999747378752e-05;640;1651184903.7557392
2;9.999999747378752e-05;1280;1651184904.879904
3;9.999999747378752e-05;1920;1651184905.979245
4;9.999999747378752e-05;2560;1651184907.0856864
5;9.999999747378752e-05;3200;1651184908.19996
6;9.999999747378752e-05;3840;1651184909.3023877
7;9.999999747378752e-05;4480;1651184912.0441139
8;9.999999747378752e-05;5120;1651184913.2215264
9;9.999999747378752e-05;5760;1651184915.9782088
10;9.999999747378752e-05;6400;1651184917.0857155
11;9.999999747378752e-05;7040;1651184918.2013817
12;9.999999747378752e-05;7680;1651184919.311515
13;9.999999747378752e-05;8320;1651184920.3904827
14;9.999999747378752e-05;8960;1651184921.5010717
15;9.999999747378752e-05;9600;1651184922.6191988
16;9.999999747378752e-05;10240;1651184923.7407684
17;9.999999747378752e-05;10880;1651184924.8497057
18;9.999999747378752e-05;11520;1651184925.9644415
19;9.999999747378752e-05;12160;1651184927.0682325
20;9.999999747378752e-05;12800;1651184928.1955616
21;9.999999747378752e-05;13440;1651184929.3057718
22;9.999999747378752e-05;14080;1651184932.0397384
23;9.999999747378752e-05;14720;1651184933.2242079
24;9.999999747378752e-05;15360;1651184935.983051
25;9.999999747378752e-05;16000;1651184937.0802877
26;9.999999747378752e-05;16640;1651184938.159282
27;9.999999747378752e-05;17280;1651184939.27926
28;9.999999747378752e-05;17920;1651184940.3891091
29;9.999999747378752e-05;18560;1651184941.5171456
30;9.999999747378752e-05;19200;1651184942.6307144
31;9.999999747378752e-05;19840;1651184943.7405567
32;9.999999747378752e-05;20480;1651184944.8292565
33;9.999999747378752e-05;21120;1651184945.924376
34;9.999999747378752e-05;21760;1651184947.0163653
35;9.999999747378752e-05;22400;1651184948.134873
36;9.999999747378752e-05;23040;1651184949.2420242
37;9.999999747378752e-05;23680;1651184951.983328
38;9.999999747378752e-05;24320;1651184953.1596913
39;9.999999747378752e-05;24960;1651184955.9419012
40;9.999999747378752e-05;25600;1651184957.0825531
41;9.999999747378752e-05;26240;1651184958.2175298
42;9.999999747378752e-05;26880;1651184959.313785
43;9.999999747378752e-05;27520;1651184960.4329088
44;9.999999747378752e-05;28160;1651184961.536617
45;9.999999747378752e-05;28800;1651184962.6274436
46;9.999999747378752e-05;29440;1651184963.7346814
