;Critic2LR;Steps;Wall_Time
0;9.999999747378752e-06;1280;1651184318.7376626
1;9.999999747378752e-06;3200;1651184322.7392046
2;9.999999747378752e-06;4480;1651184325.35309
3;9.999999747378752e-06;5120;1651184326.4723144
4;9.999999747378752e-06;6400;1651184329.142059
5;9.999999747378752e-06;9600;1651184335.6421828
6;9.999999747378752e-06;10240;1651184336.9573348
7;9.999999747378752e-06;10880;1651184338.139174
8;9.999999747378752e-06;13440;1651184343.5299795
9;9.999999747378752e-06;14080;1651184344.844336
10;9.999999747378752e-06;14720;1651184346.1705225
11;9.999999747378752e-06;17920;1651184352.713847
12;9.999999747378752e-06;18560;1651184354.0536435
13;9.999999747378752e-06;19200;1651184355.2230506
14;9.999999747378752e-06;20480;1651184358.033011
15;9.999999747378752e-06;23680;1651184364.3368437
16;9.999999747378752e-06;24960;1651184367.0179317
17;9.999999747378752e-06;26880;1651184370.9985142
18;9.999999747378752e-06;31360;1651184380.1882937
19;9.999999747378752e-06;32640;1651184382.6515422
20;9.999999747378752e-06;33280;1651184383.9897592
21;9.999999747378752e-06;35200;1651184387.8581598
22;9.999999747378752e-06;35840;1651184389.3523693
23;9.999999747378752e-06;38400;1651184394.5480788
24;9.999999747378752e-06;40320;1651184398.4305007
25;9.999999747378752e-06;42240;1651184402.2196174
26;9.999999747378752e-06;42880;1651184403.7242882
27;9.999999747378752e-06;43520;1651184405.065708
28;9.999999747378752e-06;44160;1651184406.2087147
29;9.999999747378752e-06;46080;1651184410.1829627
30;9.999999747378752e-06;49920;1651184417.9345465
31;9.999999747378752e-06;51840;1651184421.89518
32;9.999999747378752e-06;52480;1651184423.0296357
33;9.999999747378752e-06;53760;1651184425.5115733
34;9.999999747378752e-06;54400;1651184426.976062
35;9.999999747378752e-06;55680;1651184429.423604
36;9.999999747378752e-06;56960;1651184432.0900035
37;9.999999747378752e-06;58880;1651184436.0514557
38;9.999999747378752e-06;60160;1651184438.4789588
39;9.999999747378752e-06;60800;1651184439.6582496
40;9.999999747378752e-06;61440;1651184441.1588802
