;Epsilon;Steps;Wall_Time
0;0.25;1;1651065758.9114554
1;0.25;1;1651065759.8907402
2;0.25;1;1651065760.7813005
3;0.25;1;1651065761.669133
4;0.25;1;1651065762.553677
5;0.25;1;1651065763.4457638
6;0.25;1;1651065764.3478217
7;0.25;1;1651065765.2409174
8;0.25;1;1651065766.144116
9;0.25;1;1651065767.0550184
10;0.25;1;1651065767.9585788
11;0.25;1;1651065768.8633788
12;0.25;1;1651065769.7626827
13;0.25;1;1651065770.6739264
14;0.25;1;1651065771.5597703
15;0.25;1;1651065772.4646325
16;0.25;1;1651065773.3578975
17;0.25;1;1651065774.262792
18;0.25;1;1651065775.1461804
19;0.25;1;1651065776.031817
20;0.25;1;1651065776.9173112
21;0.25;1;1651065777.8043869
22;0.25;1;1651065778.6962075
23;0.25;1;1651065779.5818484
24;0.25;1;1651065780.4786234
25;0.25;1;1651065781.3767245
26;0.25;1;1651065782.2729094
27;0.25;1;1651065783.1776412
28;0.25;1;1651065784.0942636
29;0.25;1;1651065785.0075047
30;0.25;1;1651065785.9137821
31;0.25;1;1651065786.8129802
32;0.25;1;1651065787.7147589
33;0.25;1;1651065788.6153083
34;0.25;1;1651065789.5182185
35;0.25;1;1651065790.4200737
36;0.25;1;1651065791.3260443
37;0.25;1;1651065792.2221622
38;0.25;1;1651065793.1176019
39;0.25;1;1651065794.0184388
40;0.25;1;1651065794.9152958
41;0.25;1;1651065795.8030849
42;0.25;1;1651065796.6939538
43;0.25;1;1651065797.5843394
44;0.25;1;1651065798.4865189
45;0.25;1;1651065799.372273
46;0.25;1;1651065800.266158
47;0.25;1;1651065801.1579645
48;0.25;1;1651065802.0604193
49;0.25;1;1651065802.9625537
50;0.25;1;1651065803.863671
51;0.25;1;1651065804.7662702
52;0.25;1;1651065805.670852
53;0.25;1;1651065806.5726244
54;0.25;1;1651065807.4561608
55;0.25;1;1651065808.3404684
56;0.25;1;1651065809.224137
57;0.25;1;1651065810.1149762
58;0.25;1;1651065811.0022044
59;0.25;1;1651065811.8959272
60;0.25;1;1651065812.7830906
61;0.25;1;1651065813.6692753
62;0.25;1;1651065814.5564084
63;0.25;1;1651065815.4561086
64;0.25;1;1651065816.365781
65;0.25;1;1651065817.2536778
66;0.25;1;1651065818.1451714
67;0.25;1;1651065819.0283267
68;0.25;1;1651065819.9114711
69;0.25;1;1651065820.8036904
70;0.25;1;1651065821.6897244
71;0.25;1;1651065822.6065996
72;0.25;1;1651065823.5105324
73;0.25;1;1651065824.4192452
74;0.25;1;1651065825.3263686
75;0.25;1;1651065826.2363627
76;0.25;1;1651065827.146638
77;0.25;1;1651065828.0510428
78;0.25;1;1651065828.957272
79;0.25;1;1651065829.8629563
80;0.25;1;1651065830.7540174
81;0.25;1;1651065831.648933
82;0.25;1;1651065832.552799
83;0.25;1;1651065833.4604707
84;0.25;1;1651065834.3470678
85;0.25;1;1651065835.2489195
86;0.25;1;1651065836.1520376
87;0.25;1;1651065837.0624075
88;0.25;1;1651065837.9704976
89;0.25;1;1651065838.8562086
90;0.25;1;1651065839.739083
91;0.25;1;1651065840.6362941
92;0.25;1;1651065841.5262043
93;0.25;1;1651065842.4122667
94;0.25;1;1651065843.309758
95;0.25;1;1651065844.203259
96;0.25;1;1651065845.0961778
97;0.25;1;1651065846.000124
98;0.25;1;1651065846.9004562
99;0.25;1;1651065847.782755
100;0.1666666716337204;2;1651065856.098962
101;0.1666666716337204;2;1651065857.0347753
102;0.1666666716337204;2;1651065857.9470649
103;0.1666666716337204;2;1651065858.8475006
104;0.1666666716337204;2;1651065859.7538533
105;0.1666666716337204;2;1651065860.6555517
106;0.1666666716337204;2;1651065861.5451858
107;0.1666666716337204;2;1651065862.4360888
108;0.1666666716337204;2;1651065863.3200345
109;0.1666666716337204;2;1651065864.2146277
110;0.1666666716337204;2;1651065865.117316
111;0.1666666716337204;2;1651065866.014591
112;0.1666666716337204;2;1651065866.9172814
113;0.1666666716337204;2;1651065867.8157494
114;0.1666666716337204;2;1651065868.7010658
115;0.1666666716337204;2;1651065869.5819874
116;0.1666666716337204;2;1651065870.4642708
117;0.1666666716337204;2;1651065871.3578475
118;0.1666666716337204;2;1651065872.2450325
119;0.1666666716337204;2;1651065873.1262197
120;0.1666666716337204;2;1651065874.0146408
121;0.1666666716337204;2;1651065874.9209244
122;0.1666666716337204;2;1651065875.8266358
123;0.1666666716337204;2;1651065876.743375
124;0.1666666716337204;2;1651065877.626661
125;0.1666666716337204;2;1651065878.514622
126;0.1666666716337204;2;1651065879.3983924
127;0.1666666716337204;2;1651065880.281223
128;0.1666666716337204;2;1651065881.1674001
129;0.1666666716337204;2;1651065882.0616295
130;0.1666666716337204;2;1651065882.9605727
131;0.1666666716337204;2;1651065883.8603315
132;0.1666666716337204;2;1651065884.7711353
133;0.1666666716337204;2;1651065885.6740005
134;0.1666666716337204;2;1651065886.571022
135;0.1666666716337204;2;1651065887.4717143
136;0.1666666716337204;2;1651065888.3753355
137;0.1666666716337204;2;1651065889.2727797
138;0.1666666716337204;2;1651065890.179815
139;0.1666666716337204;2;1651065891.0743096
140;0.1666666716337204;2;1651065891.960374
141;0.1666666716337204;2;1651065892.8454397
142;0.1666666716337204;2;1651065893.7347836
143;0.1666666716337204;2;1651065894.6201186
144;0.1666666716337204;2;1651065895.5163374
145;0.1666666716337204;2;1651065896.4139702
146;0.1666666716337204;2;1651065897.3007176
147;0.1666666716337204;2;1651065898.187068
148;0.1666666716337204;2;1651065899.0824041
149;0.1666666716337204;2;1651065899.9804184
150;0.1666666716337204;2;1651065900.8887572
151;0.1666666716337204;2;1651065901.787306
152;0.1666666716337204;2;1651065902.688431
153;0.1666666716337204;2;1651065903.5855398
154;0.1666666716337204;2;1651065904.4898198
155;0.1666666716337204;2;1651065905.3733602
156;0.1666666716337204;2;1651065906.278792
157;0.1666666716337204;2;1651065907.1795225
158;0.1666666716337204;2;1651065908.0688272
159;0.1666666716337204;2;1651065908.9695168
160;0.1666666716337204;2;1651065909.8649998
161;0.1666666716337204;2;1651065910.770287
162;0.1666666716337204;2;1651065911.6731608
163;0.1666666716337204;2;1651065912.5796018
164;0.1666666716337204;2;1651065913.4860032
165;0.1666666716337204;2;1651065914.393319
166;0.1666666716337204;2;1651065915.2744048
167;0.1666666716337204;2;1651065916.1604278
168;0.1666666716337204;2;1651065917.0621703
169;0.1666666716337204;2;1651065917.9449463
170;0.1666666716337204;2;1651065918.827674
171;0.1666666716337204;2;1651065919.7096288
172;0.1666666716337204;2;1651065920.6165376
173;0.1666666716337204;2;1651065921.529348
174;0.1666666716337204;2;1651065922.4317966
175;0.1666666716337204;2;1651065923.3375804
176;0.1666666716337204;2;1651065924.244674
177;0.1666666716337204;2;1651065925.1403892
178;0.1666666716337204;2;1651065926.0426006
179;0.1666666716337204;2;1651065926.9469745
180;0.1666666716337204;2;1651065927.83727
181;0.1666666716337204;2;1651065928.7407796
182;0.1666666716337204;2;1651065929.6474462
183;0.1666666716337204;2;1651065930.5417283
184;0.1666666716337204;2;1651065931.4416473
185;0.1666666716337204;2;1651065932.3441684
186;0.1666666716337204;2;1651065933.2289646
187;0.1666666716337204;2;1651065934.117912
188;0.1666666716337204;2;1651065935.0027533
189;0.1666666716337204;2;1651065935.889245
190;0.1666666716337204;2;1651065936.7826626
191;0.1666666716337204;2;1651065937.6831865
192;0.1666666716337204;2;1651065938.56932
193;0.1666666716337204;2;1651065939.4536254
194;0.1666666716337204;2;1651065940.3451705
195;0.1666666716337204;2;1651065941.2525954
196;0.1666666716337204;2;1651065942.155537
197;0.1666666716337204;2;1651065943.0533888
198;0.1666666716337204;2;1651065943.9338279
199;0.1666666716337204;2;1651065944.832408
200;0.125;3;1651065953.099836
201;0.125;3;1651065954.0172195
202;0.125;3;1651065954.9165905
203;0.125;3;1651065955.809446
204;0.125;3;1651065956.7146266
205;0.125;3;1651065957.6169698
206;0.125;3;1651065958.5225205
207;0.125;3;1651065959.402872
208;0.125;3;1651065960.2849786
209;0.125;3;1651065961.1693919
210;0.125;3;1651065962.058214
211;0.125;3;1651065962.9566529
212;0.125;3;1651065963.8536766
213;0.125;3;1651065964.741455
214;0.125;3;1651065965.6458662
215;0.125;3;1651065966.5396898
216;0.125;3;1651065967.4360735
217;0.125;3;1651065968.3256016
218;0.125;3;1651065969.223016
219;0.125;3;1651065970.1244686
220;0.125;3;1651065971.0093834
221;0.125;3;1651065971.8944578
222;0.125;3;1651065972.7778392
223;0.125;3;1651065973.6705651
224;0.125;3;1651065974.5750487
225;0.125;3;1651065975.4793456
226;0.125;3;1651065976.379373
227;0.125;3;1651065977.2694995
228;0.125;3;1651065978.151557
229;0.125;3;1651065979.0311306
