;LR;Steps;Wall_Time
0;9.999999747378752e-05;1;1651105546.9741404
1;9.999999747378752e-05;1;1651105547.8564546
2;9.999999747378752e-05;1;1651105548.728175
3;9.999999747378752e-05;1;1651105549.5975006
4;9.999999747378752e-05;1;1651105550.4627903
5;9.999999747378752e-05;1;1651105551.3320076
6;9.999999747378752e-05;1;1651105552.1963487
7;9.999999747378752e-05;1;1651105553.0552511
8;9.999999747378752e-05;1;1651105553.923437
9;9.999999747378752e-05;1;1651105554.7714267
10;9.999999747378752e-05;1;1651105555.6452436
11;9.999999747378752e-05;1;1651105556.5280154
12;9.999999747378752e-05;1;1651105557.4066398
13;9.999999747378752e-05;1;1651105558.2834108
14;9.999999747378752e-05;1;1651105559.1581516
15;9.999999747378752e-05;1;1651105560.0316806
16;9.999999747378752e-05;1;1651105560.8973572
17;9.999999747378752e-05;1;1651105561.7547529
18;9.999999747378752e-05;1;1651105562.6057553
19;9.999999747378752e-05;1;1651105563.469532
20;9.999999747378752e-05;1;1651105564.3203275
21;9.999999747378752e-05;1;1651105565.1714857
22;9.999999747378752e-05;1;1651105566.0456858
23;9.999999747378752e-05;1;1651105566.8959007
24;9.999999747378752e-05;1;1651105567.7423882
25;9.999999747378752e-05;1;1651105568.5904982
26;9.999999747378752e-05;1;1651105569.4665604
27;9.999999747378752e-05;1;1651105570.3362799
28;9.999999747378752e-05;1;1651105571.2014318
29;9.999999747378752e-05;1;1651105572.0695279
30;9.999999747378752e-05;1;1651105572.9372482
31;9.999999747378752e-05;1;1651105573.8018634
32;9.999999747378752e-05;1;1651105574.6839347
33;9.999999747378752e-05;1;1651105575.5343626
34;9.999999747378752e-05;1;1651105576.402942
35;9.999999747378752e-05;1;1651105577.2503705
36;9.999999747378752e-05;1;1651105578.0943205
37;9.999999747378752e-05;1;1651105578.9397297
38;9.999999747378752e-05;1;1651105579.77816
39;9.999999747378752e-05;1;1651105580.6225739
40;9.999999747378752e-05;1;1651105581.4695973
41;9.999999747378752e-05;1;1651105582.3285344
42;9.999999747378752e-05;1;1651105583.196428
43;9.999999747378752e-05;1;1651105584.0635364
44;9.999999747378752e-05;1;1651105584.9114954
45;9.999999747378752e-05;1;1651105585.7597847
46;9.999999747378752e-05;1;1651105586.6215453
47;9.999999747378752e-05;1;1651105587.4688003
48;9.999999747378752e-05;1;1651105588.3186967
49;9.999999747378752e-05;1;1651105589.159828
50;9.999999747378752e-05;1;1651105590.0172358
51;9.999999747378752e-05;1;1651105590.8747132
52;9.999999747378752e-05;1;1651105591.736409
