;LR;Steps;Wall_Time
0;9.999999974752427e-07;1;1650758410.3648229
1;9.999999974752427e-07;1;1650758411.6226866
2;9.999999974752427e-07;1;1650758412.832314
3;9.999999974752427e-07;1;1650758414.0526576
4;9.999999974752427e-07;1;1650758415.2687204
5;9.999999974752427e-07;1;1650758416.489547
6;9.999999974752427e-07;1;1650758417.6943352
7;9.999999974752427e-07;1;1650758418.9018593
8;9.999999974752427e-07;1;1650758420.105491
9;9.999999974752427e-07;1;1650758421.3014061
10;9.999999974752427e-07;1;1650758422.4998677
11;9.999999974752427e-07;1;1650758423.7071953
12;9.999999974752427e-07;1;1650758424.9372559
13;9.999999974752427e-07;1;1650758426.1524749
14;9.999999974752427e-07;1;1650758427.3658063
15;9.999999974752427e-07;1;1650758428.5809803
16;9.999999974752427e-07;1;1650758429.7752776
17;9.999999974752427e-07;1;1650758430.9722595
18;9.999999974752427e-07;1;1650758432.1729853
19;9.999999974752427e-07;1;1650758433.3696587
20;9.999999974752427e-07;1;1650758434.5748827
21;9.999999974752427e-07;1;1650758435.7668626
22;9.999999974752427e-07;1;1650758436.972573
23;9.999999974752427e-07;1;1650758438.1886759
24;9.999999974752427e-07;1;1650758439.4064302
25;9.999999974752427e-07;1;1650758440.5976512
26;9.999999974752427e-07;1;1650758441.7864501
27;9.999999974752427e-07;1;1650758443.0143912
28;9.999999974752427e-07;1;1650758444.2724483
29;9.999999974752427e-07;1;1650758445.483185
30;9.999999974752427e-07;1;1650758446.6780577
31;9.999999974752427e-07;1;1650758447.8711011
32;9.999999974752427e-07;1;1650758449.067926
33;9.999999974752427e-07;1;1650758450.2676134
34;9.999999974752427e-07;1;1650758451.4900744
35;9.999999974752427e-07;1;1650758452.7047553
36;9.999999974752427e-07;1;1650758453.9211092
37;9.999999974752427e-07;1;1650758455.1290653
38;9.999999974752427e-07;1;1650758456.3281689
39;9.999999974752427e-07;1;1650758457.5234373
40;9.999999974752427e-07;1;1650758458.7382388
41;9.999999974752427e-07;1;1650758459.9538655
42;9.999999974752427e-07;1;1650758461.1686337
43;9.999999974752427e-07;1;1650758462.3827834
44;9.999999974752427e-07;1;1650758463.5883708
45;9.999999974752427e-07;1;1650758464.802073
46;9.999999974752427e-07;1;1650758466.0220053
47;9.999999974752427e-07;1;1650758467.2223969
48;9.999999974752427e-07;1;1650758468.4211214
49;9.999999974752427e-07;1;1650758469.631878
50;9.999999974752427e-07;1;1650758470.826979
51;9.999999974752427e-07;1;1650758472.0215783
52;9.999999974752427e-07;1;1650758473.2300532
53;9.999999974752427e-07;1;1650758474.436129
54;9.999999974752427e-07;1;1650758475.6465352
55;9.999999974752427e-07;1;1650758476.8549716
56;9.999999974752427e-07;1;1650758478.0507162
57;9.999999974752427e-07;1;1650758479.253006
58;9.999999974752427e-07;1;1650758480.4691565
59;9.999999974752427e-07;1;1650758481.6621926
60;9.999999974752427e-07;1;1650758482.8579307
61;9.999999974752427e-07;1;1650758484.0504508
62;9.999999974752427e-07;1;1650758485.2590983
63;9.999999974752427e-07;1;1650758486.4633098
64;9.999999974752427e-07;1;1650758487.6621451
65;9.999999974752427e-07;1;1650758488.8833654
66;9.999999974752427e-07;1;1650758490.0928214
67;9.999999974752427e-07;1;1650758491.3243797
68;9.999999974752427e-07;1;1650758492.5494142
69;9.999999974752427e-07;1;1650758493.7395427
70;9.999999974752427e-07;1;1650758494.9330356
71;9.999999974752427e-07;1;1650758496.13134
72;9.999999974752427e-07;1;1650758497.3561335
73;9.999999974752427e-07;1;1650758498.5480103
74;9.999999974752427e-07;1;1650758499.7381713
75;9.999999974752427e-07;1;1650758500.9482923
76;9.999999974752427e-07;1;1650758502.1443782
77;9.999999974752427e-07;1;1650758503.3358366
78;9.999999974752427e-07;1;1650758504.5418084
79;9.999999974752427e-07;1;1650758505.7511322
80;9.999999974752427e-07;1;1650758506.9586194
81;9.999999974752427e-07;1;1650758508.1748674
82;9.999999974752427e-07;1;1650758509.3747766
83;9.999999974752427e-07;1;1650758510.5809536
84;9.999999974752427e-07;1;1650758511.791026
85;9.999999974752427e-07;1;1650758512.997744
86;9.999999974752427e-07;1;1650758514.1902697
87;9.999999974752427e-07;1;1650758515.3838933
88;9.999999974752427e-07;1;1650758516.5809474
89;9.999999974752427e-07;1;1650758517.777071
90;9.999999974752427e-07;1;1650758518.9743223
91;9.999999974752427e-07;1;1650758520.170125
92;9.999999974752427e-07;1;1650758521.376264
93;9.999999974752427e-07;1;1650758522.5777562
94;9.999999974752427e-07;1;1650758523.7784824
95;9.999999974752427e-07;1;1650758524.9979506
96;9.999999974752427e-07;1;1650758526.1995409
97;9.999999974752427e-07;1;1650758527.399643
98;9.999999974752427e-07;1;1650758528.5999124
99;9.999999974752427e-07;1;1650758529.7971463
100;9.999999974752427e-07;2;1650758538.9542937
101;9.999999974752427e-07;2;1650758540.1869378
102;9.999999974752427e-07;2;1650758541.383721
103;9.999999974752427e-07;2;1650758542.5828626
104;9.999999974752427e-07;2;1650758543.7767107
105;9.999999974752427e-07;2;1650758544.9846523
106;9.999999974752427e-07;2;1650758546.1898012
107;9.999999974752427e-07;2;1650758547.4037917
108;9.999999974752427e-07;2;1650758548.6169376
109;9.999999974752427e-07;2;1650758549.8343563
110;9.999999974752427e-07;2;1650758551.0318158
111;9.999999974752427e-07;2;1650758552.2353492
