;avg_cost;Steps;Wall_Time
0;-3.3010153770446777;0;1649680880.284347
1;-3.569218635559082;12800;1649680880.3618777
2;-3.6906251907348633;25600;1649680880.6515648
3;-3.7526562213897705;38400;1649680880.73089
4;-3.873906135559082;51200;1649680880.8096967
5;-3.8065624237060547;64000;1649680880.877795
6;-3.864062547683716;76800;1649680880.9485254
7;-4.013437747955322;89600;1649680881.015754
8;-4.088749885559082;102400;1649680881.0890207
9;-4.468515396118164;115200;1649680881.1621914
10;-4.548593521118164;128000;1649680881.2352335
11;-4.462734222412109;140800;1649680881.3094113
12;-4.569687843322754;153600;1649680881.3808908
13;-4.706562519073486;166400;1649680881.4558206
14;-4.847343444824219;179200;1649680881.525743
15;-5.024062633514404;192000;1649680881.603629
16;-4.966405868530273;204800;1649680881.6943152
17;-5.289999961853027;217600;1649680881.767917
18;-5.604453086853027;230400;1649680881.8452942
19;-5.830780982971191;243200;1649680881.925681
20;-5.646718502044678;256000;1649680882.0178494
21;-6.063515663146973;268800;1649680882.1001654
22;-6.235937118530273;281600;1649680882.1768394
23;-6.125702857971191;294400;1649680882.2486546
24;-6.620780944824219;307200;1649680882.3222108
25;-6.909687519073486;320000;1649680882.402108
26;-6.935625076293945;332800;1649680882.4832144
27;-7.356328010559082;345600;1649680882.5742233
28;-7.21554708480835;358400;1649680882.655095
29;-7.573203086853027;371200;1649680882.7361703
30;-7.539687156677246;384000;1649680882.8154244
31;-7.871015548706055;396800;1649680882.8970528
32;-8.748828887939453;409600;1649680882.9903116
33;-8.745079040527344;422400;1649680883.08625
34;-8.70101547241211;435200;1649680883.1685681
35;-9.004375457763672;448000;1649680883.251404
36;-9.450859069824219;460800;1649680883.3403656
37;-9.469062805175781;473600;1649680883.4303732
38;-9.106952667236328;486400;1649680883.5199656
39;-9.61507797241211;499200;1649680883.611905
40;-9.241328239440918;512000;1649680883.7023535
41;-9.690156936645508;524800;1649680883.7964494
42;-9.670234680175781;537600;1649680883.882256
43;-10.034062385559082;550400;1649680883.9694638
44;-9.383515357971191;563200;1649680884.0571043
45;-9.852187156677246;576000;1649680884.144266
46;-9.812030792236328;588800;1649680884.2272885
47;-10.0404691696167;601600;1649680884.3175154
48;-10.01187515258789;614400;1649680884.4053328
49;-10.118906021118164;627200;1649680884.500057
50;-10.378515243530273;640000;1649680884.5989926
51;-10.751250267028809;652800;1649680884.6909873
52;-10.864374160766602;665600;1649680884.7801855
53;-10.265546798706055;678400;1649680884.8725061
54;-10.817109107971191;691200;1649680884.9620893
55;-10.202343940734863;704000;1649680885.0532255
56;-10.731796264648438;716800;1649680885.143994
57;-10.691015243530273;729600;1649680885.2368565
58;-11.102890014648438;742400;1649680885.3254461
59;-10.881172180175781;755200;1649680885.4264646
60;-10.947187423706055;768000;1649680885.529242
61;-10.897812843322754;780800;1649680885.6353104
62;-10.897733688354492;793600;1649680885.7268941
63;-11.144140243530273;806400;1649680885.820159
64;-11.107500076293945;819200;1649680885.9226737
65;-11.402421951293945;832000;1649680886.0217597
66;-11.265312194824219;844800;1649680886.1203287
67;-11.188983917236328;857600;1649680886.2111068
68;-11.223594665527344;870400;1649680886.3011405
69;-10.947656631469727;883200;1649680886.40466
70;-11.396797180175781;896000;1649680886.4945114
71;-11.313827514648438;908800;1649680886.5836806
72;-11.024843215942383;921600;1649680886.675766
73;-11.08203125;934400;1649680886.7790308
74;-11.118593215942383;947200;1649680886.8750496
75;-11.145703315734863;960000;1649680886.9682894
76;-11.515155792236328;972800;1649680887.0673497
77;-11.45328140258789;985600;1649680887.1584423
78;-11.290234565734863;998400;1649680887.247899
79;-11.504688262939453;1011200;1649680887.3395236
80;-11.404999732971191;1024000;1649680887.4319992
81;-11.493671417236328;1036800;1649680887.520368
82;-11.824296951293945;1049600;1649680887.6134522
83;-12.024296760559082;1062400;1649680887.7041698
84;-12.054218292236328;1075200;1649680887.8025494
85;-11.933984756469727;1088000;1649680887.8989046
86;-11.767578125;1100800;1649680887.99453
87;-12.00742244720459;1113600;1649680888.0921214
88;-12.050546646118164;1126400;1649680888.177988
89;-12.153984069824219;1139200;1649680888.2670352
90;-12.344842910766602;1152000;1649680888.3625965
91;-12.09765625;1164800;1649680888.460712
92;-12.246328353881836;1177600;1649680888.56238
93;-12.278047561645508;1190400;1649680888.6626258
94;-12.451796531677246;1203200;1649680888.7630734
95;-12.41031265258789;1216000;1649680888.85616
