;grad_norm_clipped;Steps;Wall_Time
0;1.0;0;1649682475.5329
1;1.0;25600;1649682475.6252165
2;1.0;51200;1649682475.7050023
3;1.0;76800;1649682475.7842705
4;1.0;102400;1649682475.8639555
5;1.0;128000;1649682475.9500217
6;1.0;153600;1649682476.0339298
7;1.0;179200;1649682476.123176
8;1.0;204800;1649682476.2063231
9;1.0;230400;1649682476.39232
10;1.0;256000;1649682476.49695
11;1.0;281600;1649682476.5810258
12;1.0;307200;1649682476.663754
13;1.0;332800;1649682476.743882
14;1.0;358400;1649682476.8278227
15;1.0;384000;1649682476.9127061
16;1.0;409600;1649682477.000692
17;1.0;435200;1649682477.0843923
18;1.0;460800;1649682477.167211
19;1.0;486400;1649682477.2530189
20;1.0;512000;1649682477.3457575
21;1.0;537600;1649682477.4444823
22;1.0;563200;1649682477.5313392
23;1.0;588800;1649682477.6149364
24;1.0;614400;1649682477.7021384
25;1.0;640000;1649682477.791744
26;1.0;665600;1649682477.8783383
27;1.0;691200;1649682477.9816248
28;1.0;716800;1649682478.082384
29;1.0;742400;1649682478.1827707
30;1.0;768000;1649682478.2839692
31;1.0;793600;1649682478.3851562
32;1.0;819200;1649682478.4892325
33;1.0;844800;1649682478.5953395
34;1.0;870400;1649682478.6921709
35;1.0;896000;1649682478.7818549
36;1.0;921600;1649682478.8903666
37;1.0;947200;1649682478.9883227
38;1.0;972800;1649682479.0896206
39;1.0;998400;1649682479.1938217
40;1.0;1024000;1649682479.288002
41;1.0;1049600;1649682479.3916707
42;1.0;1075200;1649682479.4900615
43;1.0;1100800;1649682479.594021
44;1.0;1126400;1649682479.6912272
45;1.0;1152000;1649682479.7931814
46;1.0;1177600;1649682479.91615
47;1.0;1203200;1649682480.031252
48;1.0;1228800;1649682480.1412532
49;1.0;1254400;1649682480.2560506
50;1.0;1280000;1649682480.3654153
51;1.0;1305600;1649682480.4761019
52;1.0;1331200;1649682480.5908048
53;1.0;1356800;1649682480.6961482
54;1.0;1382400;1649682480.8054686
55;1.0;1408000;1649682480.9178917
56;1.0;1433600;1649682481.0350728
57;1.0;1459200;1649682481.139303
58;1.0;1484800;1649682481.2469497
59;1.0;1510400;1649682481.3483646
60;1.0;1536000;1649682481.4642081
61;1.0;1561600;1649682481.5697403
62;1.0;1587200;1649682481.6717718
63;1.0;1612800;1649682481.776658
64;1.0;1638400;1649682481.886638
65;1.0;1664000;1649682481.9985337
66;1.0;1689600;1649682482.10844
67;1.0;1715200;1649682482.2162135
68;1.0;1740800;1649682482.330565
69;1.0;1766400;1649682482.4404583
70;1.0;1792000;1649682482.5498424
71;1.0;1817600;1649682482.660067
72;1.0;1843200;1649682482.7710233
73;1.0;1868800;1649682482.8826618
74;1.0;1894400;1649682482.9976113
75;1.0;1920000;1649682483.1044657
76;1.0;1945600;1649682483.2176864
77;1.0;1971200;1649682483.3237524
78;1.0;1996800;1649682483.440846
79;1.0;2022400;1649682483.557342
80;1.0;2048000;1649682483.6722193
81;1.0;2073600;1649682483.792244
82;1.0;2099200;1649682483.912859
83;1.0;2124800;1649682484.0224829
84;1.0;2150400;1649682484.1379783
85;1.0;2176000;1649682484.260359
86;1.0;2201600;1649682484.3658755
87;1.0;2227200;1649682484.4778097
88;1.0;2252800;1649682484.5914767
89;1.0;2278400;1649682484.7030697
90;1.0;2304000;1649682484.8149688
91;1.0;2329600;1649682484.918562
92;1.0;2355200;1649682485.028886
93;1.0;2380800;1649682485.1378348
94;1.0;2406400;1649682485.246712
95;1.0;2432000;1649682485.3525443
96;1.0;2457600;1649682485.4567237
97;1.0;2483200;1649682485.566496
98;1.0;2508800;1649682485.672394
99;1.0;2534400;1649682485.7809784
100;1.0;2560000;1649682491.0296159
101;1.0;2585600;1649682491.1618142
102;1.0;2611200;1649682491.2817245
103;1.0;2636800;1649682491.392304
104;1.0;2662400;1649682491.4981058
105;1.0;2688000;1649682491.6134927
106;1.0;2713600;1649682491.730235
107;1.0;2739200;1649682491.8406744
108;1.0;2764800;1649682491.955137
109;1.0;2790400;1649682492.0712814
110;1.0;2816000;1649682492.1829102
111;1.0;2841600;1649682492.2930696
112;1.0;2867200;1649682492.4055486
113;1.0;2892800;1649682492.5160947
114;1.0;2918400;1649682492.6208746
115;1.0;2944000;1649682492.7363884
116;1.0;2969600;1649682492.8471303
117;1.0;2995200;1649682492.9592283
118;1.0;3020800;1649682493.0696845
119;1.0;3046400;1649682493.1891105
120;1.0;3072000;1649682493.2998712
121;1.0;3097600;1649682493.4204705
122;1.0;3123200;1649682493.532324
123;1.0;3148800;1649682493.642008
124;1.0;3174400;1649682493.7530687
125;1.0;3200000;1649682493.8648982
126;1.0;3225600;1649682493.9781563
127;1.0;3251200;1649682494.0869906
128;1.0;3276800;1649682494.1992402
129;1.0;3302400;1649682494.314272
130;1.0;3328000;1649682494.4175613
131;1.0;3353600;1649682494.5306227
132;1.0;3379200;1649682494.6391544
133;1.0;3404800;1649682494.7428112
134;1.0;3430400;1649682494.8580904
135;1.0;3456000;1649682494.97256
136;1.0;3481600;1649682495.0867221
137;1.0;3507200;1649682495.2033703
138;1.0;3532800;1649682495.3187242
139;1.0;3558400;1649682495.431829
140;1.0;3584000;1649682495.542963
141;1.0;3609600;1649682495.6531696
142;1.0;3635200;1649682495.7787097
143;1.0;3660800;1649682495.8916495
144;1.0;3686400;1649682496.0030417
145;1.0;3712000;1649682496.1170118
146;1.0;3737600;1649682496.2328424
147;1.0;3763200;1649682496.3343976
148;1.0;3788800;1649682496.4394746
149;1.0;3814400;1649682496.547477
150;1.0;3840000;1649682496.6648626
151;1.0;3865600;1649682496.7675142
152;1.0;3891200;1649682496.873684
153;1.0;3916800;1649682496.9813833
154;1.0;3942400;1649682497.0922995
155;1.0;3968000;1649682497.2035506
156;1.0;3993600;1649682497.315075
157;1.0;4019200;1649682497.4238558
158;1.0;4044800;1649682497.5293534
159;1.0;4070400;1649682497.6424117
160;1.0;4096000;1649682497.7466943
161;1.0;4121600;1649682497.8638878
162;1.0;4147200;1649682497.9724195
163;1.0;4172800;1649682498.0854886
164;1.0;4198400;1649682498.1951754
165;1.0;4224000;1649682498.3114495
166;1.0;4249600;1649682498.431865
167;1.0;4275200;1649682498.547459
168;1.0;4300800;1649682498.6705067
169;1.0;4326400;1649682498.7808535
170;1.0;4352000;1649682498.8856978
171;1.0;4377600;1649682498.999814
172;1.0;4403200;1649682499.1156142
173;1.0;4428800;1649682499.2289193
174;1.0;4454400;1649682499.3366952
175;1.0;4480000;1649682499.4499712
176;1.0;4505600;1649682499.5583284
177;1.0;4531200;1649682499.6727717
178;1.0;4556800;1649682499.7922418
179;1.0;4582400;1649682499.901775
180;1.0;4608000;1649682500.0133104
181;1.0;4633600;1649682500.1287723
182;1.0;4659200;1649682500.253278
183;1.0;4684800;1649682500.3588686
184;1.0;4710400;1649682500.4674819
185;1.0;4736000;1649682500.5870917
186;1.0;4761600;1649682500.6978142
187;1.0;4787200;1649682500.8103607
188;1.0;4812800;1649682500.9205394
189;1.0;4838400;1649682501.034564
190;1.0;4864000;1649682501.1519659
191;1.0;4889600;1649682501.2680254
192;1.0;4915200;1649682501.3800988
193;1.0;4940800;1649682501.4860506
194;1.0;4966400;1649682501.594429
195;1.0;4992000;1649682501.7014706
196;1.0;5017600;1649682501.826442
197;1.0;5043200;1649682501.9425082
198;1.0;5068800;1649682502.0588424
199;1.0;5094400;1649682502.1688871
200;1.0;5120000;1649682506.9874957
201;1.0;5145600;1649682507.119313
202;1.0;5171200;1649682507.2455933
203;1.0;5196800;1649682507.3666232
204;1.0;5222400;1649682507.4815083
205;1.0;5248000;1649682507.5954435
206;1.0;5273600;1649682507.7109513
207;1.0;5299200;1649682507.824822
208;1.0;5324800;1649682507.943178
209;1.0;5350400;1649682508.063041
210;1.0;5376000;1649682508.1759553
211;1.0;5401600;1649682508.2935941
212;1.0;5427200;1649682508.4055529
213;1.0;5452800;1649682508.514519
214;1.0;5478400;1649682508.625389
215;1.0;5504000;1649682508.752907
216;1.0;5529600;1649682508.869461
217;1.0;5555200;1649682508.9832044
218;1.0;5580800;1649682509.093709
219;1.0;5606400;1649682509.2046676
220;1.0;5632000;1649682509.31395
221;1.0;5657600;1649682509.417443
222;1.0;5683200;1649682509.5295782
223;1.0;5708800;1649682509.6440313
224;1.0;5734400;1649682509.7574544
225;1.0;5760000;1649682509.8650525
226;1.0;5785600;1649682509.9701679
227;1.0;5811200;1649682510.0825992
228;1.0;5836800;1649682510.1913908
229;1.0;5862400;1649682510.3036819
230;1.0;5888000;1649682510.425919
231;1.0;5913600;1649682510.5409415
232;1.0;5939200;1649682510.6416028
233;1.0;5964800;1649682510.7443273
234;1.0;5990400;1649682510.8469994
235;1.0;6016000;1649682510.9568727
236;1.0;6041600;1649682511.0599244
237;1.0;6067200;1649682511.1788282
238;1.0;6092800;1649682511.290454
239;1.0;6118400;1649682511.3980756
240;1.0;6144000;1649682511.5014179
241;1.0;6169600;1649682511.6045709
242;1.0;6195200;1649682511.719251
243;1.0;6220800;1649682511.8264017
244;1.0;6246400;1649682511.9382238
245;1.0;6272000;1649682512.0524879
246;1.0;6297600;1649682512.1569314
247;1.0;6323200;1649682512.2673686
248;1.0;6348800;1649682512.3721764
249;1.0;6374400;1649682512.4771051
250;1.0;6400000;1649682512.5845423
251;1.0;6425600;1649682512.6902895
252;1.0;6451200;1649682512.8041136
253;1.0;6476800;1649682512.9157932
254;1.0;6502400;1649682513.0229611
255;1.0;6528000;1649682513.135461
256;1.0;6553600;1649682513.255476
257;1.0;6579200;1649682513.3660479
258;1.0;6604800;1649682513.4786234
259;1.0;6630400;1649682513.5968118
260;1.0;6656000;1649682513.7098103
261;1.0;6681600;1649682513.8279452
262;1.0;6707200;1649682513.9321156
263;1.0;6732800;1649682514.0475354
264;1.0;6758400;1649682514.1533492
265;1.0;6784000;1649682514.2716312
266;1.0;6809600;1649682514.3860354
267;1.0;6835200;1649682514.5000408
268;1.0;6860800;1649682514.607233
269;1.0;6886400;1649682514.7164216
270;1.0;6912000;1649682514.828859
271;1.0;6937600;1649682514.947449
272;1.0;6963200;1649682515.0539293
273;1.0;6988800;1649682515.1613755
274;1.0;7014400;1649682515.2734487
275;1.0;7040000;1649682515.3863335
276;1.0;7065600;1649682515.496531
277;1.0;7091200;1649682515.6085002
278;1.0;7116800;1649682515.715559
279;1.0;7142400;1649682515.8271172
280;1.0;7168000;1649682515.941638
281;1.0;7193600;1649682516.0471413
282;1.0;7219200;1649682516.1529288
283;1.0;7244800;1649682516.2588995
284;1.0;7270400;1649682516.3677511
285;1.0;7296000;1649682516.4793408
286;1.0;7321600;1649682516.5897524
