;learnrate_pg0;Steps;Wall_Time
0;9.999999747378752e-05;0;1649688083.37466
1;9.7999996796716e-05;100;1649688097.8402774
2;9.603999933460727e-05;200;1649688114.5196834
3;9.411919745616615e-05;300;1649688131.278867
4;9.223681263392791e-05;400;1649688148.0740592
5;9.039208089234307e-05;500;1649688164.3734558
6;8.858423825586215e-05;600;1649688181.3090775
7;8.68125498527661e-05;700;1649688199.0700946
8;8.507630263920873e-05;800;1649688215.8078926
9;8.337477629538625e-05;900;1649688233.6230462
10;8.170727960532531e-05;1000;1649688250.6930783
11;8.007313590496778e-05;1100;1649688268.0005672
12;7.847167580621317e-05;1200;1649688286.3222759
13;7.690223719691858e-05;1300;1649688304.78987
14;7.536419434472919e-05;1400;1649688322.7716317
15;7.385690696537495e-05;1500;1649688340.6319373
16;7.237977115437388e-05;1600;1649688358.561899
17;7.09321757312864e-05;1700;1649688377.6322372
18;6.951353134354576e-05;1800;1649688395.846126
19;6.812326319050044e-05;1900;1649688414.040419
20;6.67607964714989e-05;2000;1649688432.527039
21;6.542557821376249e-05;2100;1649688451.4697719
22;6.411706999642774e-05;2200;1649688470.6232417
23;6.28347261226736e-05;2300;1649688490.06015
24;6.157803727546707e-05;2400;1649688509.2314527
25;6.034647230990231e-05;2500;1649688528.913994
26;5.913954373681918e-05;2600;1649688549.2223537
27;5.79567531531211e-05;2700;1649688568.7339847
28;5.679761670762673e-05;2800;1649688588.1824074
29;5.566166510106996e-05;2900;1649688607.7295425
30;5.454843267216347e-05;3000;1649688628.7867427
31;5.345746467355639e-05;3100;1649688649.2979405
32;5.238831363385543e-05;3200;1649688670.189049
33;5.134054663358256e-05;3300;1649688690.785744
34;5.031373802921735e-05;3400;1649688711.2759647
35;4.930746217723936e-05;3500;1649688732.2907255
36;4.83213116240222e-05;3600;1649688752.5817795
37;4.7354886191897094e-05;3700;1649688774.0897877
38;4.6407789341174066e-05;3800;1649688795.0042207
39;4.547963180812076e-05;3900;1649688816.1688998
40;4.457003888092004e-05;4000;1649688837.2391107
41;4.3678639485733584e-05;4100;1649688858.0306294
42;4.280506618670188e-05;4200;1649688879.2911606
43;4.1948966099880636e-05;4300;1649688900.105751
44;4.1109986341325566e-05;4400;1649688920.8216112
45;4.0287784941028804e-05;4500;1649688941.7684937
46;3.94820308429189e-05;4600;1649688962.8306706
47;3.869238935294561e-05;4700;1649688983.7732623
48;3.791854396695271e-05;4800;1649689004.776772
49;3.716017090482637e-05;4900;1649689025.8778963
50;3.641696821432561e-05;5000;1649689047.8840346
51;3.568863030523062e-05;5100;1649689069.7215693
52;3.4974855225300416e-05;5200;1649689092.1152153
53;3.427535921218805e-05;5300;1649689114.2847342
54;3.358985122758895e-05;5400;1649689135.7146862
55;3.291805478511378e-05;5500;1649689157.02838
56;3.22596933983732e-05;5600;1649689178.3878999
57;3.161450149491429e-05;5700;1649689199.9142652
58;3.098220986430533e-05;5800;1649689221.800677
59;3.0362565667019226e-05;5900;1649689243.4577343
60;2.9755314244539477e-05;6000;1649689265.709217
61;2.9160208214307204e-05;6100;1649689287.1542482
62;2.857700383174233e-05;6200;1649689308.712185
63;2.80054646282224e-05;6300;1649689330.0727253
64;2.7445354135124944e-05;6400;1649689352.935103
65;2.689644679776393e-05;6500;1649689376.1730356
66;2.6358518880442716e-05;6600;1649689399.463642
67;2.5831348466454074e-05;6700;1649689422.821232
68;2.5314720915048383e-05;6800;1649689446.5922933
69;2.4808427042444237e-05;6900;1649689469.9144018
70;2.4312257664860226e-05;7000;1649689493.6054192
71;2.3826012693461962e-05;7100;1649689516.8332334
72;2.3349492039415054e-05;7200;1649689540.2188158
73;2.2882502889842726e-05;7300;1649689564.0283809
74;2.2424852431868203e-05;7400;1649689587.5416024
75;2.1976355128572322e-05;7500;1649689611.6590326
76;2.153682908101473e-05;7600;1649689635.2833507
77;2.110609239025507e-05;7700;1649689658.6614032
78;2.0683970433310606e-05;7800;1649689682.179104
79;2.0270290406187996e-05;7900;1649689705.6231687
80;1.9864884961862117e-05;8000;1649689729.1001368
81;1.9467586753307842e-05;8100;1649689752.5985854
82;1.9078235709457658e-05;8200;1649689776.3969784
83;1.8696671759244055e-05;8300;1649689799.8399527
84;1.8322736650588922e-05;8400;1649689823.4295857
85;1.7956283045350574e-05;8500;1649689847.0021374
86;1.759715632942971e-05;8600;1649689870.4371095
87;1.724521462165285e-05;8700;1649689894.0552034
88;1.6900308764888905e-05;8800;1649689918.0930727
89;1.6562304153922014e-05;8900;1649689942.039295
90;1.6231057088589296e-05;9000;1649689966.0047464
91;1.5906436601653695e-05;9100;1649689990.2673788
92;1.558830808789935e-05;9200;1649690014.4449806
93;1.5276540580089204e-05;9300;1649690037.911662
94;1.4971010386943817e-05;9400;1649690061.2717426
95;1.467159017920494e-05;9500;1649690085.2710962
96;1.4378158084582537e-05;9600;1649690108.8464131
97;1.4090594959270675e-05;9700;1649690132.5639668
98;1.3808783478452824e-05;9800;1649690156.0167844
99;1.353260813630186e-05;9900;1649690179.527151
