;test/length;Steps;Wall_Time
0;20.0;0;1651231452.2312973
1;20.0;128000;1651231619.5142899
2;20.0;256000;1651231783.2787762
3;20.0;384000;1651231947.1254668
4;20.0;512000;1651232111.7392223
5;20.0;640000;1651232279.6361885
6;20.0;768000;1651232447.047029
7;20.0;896000;1651232665.513844
8;20.0;1024000;1651232924.5144684
9;20.0;1152000;1651233182.947062
10;20.0;1280000;1651233427.0602996
11;20.0;1408000;1651233601.1672797
12;20.0;1536000;1651233771.9322863
13;20.0;1664000;1651233940.3750336
14;20.0;1792000;1651234113.1829245
15;20.0;1920000;1651234286.312099
16;20.0;2048000;1651234453.7865357
17;20.0;2176000;1651234620.5949237
18;20.0;2304000;1651234788.7611141
19;20.0;2432000;1651234959.2164214
20;20.0;2560000;1651235129.4582806
21;20.0;2688000;1651235299.50848
22;20.0;2816000;1651235466.1958065
23;20.0;2944000;1651235633.1062937
24;20.0;3072000;1651235805.0533128
25;20.0;3200000;1651235976.4722888
26;20.0;3328000;1651236148.3142085
27;20.0;3456000;1651236315.3731525
28;20.0;3584000;1651236482.537769
29;20.0;3712000;1651236647.384136
30;20.0;3840000;1651236812.2435863
31;20.0;3968000;1651236984.0527177
32;20.0;4096000;1651237153.4047127
33;20.0;4224000;1651237319.8756866
34;20.0;4352000;1651237490.566326
35;20.0;4480000;1651237660.6991792
36;20.0;4608000;1651237830.593222
37;20.0;4736000;1651238003.1433918
38;20.0;4864000;1651238175.186726
39;20.0;4992000;1651238346.4494724
40;20.0;5120000;1651238514.8973541
41;20.0;5248000;1651238686.8932068
42;20.0;5376000;1651238856.912349
43;20.0;5504000;1651239027.071232
44;20.0;5632000;1651239194.6715822
45;20.0;5760000;1651239362.5541286
46;20.0;5888000;1651239532.6215396
47;20.0;6016000;1651239700.126757
48;20.0;6144000;1651239871.801946
49;20.0;6272000;1651240042.362492
50;20.0;6400000;1651240209.693141
51;20.0;6528000;1651240375.112204
52;20.0;6656000;1651240540.052005
53;20.0;6784000;1651240704.826376
54;20.0;6912000;1651240872.252336
55;20.0;7040000;1651241039.5403326
56;20.0;7168000;1651241206.3999522
57;20.0;7296000;1651241375.968753
58;20.0;7424000;1651241541.9175649
59;20.0;7552000;1651241708.5344658
60;20.0;7680000;1651241877.6274376
61;20.0;7808000;1651242043.753866
62;20.0;7936000;1651242208.2562351
63;20.0;8064000;1651242381.3440444
64;20.0;8192000;1651242553.8892663
65;20.0;8320000;1651242723.7705019
66;20.0;8448000;1651242891.6089964
67;20.0;8576000;1651243057.7957098
68;20.0;8704000;1651243224.8209429
69;20.0;8832000;1651243396.944508
70;20.0;8960000;1651243563.5790255
71;20.0;9088000;1651243728.9845219
72;20.0;9216000;1651243893.5856438
73;20.0;9344000;1651244059.018169
74;20.0;9472000;1651244223.125165
75;20.0;9600000;1651244397.3926404
76;20.0;9728000;1651244564.4319506
77;20.0;9856000;1651244732.138844
78;20.0;9984000;1651244903.3761613
79;20.0;10112000;1651245071.6340446
80;20.0;10240000;1651245248.4807818
81;20.0;10368000;1651245423.9377851
82;20.0;10496000;1651245594.9847565
83;20.0;10624000;1651245763.429442
84;20.0;10752000;1651245931.4365964
85;20.0;10880000;1651246104.1435375
86;20.0;11008000;1651246279.222685
87;20.0;11136000;1651246452.029904
88;20.0;11264000;1651246619.8405738
89;20.0;11392000;1651246788.7102423
90;20.0;11520000;1651246963.175854
91;20.0;11648000;1651247136.961998
92;20.0;11776000;1651247305.9676836
93;20.0;11904000;1651247473.3715522
94;20.0;12032000;1651247638.6320386
95;20.0;12160000;1651247802.6213357
96;20.0;12288000;1651247973.1547704
97;20.0;12416000;1651248140.336791
98;20.0;12544000;1651248306.6783164
99;20.0;12672000;1651248474.8605325
100;20.0;12800000;1651248646.7955232
101;20.0;12928000;1651248815.2598624
102;20.0;13056000;1651248986.1231792
103;20.0;13184000;1651249153.2671642
104;20.0;13312000;1651249324.0696666
105;20.0;13440000;1651249491.8059905
106;20.0;13568000;1651249659.3242838
107;20.0;13696000;1651249825.5145204
108;20.0;13824000;1651249991.4405537
109;20.0;13952000;1651250160.5977907
110;20.0;14080000;1651250330.7863028
111;20.0;14208000;1651250500.9116843
112;20.0;14336000;1651250669.0612183
113;20.0;14464000;1651250836.125589
114;20.0;14592000;1651251004.0558748
115;20.0;14720000;1651251172.6168845
116;20.0;14848000;1651251340.4100714
117;20.0;14976000;1651251508.9707658
118;20.0;15104000;1651251674.9444492
119;20.0;15232000;1651251841.1743815
