;test/length;Steps;Wall_Time
0;20.0;0;1651055746.7330282
1;20.0;256000;1651055846.5587587
2;20.0;512000;1651055946.3494265
3;20.0;768000;1651056046.0367234
4;20.0;1024000;1651056145.0760174
5;20.0;1280000;1651056244.068212
6;20.0;1536000;1651056343.495862
7;20.0;1792000;1651056443.218805
8;20.0;2048000;1651056542.7859159
9;20.0;2304000;1651056642.6108632
10;20.0;2560000;1651056742.5314178
11;20.0;2816000;1651056842.1938114
12;20.0;3072000;1651056941.3487115
13;20.0;3328000;1651057040.312507
14;20.0;3584000;1651057139.3302064
15;20.0;3840000;1651057238.037551
16;20.0;4096000;1651057336.633759
17;20.0;4352000;1651057435.5555136
18;20.0;4608000;1651057534.5976715
19;20.0;4864000;1651057633.9838543
20;20.0;5120000;1651057733.531576
21;20.0;5376000;1651057833.205618
22;20.0;5632000;1651057932.8000956
23;20.0;5888000;1651058032.821477
24;20.0;6144000;1651058132.063529
25;20.0;6400000;1651058230.8345852
26;20.0;6656000;1651058330.7796052
27;20.0;6912000;1651058430.5067892
28;20.0;7168000;1651058529.8760185
29;20.0;7424000;1651058629.2812288
30;20.0;7680000;1651058728.1395686
31;20.0;7936000;1651058827.2735445
32;20.0;8192000;1651058926.7968917
33;20.0;8448000;1651059026.1578245
34;20.0;8704000;1651059125.8373063
35;20.0;8960000;1651059225.7534518
36;20.0;9216000;1651059325.4510498
37;20.0;9472000;1651059425.2920182
38;20.0;9728000;1651059524.7241998
39;20.0;9984000;1651059624.2796643
40;20.0;10240000;1651059723.7774715
41;20.0;10496000;1651059823.5311255
42;20.0;10752000;1651059923.0537612
43;20.0;11008000;1651060022.8578353
44;20.0;11264000;1651060122.3895712
45;20.0;11520000;1651060221.9976451
46;20.0;11776000;1651060321.2341115
47;20.0;12032000;1651060420.7024758
48;20.0;12288000;1651060520.092622
49;20.0;12544000;1651060619.625449
50;20.0;12800000;1651060718.855429
