;test/length;Steps;Wall_Time
0;4.377187728881836;0;1649691174.4228373
1;8.006250381469727;1026786;1649691792.4413788
2;8.5678129196167;2054744;1649692367.5959544
3;8.80843734741211;3080571;1649692943.843461
4;8.7134370803833;4107749;1649693519.303975
5;8.850625038146973;5136102;1649694092.5202265
6;8.912500381469727;6160263;1649694665.8491778
7;8.975937843322754;7188237;1649695239.7906334
8;8.921250343322754;8216668;1649695893.8413584
9;9.03125;9240911;1649696500.9151502
10;9.076562881469727;10266420;1649697073.2145967
11;9.289999961853027;11294078;1649697647.119533
12;9.12906265258789;12318552;1649698218.4783533
13;9.409687042236328;13346788;1649698798.316523
14;9.087187767028809;14374068;1649699377.320176
15;9.251874923706055;15400734;1649699951.3690152
16;9.2290620803833;16427760;1649700528.1006656
17;9.496562957763672;17453896;1649701105.4575973
