;test/length_std;Steps;Wall_Time
0;0.0;0;1651187645.8610766
1;0.0;64000;1651187811.4643106
2;0.0;128000;1651187978.5999951
3;0.0;192000;1651188145.947289
4;0.0;256000;1651188313.1345036
5;0.0;320000;1651188480.9393373
6;0.0;384000;1651188640.358434
7;0.0;448000;1651188807.5031598
8;0.0;512000;1651188972.7563705
9;0.0;576000;1651189140.6261842
10;0.0;640000;1651189308.9104798
11;0.0;704000;1651189476.1739292
12;0.0;768000;1651189644.5434809
13;0.0;832000;1651189812.9265888
14;0.0;896000;1651189980.5178645
15;0.0;960000;1651190147.5121434
16;0.0;1024000;1651190313.087734
17;0.0;1088000;1651190477.1141934
18;0.0;1152000;1651190640.299542
19;0.0;1216000;1651190807.754799
20;0.0;1280000;1651190972.2604694
21;0.0;1344000;1651191138.2139843
22;0.0;1408000;1651191306.492886
23;0.0;1472000;1651191473.4772792
24;0.0;1536000;1651191641.2629848
25;0.0;1600000;1651191808.4646628
26;0.0;1664000;1651191975.979833
27;0.0;1728000;1651192143.6165838
28;0.0;1792000;1651192310.4452295
29;0.0;1856000;1651192472.9967093
30;0.0;1920000;1651192640.9940286
31;0.0;1984000;1651192803.8551881
32;0.0;2048000;1651192971.4988174
33;0.0;2112000;1651193138.8571384
34;0.0;2176000;1651193306.4586112
35;0.0;2240000;1651193474.7390404
36;0.0;2304000;1651193642.6457355
37;0.0;2368000;1651193809.7325642
38;0.0;2432000;1651193976.2793772
39;0.0;2496000;1651194143.6841881
40;0.0;2560000;1651194305.8273754
41;0.0;2624000;1651194471.1255896
42;0.0;2688000;1651194632.8207495
43;0.0;2752000;1651194797.321064
44;0.0;2816000;1651194963.8160846
45;0.0;2880000;1651195132.7260532
46;0.0;2944000;1651195298.140911
47;0.0;3008000;1651195465.822736
48;0.0;3072000;1651195632.94436
49;0.0;3136000;1651195800.3040328
50;0.0;3200000;1651195968.294993
51;0.0;3264000;1651196135.3920305
52;0.0;3328000;1651196295.205187
53;0.0;3392000;1651196460.1037118
54;0.0;3456000;1651196623.178943
55;0.0;3520000;1651196790.9231813
56;0.0;3584000;1651196958.92462
57;0.0;3648000;1651197126.8377626
58;0.0;3712000;1651197294.798591
59;0.0;3776000;1651197462.1427698
60;0.0;3840000;1651197630.3758223
61;0.0;3904000;1651197797.8245635
62;0.0;3968000;1651197965.1762438
63;0.0;4032000;1651198127.47842
64;0.0;4096000;1651198294.9166312
