;test/length_std;Steps;Wall_Time
0;0.0;0;1651060752.6289163
1;0.0;256000;1651060851.6002796
2;0.0;512000;1651060950.304151
3;0.0;768000;1651061048.9706845
4;0.0;1024000;1651061147.7582378
5;0.0;1280000;1651061246.3162246
6;0.0;1536000;1651061345.099293
7;0.0;1792000;1651061444.8274584
8;0.0;2048000;1651061544.4243777
9;0.0;2304000;1651061643.7379737
10;0.0;2560000;1651061741.9876525
11;0.0;2816000;1651061840.3069904
12;0.0;3072000;1651061938.988353
13;0.0;3328000;1651062037.2119086
14;0.0;3584000;1651062135.671941
15;0.0;3840000;1651062235.0217266
16;0.0;4096000;1651062334.330807
17;0.0;4352000;1651062433.4203086
18;0.0;4608000;1651062532.5306013
19;0.0;4864000;1651062631.699944
20;0.0;5120000;1651062730.8366165
21;0.0;5376000;1651062830.0582488
22;0.0;5632000;1651062929.1950192
23;0.0;5888000;1651063028.5229154
24;0.0;6144000;1651063127.7012632
25;0.0;6400000;1651063226.8801644
26;0.0;6656000;1651063325.9668906
27;0.0;6912000;1651063424.7993743
28;0.0;7168000;1651063523.8848062
29;0.0;7424000;1651063623.0574555
30;0.0;7680000;1651063721.8676713
31;0.0;7936000;1651063821.138554
32;0.0;8192000;1651063920.431753
33;0.0;8448000;1651064019.6184883
34;0.0;8704000;1651064118.5368636
35;0.0;8960000;1651064217.889766
36;0.0;9216000;1651064317.5931392
37;0.0;9472000;1651064417.0512514
38;0.0;9728000;1651064516.267921
39;0.0;9984000;1651064615.414487
40;0.0;10240000;1651064714.6899555
41;0.0;10496000;1651064813.7221296
42;0.0;10752000;1651064912.8428156
43;0.0;11008000;1651065012.141958
44;0.0;11264000;1651065111.2067645
45;0.0;11520000;1651065210.5787466
46;0.0;11776000;1651065310.2075489
47;0.0;12032000;1651065409.4926372
48;0.0;12288000;1651065508.8562996
49;0.0;12544000;1651065608.3818612
50;0.0;12800000;1651065708.2683723
