;test/length_std;Steps;Wall_Time
0;0.0;0;1650732450.8190303
1;0.0;256000;1650732550.2158577
2;0.0;512000;1650732649.717872
3;0.0;768000;1650732749.317172
4;0.0;1024000;1650732848.822769
5;0.0;1280000;1650732948.2042289
6;0.0;1536000;1650733047.4416735
7;0.0;1792000;1650733147.2093773
8;0.0;2048000;1650733246.9602857
9;0.0;2304000;1650733346.5915816
10;0.0;2560000;1650733446.2108111
11;0.0;2816000;1650733545.8619804
12;0.0;3072000;1650733645.6015098
13;0.0;3328000;1650733745.1317773
14;0.0;3584000;1650733844.390746
15;0.0;3840000;1650733943.1606946
16;0.0;4096000;1650734042.112385
17;0.0;4352000;1650734141.0866637
18;0.0;4608000;1650734239.8112152
19;0.0;4864000;1650734338.2855678
20;0.0;5120000;1650734436.5117812
21;0.0;5376000;1650734535.053638
22;0.0;5632000;1650734634.3829317
23;0.0;5888000;1650734733.6250458
24;0.0;6144000;1650734833.189091
25;0.0;6400000;1650734932.7993124
26;0.0;6656000;1650735032.1098847
27;0.0;6912000;1650735131.593107
28;0.0;7168000;1650735230.193946
29;0.0;7424000;1650735329.291394
30;0.0;7680000;1650735428.193849
31;0.0;7936000;1650735527.3752422
32;0.0;8192000;1650735626.0717068
33;0.0;8448000;1650735724.9317877
34;0.0;8704000;1650735823.982193
35;0.0;8960000;1650735923.3771582
36;0.0;9216000;1650736022.3299358
37;0.0;9472000;1650736121.0072472
38;0.0;9728000;1650736220.0122464
39;0.0;9984000;1650736318.765564
40;0.0;10240000;1650736417.2608237
41;0.0;10496000;1650736515.923817
42;0.0;10752000;1650736615.3544538
43;0.0;11008000;1650736715.1965837
44;0.0;11264000;1650736814.8530166
45;0.0;11520000;1650736913.615009
46;0.0;11776000;1650737012.449167
47;0.0;12032000;1650737111.834352
48;0.0;12288000;1650737211.6590593
49;0.0;12544000;1650737311.2753649
50;0.0;12800000;1650737411.0362582
