;test/length_std;Steps;Wall_Time
0;0.0;0;1647810595.5207202
1;0.0;64000;1647810674.2759027
2;0.0;128000;1647810752.5910757
3;0.0;192000;1647810830.7793212
4;0.0;256000;1647810908.9907901
5;0.0;320000;1647810987.1565664
6;0.0;384000;1647811065.6374266
7;0.0;448000;1647811144.0235727
8;0.0;512000;1647811222.3439808
9;0.0;576000;1647811300.6613677
10;0.0;640000;1647811378.9972727
11;0.0;704000;1647811457.191632
12;0.0;768000;1647811535.64848
13;0.0;832000;1647811613.5427763
14;0.0;896000;1647811691.5323958
15;0.0;960000;1647811769.510098
16;0.0;1024000;1647811847.589425
17;0.0;1088000;1647811925.6280234
18;0.0;1152000;1647812003.5679963
19;0.0;1216000;1647812081.5379934
20;0.0;1280000;1647812159.4628859
21;0.0;1344000;1647812237.376883
22;0.0;1408000;1647812315.229606
23;0.0;1472000;1647812400.464389
24;0.0;1536000;1647812492.831272
25;0.0;1600000;1647812585.2598486
26;0.0;1664000;1647812677.587757
27;0.0;1728000;1647812759.9033368
28;0.0;1792000;1647812837.631262
29;0.0;1856000;1647812915.3481266
30;0.0;1920000;1647812993.1614344
31;0.0;1984000;1647813070.815431
32;0.0;2048000;1647813148.663754
33;0.0;2112000;1647813226.5173488
34;0.0;2176000;1647813304.2138815
35;0.0;2240000;1647813381.880945
36;0.0;2304000;1647813459.5280812
37;0.0;2368000;1647813537.2891643
38;0.0;2432000;1647813615.1001787
39;0.0;2496000;1647813692.821356
40;0.0;2560000;1647813770.6138086
41;0.0;2624000;1647813848.32505
42;0.0;2688000;1647813926.1339707
43;0.0;2752000;1647814003.843764
44;0.0;2816000;1647814081.7852116
45;0.0;2880000;1647814159.5855563
46;0.0;2944000;1647814237.294522
47;0.0;3008000;1647814315.0452535
48;0.0;3072000;1647814392.8988674
49;0.0;3136000;1647814470.6205342
50;0.0;3200000;1647814548.2770677
51;0.0;3264000;1647814626.2026389
52;0.0;3328000;1647814704.0372453
53;0.0;3392000;1647814781.922299
54;0.0;3456000;1647814859.5330765
55;0.0;3520000;1647814936.7462513
56;0.0;3584000;1647815014.1103756
57;0.0;3648000;1647815091.4392464
58;0.0;3712000;1647815168.7758603
59;0.0;3776000;1647815246.1272817
60;0.0;3840000;1647815323.6340783
61;0.0;3904000;1647815401.0501418
62;0.0;3968000;1647815478.2720711
63;0.0;4032000;1647815555.4910092
64;0.0;4096000;1647815632.8706186
65;0.0;4160000;1647815710.3114898
66;0.0;4224000;1647815787.6543784
67;0.0;4288000;1647815864.8437598
68;0.0;4352000;1647815942.1385355
69;0.0;4416000;1647816019.3090844
70;0.0;4480000;1647816096.6437752
71;0.0;4544000;1647816175.0468733
72;0.0;4608000;1647816253.6522028
73;0.0;4672000;1647816331.210413
74;0.0;4736000;1647816408.3927178
75;0.0;4800000;1647816485.6768095
76;0.0;4864000;1647816562.9740903
77;0.0;4928000;1647816640.2393575
78;0.0;4992000;1647816717.4563658
79;0.0;5056000;1647816794.6551507
80;0.0;5120000;1647816871.8253982
81;0.0;5184000;1647816949.4573183
82;0.0;5248000;1647817027.0234437
83;0.0;5312000;1647817104.6554596
84;0.0;5376000;1647817182.2241275
85;0.0;5440000;1647817259.7897542
86;0.0;5504000;1647817337.3392172
87;0.0;5568000;1647817414.8652675
88;0.0;5632000;1647817492.4325519
89;0.0;5696000;1647817570.0590036
90;0.0;5760000;1647817647.977198
91;0.0;5824000;1647817726.1633902
92;0.0;5888000;1647817803.8983796
93;0.0;5952000;1647817881.7743158
94;0.0;6016000;1647817959.5529704
95;0.0;6080000;1647818037.3799858
96;0.0;6144000;1647818115.1092608
97;0.0;6208000;1647818192.9047632
98;0.0;6272000;1647818270.8036652
99;0.0;6336000;1647818348.5969357
100;0.0;6400000;1647818426.3676505
101;0.0;6464000;1647818504.133696
102;0.0;6528000;1647818581.5852416
103;0.0;6592000;1647818658.801352
104;0.0;6656000;1647818736.1016507
105;0.0;6720000;1647818813.4489665
106;0.0;6784000;1647818890.931085
107;0.0;6848000;1647818968.21648
108;0.0;6912000;1647819045.5713458
109;0.0;6976000;1647819122.8478515
110;0.0;7040000;1647819200.2491083
111;0.0;7104000;1647819277.5397072
112;0.0;7168000;1647819355.0174024
113;0.0;7232000;1647819432.1822493
114;0.0;7296000;1647819509.3903203
115;0.0;7360000;1647819586.8136122
116;0.0;7424000;1647819664.2011278
117;0.0;7488000;1647819741.5651531
118;0.0;7552000;1647819818.840905
119;0.0;7616000;1647819896.1080627
120;0.0;7680000;1647819973.5800607
121;0.0;7744000;1647820050.8733585
122;0.0;7808000;1647820128.0864518
123;0.0;7872000;1647820205.3704815
124;0.0;7936000;1647820282.4326448
125;0.0;8000000;1647820359.4557064
126;0.0;8064000;1647820436.3021805
