;test/reward;Steps;Wall_Time
0;-10.339835166931152;0;1651159139.1920683
1;-10.077327728271484;256000;1651159466.4920294
2;-9.656527519226074;512000;1651159788.9791923
3;-8.665630340576172;768000;1651160114.7944508
4;-8.146010398864746;1024000;1651160438.3038392
5;-7.792008876800537;1280000;1651160764.2821004
6;-7.732567310333252;1536000;1651161089.4331467
7;-7.79741907119751;1792000;1651161415.5475044
8;-8.005906105041504;2048000;1651161741.5229816
9;-8.144619941711426;2304000;1651162072.6132143
10;-8.333600044250488;2560000;1651162400.2839096
11;-8.3225679397583;2816000;1651162730.2719579
12;-8.403328895568848;3072000;1651163056.952522
13;-8.662233352661133;3328000;1651163384.6213615
14;-8.633292198181152;3584000;1651163708.8963425
15;-8.690157890319824;3840000;1651164032.5817645
16;-8.699004173278809;4096000;1651164356.6115177
17;-8.565735816955566;4352000;1651164682.748355
18;-8.5966157913208;4608000;1651165010.6156893
19;-8.453710556030273;4864000;1651165336.6113095
20;-8.38432788848877;5120000;1651165664.0807095
21;-8.549814224243164;5376000;1651165987.9550285
22;-8.528660774230957;5632000;1651166307.5443325
23;-8.477730751037598;5888000;1651166631.4458926
24;-8.494600296020508;6144000;1651166953.1479406
25;-8.575544357299805;6400000;1651167275.7727673
26;-8.575201034545898;6656000;1651167601.902261
27;-8.528288841247559;6912000;1651167931.697827
28;-8.554210662841797;7168000;1651168261.7543218
29;-8.558976173400879;7424000;1651168584.1886055
30;-8.534379959106445;7680000;1651168909.0122168
31;-8.577658653259277;7936000;1651169233.719002
32;-8.492074012756348;8192000;1651169558.2050753
33;-8.497506141662598;8448000;1651169885.9615843
34;-8.567524909973145;8704000;1651170210.3521085
35;-8.602652549743652;8960000;1651170532.621533
36;-8.594917297363281;9216000;1651170867.6966233
37;-8.52354907989502;9472000;1651171201.547192
38;-8.591428756713867;9728000;1651171520.657229
39;-8.606584548950195;9984000;1651171845.242112
40;-8.567658424377441;10240000;1651172167.7770863
41;-8.547468185424805;10496000;1651172490.9902453
42;-8.531142234802246;10752000;1651172813.5071707
43;-8.532992362976074;11008000;1651173135.149135
44;-8.465341567993164;11264000;1651173460.9066567
45;-8.537732124328613;11520000;1651173780.2758038
46;-8.467537879943848;11776000;1651174106.8888307
47;-8.381607055664062;12032000;1651174426.6179597
48;-8.38117790222168;12288000;1651174750.042585
49;-8.460935592651367;12544000;1651175074.439779
50;-8.497797012329102;12800000;1651175401.4404316
