;test/reward;Steps;Wall_Time
0;-10.426054000854492;0;1651110273.8406386
1;-10.188467979431152;256000;1651110366.7467108
2;-9.457104682922363;512000;1651110458.9035444
3;-8.290105819702148;768000;1651110551.3495398
4;-7.3859639167785645;1024000;1651110643.602016
5;-6.636976718902588;1280000;1651110736.045001
6;-6.194272518157959;1536000;1651110828.7580395
7;-5.83533239364624;1792000;1651110921.6693864
8;-5.641396522521973;2048000;1651111014.6472456
9;-5.490394115447998;2304000;1651111107.232144
10;-5.405505180358887;2560000;1651111199.8945534
11;-5.313046455383301;2816000;1651111292.9251316
12;-5.267024993896484;3072000;1651111386.1342483
13;-5.171304702758789;3328000;1651111479.498926
14;-5.129978656768799;3584000;1651111572.635073
15;-5.070837020874023;3840000;1651111665.6845434
16;-5.007478713989258;4096000;1651111758.9147754
17;-5.026345729827881;4352000;1651111851.6669629
18;-4.975205898284912;4608000;1651111944.4500277
19;-4.940527439117432;4864000;1651112037.1083398
20;-4.902334690093994;5120000;1651112129.6589222
21;-4.836294174194336;5376000;1651112221.850836
22;-4.781774997711182;5632000;1651112314.0417843
23;-4.739485740661621;5888000;1651112406.338853
24;-4.711215019226074;6144000;1651112498.5659468
25;-4.664571285247803;6400000;1651112590.633216
26;-4.625953197479248;6656000;1651112682.956129
27;-4.6141276359558105;6912000;1651112775.154152
28;-4.573639392852783;7168000;1651112867.65068
29;-4.53490686416626;7424000;1651112959.802229
30;-4.566318035125732;7680000;1651113051.5704784
31;-4.540729999542236;7936000;1651113143.3747194
32;-4.505558967590332;8192000;1651113236.0253227
33;-4.5207014083862305;8448000;1651113328.3499844
34;-4.461489200592041;8704000;1651113420.6057143
35;-4.454121112823486;8960000;1651113512.8482578
36;-4.449925899505615;9216000;1651113605.1230795
37;-4.423647403717041;9472000;1651113697.444849
38;-4.419521808624268;9728000;1651113790.337731
39;-4.442134857177734;9984000;1651113883.203589
40;-4.425072193145752;10240000;1651113976.1172826
41;-4.444384574890137;10496000;1651114069.0252683
42;-4.390596866607666;10752000;1651114161.7364569
43;-4.3481125831604;11008000;1651114254.4916563
44;-4.370896816253662;11264000;1651114347.222104
45;-4.328800678253174;11520000;1651114439.8018153
46;-4.357202529907227;11776000;1651114532.4331677
47;-4.357602119445801;12032000;1651114624.8466141
48;-4.302468299865723;12288000;1651114716.891678
49;-4.284849643707275;12544000;1651114808.780839
50;-4.313060760498047;12800000;1651114900.8313775
