;test/reward;Steps;Wall_Time
0;-10.336332321166992;0;1651355921.2305956
1;-9.703908920288086;256000;1651356059.7893133
2;-9.6016206741333;512000;1651356197.9221106
3;-9.493736267089844;768000;1651356336.3793905
4;-9.415441513061523;1024000;1651356475.9222345
5;-9.332777976989746;1280000;1651356614.712308
6;-9.245421409606934;1536000;1651356753.5735104
7;-9.065349578857422;1792000;1651356892.2414677
8;-9.019267082214355;2048000;1651357030.8139749
9;-8.818434715270996;2304000;1651357169.3281863
10;-8.589359283447266;2560000;1651357308.218439
11;-8.379217147827148;2816000;1651357447.0415242
12;-8.124005317687988;3072000;1651357585.5614853
13;-7.924569129943848;3328000;1651357724.0654576
14;-7.730813503265381;3584000;1651357862.7302914
15;-7.445401191711426;3840000;1651358002.3297417
16;-7.263383388519287;4096000;1651358141.0587006
17;-6.968024253845215;4352000;1651358279.447016
18;-6.654963970184326;4608000;1651358417.4332235
19;-6.553284168243408;4864000;1651358554.6089692
20;-6.2668304443359375;5120000;1651358692.1322517
21;-6.060521602630615;5376000;1651358829.389909
22;-5.869388103485107;5632000;1651358966.5912724
23;-5.679487228393555;5888000;1651359104.0586448
24;-5.50918436050415;6144000;1651359241.0684452
25;-5.416140079498291;6400000;1651359378.5805404
26;-5.257075309753418;6656000;1651359516.032331
27;-5.155242919921875;6912000;1651359653.4961004
28;-5.078549385070801;7168000;1651359790.554642
29;-5.030883312225342;7424000;1651359927.7052302
30;-4.983882427215576;7680000;1651360064.85007
31;-4.945828437805176;7936000;1651360202.2645292
32;-4.884777545928955;8192000;1651360339.8366416
33;-4.973672389984131;8448000;1651360477.5040615
34;-4.904943943023682;8704000;1651360614.9678047
35;-4.846770286560059;8960000;1651360752.3202212
36;-4.787029266357422;9216000;1651360890.142803
37;-4.739175319671631;9472000;1651361027.7218473
38;-4.623878002166748;9728000;1651361164.7443898
39;-4.596577167510986;9984000;1651361301.8653054
40;-4.551026821136475;10240000;1651361438.7992716
41;-4.5160603523254395;10496000;1651361576.0875976
42;-4.501420974731445;10752000;1651361713.4812915
43;-4.4705634117126465;11008000;1651361851.8506422
44;-4.465203762054443;11264000;1651361989.9924073
45;-4.455811977386475;11520000;1651362128.68511
46;-4.4277262687683105;11776000;1651362267.2352192
47;-4.418655872344971;12032000;1651362405.8616393
48;-4.404252052307129;12288000;1651362544.6325977
49;-4.389016628265381;12544000;1651362682.9457316
50;-4.372777462005615;12800000;1651362822.0277789
