;train/episode;Steps;Wall_Time
0;128.0;2560;1649072384.7128425
1;128.0;5120;1649072385.8721976
2;128.0;7680;1649072386.9551241
3;128.0;10240;1649072388.0503137
4;128.0;12800;1649072389.144237
5;128.0;15360;1649072390.242519
6;128.0;17920;1649072391.3231242
7;128.0;20480;1649072392.4039872
8;128.0;23040;1649072393.5107553
9;128.0;25600;1649072394.5931048
10;128.0;28160;1649072395.691704
11;128.0;30720;1649072396.7768726
12;128.0;33280;1649072397.8546734
13;128.0;35840;1649072398.9328568
14;128.0;38400;1649072400.0239925
15;128.0;40960;1649072401.1149986
16;128.0;43520;1649072402.2086532
17;128.0;46080;1649072403.30129
18;128.0;48640;1649072404.3920555
19;128.0;51200;1649072405.483808
20;128.0;53760;1649072406.5730405
21;128.0;56320;1649072407.6659975
22;128.0;58880;1649072408.7570162
23;128.0;61440;1649072409.844054
24;128.0;64000;1649072410.9352
25;128.0;66560;1649072412.0225308
26;128.0;69120;1649072413.1141174
27;128.0;71680;1649072414.2050896
28;128.0;74240;1649072415.2958567
29;128.0;76800;1649072416.3893518
30;128.0;79360;1649072417.4780145
31;128.0;81920;1649072418.5673475
32;128.0;84480;1649072419.6553977
33;128.0;87040;1649072420.7476819
34;128.0;89600;1649072421.8390281
35;128.0;92160;1649072422.9289773
36;128.0;94720;1649072424.016835
37;128.0;97280;1649072425.248511
38;128.0;99840;1649072426.486468
39;128.0;102400;1649072427.7413192
40;128.0;104960;1649072428.9662836
41;128.0;107520;1649072430.1914294
42;128.0;110080;1649072431.4218843
43;128.0;112640;1649072432.6501486
44;128.0;115200;1649072433.878408
45;128.0;117760;1649072435.1059537
46;128.0;120320;1649072436.3493636
47;128.0;122880;1649072437.5969298
48;128.0;125440;1649072438.8382072
49;128.0;128000;1649072440.0769932
50;128.0;130560;1649072441.3064904
51;128.0;133120;1649072442.5329235
52;128.0;135680;1649072443.75911
53;128.0;138240;1649072444.987056
54;128.0;140800;1649072446.2149694
55;128.0;143360;1649072447.4404516
56;128.0;145920;1649072448.6278503
57;128.0;148480;1649072449.7077312
58;128.0;151040;1649072450.7860358
59;128.0;153600;1649072451.8679345
60;128.0;156160;1649072452.947437
61;128.0;158720;1649072454.0249147
62;128.0;161280;1649072455.1047196
63;128.0;163840;1649072456.181876
64;128.0;166400;1649072457.258325
65;128.0;168960;1649072458.3387024
66;128.0;171520;1649072459.4171884
67;128.0;174080;1649072460.504978
68;128.0;176640;1649072461.5819547
69;128.0;179200;1649072462.662291
70;128.0;181760;1649072463.74243
71;128.0;184320;1649072464.819515
72;128.0;186880;1649072465.9012344
73;128.0;189440;1649072466.979782
74;128.0;192000;1649072468.0581625
75;128.0;194560;1649072469.1358075
76;128.0;197120;1649072470.214832
77;128.0;199680;1649072471.2957537
78;128.0;202240;1649072472.3804936
79;128.0;204800;1649072473.4602988
80;128.0;207360;1649072474.538749
81;128.0;209920;1649072475.6204197
82;128.0;212480;1649072476.6977508
83;128.0;215040;1649072477.7775419
84;128.0;217600;1649072478.855821
85;128.0;220160;1649072479.938664
86;128.0;222720;1649072481.0159957
87;128.0;225280;1649072482.0962424
88;128.0;227840;1649072483.1785486
89;128.0;230400;1649072484.2663434
90;128.0;232960;1649072485.3431816
91;128.0;235520;1649072486.423948
92;128.0;238080;1649072487.501522
93;128.0;240640;1649072488.5822635
94;128.0;243200;1649072489.6587903
95;128.0;245760;1649072490.7403991
96;128.0;248320;1649072491.817037
97;128.0;250880;1649072492.8935611
98;128.0;253440;1649072493.9725943
99;128.0;256000;1649072495.0542982
100;128.0;258560;1649072503.4686582
101;128.0;261120;1649072504.583325
102;128.0;263680;1649072505.6713943
103;128.0;266240;1649072506.7765522
104;128.0;268800;1649072507.8709664
105;128.0;271360;1649072508.961808
106;128.0;273920;1649072510.049691
107;128.0;276480;1649072511.1363246
108;128.0;279040;1649072512.2263942
109;128.0;281600;1649072513.312385
110;128.0;284160;1649072514.4029973
111;128.0;286720;1649072515.490335
112;128.0;289280;1649072516.5776029
113;128.0;291840;1649072517.6649504
114;128.0;294400;1649072518.7680826
115;128.0;296960;1649072519.864807
116;128.0;299520;1649072520.9544568
117;128.0;302080;1649072522.0447145
118;128.0;304640;1649072523.1314573
119;128.0;307200;1649072524.219522
120;128.0;309760;1649072525.311305
121;128.0;312320;1649072526.398826
122;128.0;314880;1649072527.4872003
123;128.0;317440;1649072528.5733774
124;128.0;320000;1649072529.6602597
125;128.0;322560;1649072530.760424
126;128.0;325120;1649072531.8497815
127;128.0;327680;1649072532.9377012
128;128.0;330240;1649072534.0277267
129;128.0;332800;1649072535.1156776
130;128.0;335360;1649072536.2037396
131;128.0;337920;1649072537.2900581
132;128.0;340480;1649072538.376999
133;128.0;343040;1649072539.4671936
134;128.0;345600;1649072540.5533621
135;128.0;348160;1649072541.6553283
136;128.0;350720;1649072542.7535164
137;128.0;353280;1649072543.8425968
138;128.0;355840;1649072544.9331434
139;128.0;358400;1649072546.0197268
140;128.0;360960;1649072547.1073093
141;128.0;363520;1649072548.1967964
142;128.0;366080;1649072549.2838702
143;128.0;368640;1649072550.3677006
144;128.0;371200;1649072551.4595227
145;128.0;373760;1649072552.5378618
146;128.0;376320;1649072553.6388164
147;128.0;378880;1649072554.820233
148;128.0;381440;1649072555.9235158
149;128.0;384000;1649072557.0564845
150;128.0;386560;1649072558.1430733
151;128.0;389120;1649072559.228212
152;128.0;391680;1649072560.311124
153;128.0;394240;1649072561.3972821
154;128.0;396800;1649072562.4869733
155;128.0;399360;1649072563.6481946
156;128.0;401920;1649072564.8002234
157;128.0;404480;1649072566.1031234
158;128.0;407040;1649072567.2806072
159;128.0;409600;1649072568.4749022
160;128.0;412160;1649072569.6560423
161;128.0;414720;1649072570.8592975
162;128.0;417280;1649072572.0591755
163;128.0;419840;1649072573.2674057
164;128.0;422400;1649072574.4631732
165;128.0;424960;1649072575.637731
166;128.0;427520;1649072576.8447661
167;128.0;430080;1649072578.0648224
168;128.0;432640;1649072579.252957
169;128.0;435200;1649072580.441359
170;128.0;437760;1649072581.8055542
171;128.0;440320;1649072583.1735134
172;128.0;442880;1649072584.54775
173;128.0;445440;1649072585.9047422
174;128.0;448000;1649072587.290802
175;128.0;450560;1649072588.7153592
176;128.0;453120;1649072589.9874556
177;128.0;455680;1649072591.2097309
178;128.0;458240;1649072592.4196534
179;128.0;460800;1649072593.5923095
180;128.0;463360;1649072594.780671
181;128.0;465920;1649072596.1268837
182;128.0;468480;1649072597.4615686
183;128.0;471040;1649072598.6444776
184;128.0;473600;1649072599.8567812
185;128.0;476160;1649072601.5792916
186;128.0;478720;1649072602.7720914
187;128.0;481280;1649072603.9413037
188;128.0;483840;1649072605.1139398
189;128.0;486400;1649072606.2856953
190;128.0;488960;1649072607.459628
191;128.0;491520;1649072608.6440003
192;128.0;494080;1649072609.8395755
193;128.0;496640;1649072611.0201068
194;128.0;499200;1649072612.2178366
195;128.0;501760;1649072613.3982987
196;128.0;504320;1649072614.5730257
197;128.0;506880;1649072615.7829852
198;128.0;509440;1649072616.9915977
199;128.0;512000;1649072618.1934257
200;128.0;514560;1649072629.0685196
201;128.0;517120;1649072630.4427323
202;128.0;519680;1649072631.6325746
203;128.0;522240;1649072632.7961807
204;128.0;524800;1649072634.130666
205;128.0;527360;1649072635.4914882
206;128.0;529920;1649072636.8524342
207;128.0;532480;1649072638.1913977
208;128.0;535040;1649072639.4264889
209;128.0;537600;1649072640.6136305
210;128.0;540160;1649072641.8022387
211;128.0;542720;1649072643.1213305
212;128.0;545280;1649072644.3062298
213;128.0;547840;1649072645.5104868
214;128.0;550400;1649072646.9121761
215;128.0;552960;1649072648.299173
216;128.0;555520;1649072649.6439939
217;128.0;558080;1649072650.8381793
218;128.0;560640;1649072652.0154743
219;128.0;563200;1649072653.20252
220;128.0;565760;1649072654.380987
221;128.0;568320;1649072655.6526344
222;128.0;570880;1649072656.829844
223;128.0;573440;1649072658.0052044
224;128.0;576000;1649072659.203718
225;128.0;578560;1649072660.405596
226;128.0;581120;1649072661.5995517
227;128.0;583680;1649072662.793279
228;128.0;586240;1649072663.9797587
229;128.0;588800;1649072665.1727002
230;128.0;591360;1649072666.3588977
231;128.0;593920;1649072667.5400932
232;128.0;596480;1649072668.7288291
233;128.0;599040;1649072669.9076958
234;128.0;601600;1649072671.1106453
235;128.0;604160;1649072672.295086
236;128.0;606720;1649072673.47732
237;128.0;609280;1649072674.6989212
238;128.0;611840;1649072675.8356771
239;128.0;614400;1649072676.9702659
240;128.0;616960;1649072678.1063962
241;128.0;619520;1649072679.2405047
242;128.0;622080;1649072680.3933034
243;128.0;624640;1649072681.5396519
244;128.0;627200;1649072682.7182171
245;128.0;629760;1649072683.9499753
246;128.0;632320;1649072685.0770874
247;128.0;634880;1649072686.237654
248;128.0;637440;1649072687.3525631
249;128.0;640000;1649072688.4698422
250;128.0;642560;1649072689.5809014
251;128.0;645120;1649072690.694252
252;128.0;647680;1649072691.8033948
253;128.0;650240;1649072692.9160988
254;128.0;652800;1649072694.0289297
255;128.0;655360;1649072695.1683464
256;128.0;657920;1649072696.295759
257;128.0;660480;1649072697.423349
258;128.0;663040;1649072698.5820858
259;128.0;665600;1649072699.717649
260;128.0;668160;1649072700.8959882
261;128.0;670720;1649072702.1131423
262;128.0;673280;1649072703.2899797
263;128.0;675840;1649072704.4662402
264;128.0;678400;1649072705.6397378
265;128.0;680960;1649072706.818016
266;128.0;683520;1649072708.0017602
267;128.0;686080;1649072709.1764941
268;128.0;688640;1649072710.3598068
269;128.0;691200;1649072711.5368311
270;128.0;693760;1649072712.8824172
271;128.0;696320;1649072714.0581007
272;128.0;698880;1649072715.2306998
273;128.0;701440;1649072716.4100387
274;128.0;704000;1649072717.775583
275;128.0;706560;1649072718.9689748
276;128.0;709120;1649072720.1486032
277;128.0;711680;1649072721.3392024
278;128.0;714240;1649072722.515945
279;128.0;716800;1649072723.6874237
280;128.0;719360;1649072725.0114625
281;128.0;721920;1649072726.1891277
282;128.0;724480;1649072727.3856568
283;128.0;727040;1649072728.5634778
284;128.0;729600;1649072729.763109
285;128.0;732160;1649072730.9656773
286;128.0;734720;1649072732.1440043
287;128.0;737280;1649072733.322206
288;128.0;739840;1649072734.5000284
289;128.0;742400;1649072735.6801732
290;128.0;744960;1649072736.8828578
291;128.0;747520;1649072738.058902
292;128.0;750080;1649072739.2303066
293;128.0;752640;1649072740.3821416
294;128.0;755200;1649072741.7599196
295;128.0;757760;1649072742.9757729
296;128.0;760320;1649072744.1478362
297;128.0;762880;1649072745.3050358
298;128.0;765440;1649072746.485545
299;128.0;768000;1649072747.6455133
300;128.0;770560;1649072756.7128425
301;128.0;773120;1649072757.894939
302;128.0;775680;1649072759.077621
303;128.0;778240;1649072760.2119784
304;128.0;780800;1649072761.3472593
305;128.0;783360;1649072762.52314
306;128.0;785920;1649072763.7037632
307;128.0;788480;1649072764.8924417
308;128.0;791040;1649072766.0757728
309;128.0;793600;1649072767.2236245
310;128.0;796160;1649072768.3933458
311;128.0;798720;1649072769.5648475
312;128.0;801280;1649072770.7398672
313;128.0;803840;1649072771.9168909
314;128.0;806400;1649072773.1194923
315;128.0;808960;1649072774.3400514
316;128.0;811520;1649072775.5770411
317;128.0;814080;1649072776.789085
318;128.0;816640;1649072777.9699643
319;128.0;819200;1649072779.154374
320;128.0;821760;1649072780.3305306
321;128.0;824320;1649072781.5290203
322;128.0;826880;1649072782.7508197
323;128.0;829440;1649072783.92986
324;128.0;832000;1649072785.1237679
325;128.0;834560;1649072786.2599027
326;128.0;837120;1649072787.4377248
327;128.0;839680;1649072788.654986
328;128.0;842240;1649072789.8639047
329;128.0;844800;1649072791.0517156
330;128.0;847360;1649072792.2318842
331;128.0;849920;1649072793.402265
332;128.0;852480;1649072794.5830817
333;128.0;855040;1649072795.7820137
334;128.0;857600;1649072796.9839587
335;128.0;860160;1649072798.1622791
336;128.0;862720;1649072799.3619204
337;128.0;865280;1649072800.5637045
338;128.0;867840;1649072801.7646134
339;128.0;870400;1649072802.9507303
340;128.0;872960;1649072804.3313894
341;128.0;875520;1649072805.5152824
342;128.0;878080;1649072806.9123304
343;128.0;880640;1649072808.2724175
344;128.0;883200;1649072809.46944
345;128.0;885760;1649072810.641539
346;128.0;888320;1649072811.8341115
347;128.0;890880;1649072813.0082276
348;128.0;893440;1649072814.2012017
349;128.0;896000;1649072815.4688983
350;128.0;898560;1649072816.6659336
351;128.0;901120;1649072817.8349168
352;128.0;903680;1649072819.0035944
353;128.0;906240;1649072820.1447856
354;128.0;908800;1649072821.2790346
355;128.0;911360;1649072822.448161
356;128.0;913920;1649072823.6408553
357;128.0;916480;1649072824.8187227
358;128.0;919040;1649072825.99149
359;128.0;921600;1649072827.1451762
360;128.0;924160;1649072828.3155842
361;128.0;926720;1649072829.480655
362;128.0;929280;1649072830.646215
363;128.0;931840;1649072831.8119376
364;128.0;934400;1649072832.9589996
365;128.0;936960;1649072834.2587938
366;128.0;939520;1649072835.6155524
367;128.0;942080;1649072836.97081
368;128.0;944640;1649072838.340368
369;128.0;947200;1649072839.5243518
