;train/episode;Steps;Wall_Time
0;512.0;2253;1649753742.8875673
1;512.0;4658;1649753744.6104112
2;512.0;7086;1649753746.3578043
3;512.0;9694;1649753748.177136
4;512.0;12315;1649753750.00708
5;512.0;14933;1649753751.8374617
6;512.0;17596;1649753753.6550834
7;512.0;20264;1649753755.4835374
8;512.0;22988;1649753757.345282
9;512.0;25667;1649753759.2109785
10;512.0;28380;1649753761.0947988
11;512.0;31092;1649753762.9735112
12;512.0;33925;1649753764.8748195
13;512.0;36753;1649753766.8036125
14;512.0;39585;1649753768.7607708
15;512.0;42442;1649753770.7212539
16;512.0;45382;1649753772.739047
17;512.0;48318;1649753774.7217488
18;512.0;51231;1649753776.6949577
19;512.0;54212;1649753778.6944442
20;512.0;57150;1649753780.6887324
21;512.0;60173;1649753782.7299938
22;512.0;63240;1649753784.8250048
23;512.0;66361;1649753786.9040365
24;512.0;69437;1649753788.9954128
25;512.0;72480;1649753791.073259
26;512.0;75485;1649753793.1158838
27;512.0;78572;1649753795.2292843
28;512.0;81605;1649753797.337095
29;512.0;84715;1649753799.417714
30;512.0;87800;1649753801.5219562
31;512.0;90923;1649753803.682456
32;512.0;94050;1649753805.8215966
33;512.0;97231;1649753807.9653814
34;512.0;100423;1649753810.1042762
35;512.0;103576;1649753812.2911613
36;512.0;106709;1649753814.4648283
37;512.0;109879;1649753816.6206384
38;512.0;113069;1649753818.7897289
39;512.0;116227;1649753820.974388
40;512.0;119414;1649753823.146337
41;512.0;122648;1649753825.3324327
42;512.0;125863;1649753827.4814024
43;512.0;129104;1649753829.658624
44;512.0;132444;1649753831.937523
45;512.0;135657;1649753834.1205456
46;512.0;138931;1649753836.331181
47;512.0;142251;1649753838.5771155
48;512.0;145477;1649753840.8103757
49;512.0;148819;1649753843.0709043
50;512.0;152146;1649753845.289303
51;512.0;155484;1649753847.5724633
52;512.0;158793;1649753849.848802
53;512.0;162107;1649753852.079318
54;512.0;165452;1649753854.3142798
55;512.0;168807;1649753856.6063175
56;512.0;172165;1649753858.895403
57;512.0;175568;1649753861.2348175
58;512.0;178959;1649753863.5370278
59;512.0;182334;1649753865.8241446
60;512.0;185752;1649753868.1045372
61;512.0;189131;1649753870.3712316
62;512.0;192621;1649753872.6726065
