;train/length;Steps;Wall_Time
0;4.4140625;6835;1651410314.328515
1;4.5234375;9159;1651410315.672449
2;4.640625;18511;1651410321.0316293
3;4.3515625;19644;1651410321.6885278
4;5.109375;26965;1651410325.8003037
5;4.75;28178;1651410326.4799135
6;5.1484375;34644;1651410330.0206895
7;5.2421875;37252;1651410331.4385283
8;5.8984375;47304;1651410336.9110694
9;5.890625;50336;1651410338.5660217
10;5.7890625;54949;1651410341.000323
11;6.1953125;66061;1651410346.8838036
12;6.21875;77127;1651410352.855977
13;6.296875;93179;1651410361.4712691
14;6.5078125;98067;1651410364.0273633
15;6.4296875;102947;1651410366.5364738
16;6.328125;112664;1651410371.5626135
17;6.2890625;117533;1651410374.1286392
18;6.2578125;123936;1651410377.4040236
19;6.2421875;130323;1651410380.7164178
20;6.2421875;138400;1651410385.0172458
21;6.1171875;154352;1651410393.6024969
22;6.1640625;157505;1651410395.2833421
23;6.46875;159144;1651410396.1582131
24;6.484375;165568;1651410399.546531
25;6.2109375;181732;1651410408.0940473
26;6.453125;191572;1651410413.2288818
27;6.328125;203218;1651410419.294089
28;6.8046875;206588;1651410421.0486784
29;6.796875;210009;1651410422.8271596
30;6.78125;216823;1651410426.3896518
31;6.5859375;221900;1651410428.9890037
32;6.7265625;223636;1651410429.8684833
33;6.6484375;232289;1651410434.6862438
34;6.796875;240997;1651410439.6588848
35;6.8984375;247938;1651410443.34689
36;7.0234375;249713;1651410444.2668161
37;6.6484375;267290;1651410456.8494487
38;6.6796875;274256;1651410460.3799615
39;6.9765625;296992;1651410472.0259025
40;6.734375;300480;1651410473.8246891
41;6.8984375;307578;1651410477.4776978
42;6.75;321810;1651410484.7578173
43;6.953125;341191;1651410494.7104084
44;7.2109375;342969;1651410495.6268203
45;6.890625;351985;1651410500.238622
46;7.1015625;355594;1651410502.0709271
47;7.0078125;362840;1651410505.7912464
48;6.9609375;366415;1651410507.6389546
49;7.046875;387658;1651410518.5106187
50;7.0703125;410700;1651410530.4306319
51;7.0390625;419638;1651410534.997156
52;6.828125;424953;1651410537.7235692
53;6.5234375;450897;1651410551.105273
54;6.6796875;459430;1651410555.4898922
55;6.984375;492697;1651410572.5589676
56;6.734375;503270;1651410578.016319
57;7.0625;536333;1651410598.7074656
58;6.9296875;541613;1651410601.4375358
59;6.953125;550349;1651410605.9467657
60;6.9140625;552114;1651410606.8847167
61;6.9453125;560967;1651410611.4235198
62;6.765625;564384;1651410613.1951885
63;6.765625;566100;1651410614.1141708
64;6.953125;587186;1651410625.48362
65;7.1328125;604865;1651410634.770631
66;6.8828125;617274;1651410641.250563
67;6.5;627913;1651410646.7199244
68;7.1640625;631489;1651410648.5250287
69;6.84375;661540;1651410663.8822532
70;6.7734375;679196;1651410672.8885708
71;6.953125;689843;1651410678.4331362
72;7.3046875;695268;1651410681.195681
73;7.21875;705975;1651410686.666938
74;7.171875;713186;1651410690.360862
75;7.125;722043;1651410694.9882812
76;7.1015625;734556;1651410701.4439895
77;7.1875;747193;1651410707.8920872
78;7.3046875;759993;1651410714.3833613
79;7.28125;771127;1651410723.9039056
80;7.34375;787781;1651410732.376668
81;7.125;825071;1651410751.202728
82;7.390625;845550;1651410761.471497
83;7.4140625;851076;1651410764.2081106
84;6.96875;862127;1651410769.7829473
85;7.1875;876874;1651410777.1457982
86;7.3046875;893365;1651410785.3954139
87;7.5078125;900826;1651410789.1070576
88;7.15625;908188;1651410792.7738183
89;7.3671875;922795;1651410800.1201367
90;7.140625;935738;1651410806.6525996
91;7.40625;948771;1651410813.263762
92;7.3671875;963637;1651410820.79161
93;7.5078125;971249;1651410824.6414
94;7.765625;984671;1651410831.4517925
95;7.6015625;996198;1651410837.2694983
96;7.3828125;998100;1651410838.2389295
97;7.296875;1020995;1651410849.781139
98;7.5;1032499;1651410859.5061462
99;7.3984375;1034377;1651410860.4497535
100;7.625;1051324;1651410868.9444573
101;7.3984375;1053218;1651410869.902351
102;7.4765625;1055144;1651410870.8695924
103;7.125;1068360;1651410877.5325155
104;7.1328125;1081496;1651410884.1850104
105;7.3671875;1102282;1651410894.6680274
106;7.3203125;1121219;1651410904.2541175
107;7.3046875;1134636;1651410911.0171032
108;7.546875;1138481;1651410912.9338698
109;7.578125;1140411;1651410913.9099638
110;7.59375;1161667;1651410924.6229744
111;7.2890625;1165536;1651410926.5940096
112;7.9453125;1169419;1651410928.5269556
113;7.3125;1211729;1651410949.7852452
114;7.421875;1242053;1651410965.1319072
115;7.390625;1245817;1651410967.0568986
116;7.2578125;1247698;1651410968.0224762
117;7.9375;1290752;1651410993.7796566
118;7.6484375;1294668;1651410995.7440631
119;7.640625;1303413;1651411000.1454458
120;7.5078125;1326550;1651411011.6998777
121;7.7734375;1335990;1651411016.4542773
122;7.3359375;1339775;1651411018.3501077
123;7.3203125;1351198;1651411024.1135497
124;7.4296875;1356764;1651411026.9588206
125;7.296875;1366248;1651411031.8074071
126;7.7109375;1375721;1651411036.6061704
127;7.5;1381364;1651411039.4726489
128;7.3359375;1388806;1651411043.2905405
129;7.3203125;1403894;1651411050.9060006
130;7.4921875;1437375;1651411067.9438388
131;7.40625;1448833;1651411073.7607937
132;7.65625;1466013;1651411082.5135677
133;7.4140625;1471896;1651411085.5030017
134;7.4375;1490211;1651411094.9210076
135;7.8671875;1497126;1651411098.394307
136;7.640625;1504904;1651411102.3663
137;7.5859375;1508780;1651411104.33387
138;7.859375;1510834;1651411105.3542154
139;7.8671875;1515814;1651411107.8512523
140;7.53125;1536384;1651411118.2668626
141;7.5625;1538338;1651411119.2423596
142;7.46875;1546049;1651411127.2320442
143;7.8515625;1551957;1651411130.211998
144;7.5859375;1555795;1651411132.138864
145;7.8046875;1568559;1651411138.5677075
146;7.6328125;1570478;1651411139.5291865
147;7.609375;1598733;1651411153.8063314
148;7.5703125;1608487;1651411158.7486582
149;7.3984375;1616202;1651411162.6657913
150;7.671875;1625827;1651411167.5518403
151;7.5703125;1638458;1651411173.9291418
152;7.46875;1648065;1651411178.800509
153;7.515625;1676843;1651411193.4319072
154;7.8203125;1692397;1651411201.3258765
155;7.78125;1696279;1651411203.2782423
156;7.7109375;1707920;1651411209.2500865
157;7.7421875;1757123;1651411234.3623497
158;7.9921875;1781220;1651411246.4250782
159;7.8828125;1782229;1651411246.9322972
160;7.9609375;1795378;1651411257.7322454
161;8.0;1815626;1651411267.9851182
162;7.9453125;1825753;1651411273.1391063
163;7.8125;1833764;1651411277.1725137
164;7.8984375;1858759;1651411289.7940524
165;7.8515625;1859764;1651411290.2999856
166;7.53125;1867697;1651411294.30538
167;7.921875;1879526;1651411300.2149458
168;7.6171875;1897436;1651411309.10974
169;7.765625;1908401;1651411314.5856235
170;7.8203125;1916408;1651411318.6098766
171;8.03125;1918451;1651411319.6486216
172;7.890625;1919461;1651411320.1600757
173;8.015625;1920487;1651411320.6874175
174;7.78125;1928480;1651411324.7535787
175;7.9609375;1935532;1651411328.3502471
176;8.0390625;1940559;1651411330.8903277
177;8.03125;1963887;1651411342.7459788
178;7.8203125;1968944;1651411345.2654114
179;7.984375;1982120;1651411351.8072464
180;8.0;1998435;1651411359.985121
181;8.0625;2025036;1651411373.3879821
182;8.03125;2038486;1651411380.112843
183;7.8828125;2042627;1651411382.160085
184;8.015625;2064141;1651411397.221573
185;8.140625;2071219;1651411400.760224
186;7.984375;2075344;1651411402.8207283
187;7.8984375;2094720;1651411412.4230406
188;7.9609375;2106938;1651411418.4885676
189;7.8828125;2128150;1651411429.1648252
190;7.8125;2129150;1651411429.6585295
191;7.9765625;2160376;1651411445.2176492
192;7.9609375;2161395;1651411445.725926
193;8.1484375;2172457;1651411451.3874683
194;7.9375;2176542;1651411453.4318001
195;7.7109375;2210485;1651411470.5998182
196;7.9453125;2216466;1651411473.6068275
197;7.828125;2220444;1651411475.635408
198;7.9609375;2225480;1651411478.180154
199;7.8125;2230462;1651411480.727255
200;7.625;2233467;1651411482.2411828
201;7.984375;2249367;1651411490.3180811
202;7.6875;2255219;1651411493.2264109
203;7.484375;2262085;1651411496.6717327
204;7.5390625;2269901;1651411500.5797546
205;7.75;2288577;1651411509.9784517
206;7.7421875;2326043;1651411532.690946
207;7.734375;2334990;1651411537.2221887
