;train/reward;Steps;Wall_Time
0;-10.438045501708984;10240;1651158871.0994532
1;-10.433316230773926;20480;1651158875.663837
2;-10.40804386138916;30720;1651158880.2162955
3;-10.395735740661621;40960;1651158884.6924188
4;-10.316929817199707;51200;1651158889.2159188
5;-10.365524291992188;61440;1651158893.75927
6;-10.381046295166016;71680;1651158898.2316384
7;-10.265276908874512;81920;1651158902.7354174
8;-10.248991966247559;92160;1651158907.212545
9;-10.313033103942871;102400;1651158911.7331052
10;-10.310888290405273;112640;1651158916.2404819
11;-10.28342056274414;122880;1651158920.7717977
12;-10.376266479492188;133120;1651158925.2371314
13;-10.271235466003418;143360;1651158929.7551556
14;-10.281906127929688;153600;1651158934.232883
15;-10.31904125213623;163840;1651158938.8597567
16;-10.333984375;174080;1651158943.561154
17;-10.165817260742188;184320;1651158954.5178497
18;-10.222959518432617;194560;1651158965.4203353
19;-10.295546531677246;204800;1651158976.1521182
20;-10.223820686340332;215040;1651158988.8571467
21;-10.22039794921875;225280;1651159001.3721936
22;-10.140532493591309;235520;1651159013.983826
23;-10.206717491149902;245760;1651159026.5018866
24;-10.252104759216309;256000;1651159039.1529067
25;-10.252690315246582;266240;1651159051.7231185
26;-10.20305061340332;276480;1651159064.1526303
27;-10.211795806884766;286720;1651159077.3576374
28;-10.139740943908691;296960;1651159090.3452518
29;-10.206361770629883;307200;1651159103.117963
30;-10.19482707977295;317440;1651159115.5033462
31;-10.10341739654541;327680;1651159127.9664192
32;-10.29111099243164;337920;1651159140.705615
33;-10.190237045288086;348160;1651159153.483267
34;-10.075141906738281;358400;1651159166.0041578
35;-10.056961059570312;368640;1651159178.7186253
36;-10.121920585632324;378880;1651159191.4595733
37;-10.123032569885254;389120;1651159204.0507898
38;-10.103277206420898;399360;1651159216.6440368
39;-10.050530433654785;409600;1651159229.2981873
40;-10.105595588684082;419840;1651159241.9546204
41;-10.24695873260498;430080;1651159254.5550103
42;-10.153332710266113;440320;1651159267.1584578
43;-10.183365821838379;450560;1651159279.8269124
44;-10.057082176208496;460800;1651159292.6147547
45;-10.088716506958008;471040;1651159305.472911
46;-10.074511528015137;481280;1651159318.144736
47;-9.986109733581543;491520;1651159330.937171
48;-10.006710052490234;501760;1651159343.445821
49;-10.093879699707031;512000;1651159356.243299
50;-10.070837020874023;522240;1651159368.8324406
51;-10.000022888183594;532480;1651159381.7973473
52;-10.054388999938965;542720;1651159394.4143703
53;-10.018224716186523;552960;1651159407.12388
54;-9.946161270141602;563200;1651159419.998106
55;-9.950786590576172;573440;1651159433.0394282
56;-10.074337005615234;583680;1651159446.0151858
57;-9.944408416748047;593920;1651159459.0838954
58;-9.983186721801758;604160;1651159471.2311747
59;-9.961758613586426;614400;1651159484.2597075
60;-9.934456825256348;624640;1651159496.8747458
61;-10.032691955566406;634880;1651159508.9774048
62;-10.002755165100098;645120;1651159521.9619236
63;-9.869166374206543;655360;1651159534.529692
64;-9.907557487487793;665600;1651159547.663504
65;-9.857940673828125;675840;1651159561.001278
66;-9.888294219970703;686080;1651159574.3342505
67;-9.847901344299316;696320;1651159587.5652401
68;-9.894463539123535;706560;1651159600.7501235
69;-9.827305793762207;716800;1651159614.004118
70;-9.918054580688477;727040;1651159627.1073763
71;-9.798398971557617;737280;1651159640.2365277
