;update/loss/alpha;Steps;Wall_Time
0;0.0;1;1651355972.4000015
1;-0.0015397894894704223;2;1651355973.707085
2;-0.0031164195388555527;3;1651355975.028145
3;-0.004688924644142389;4;1651355976.372239
4;-0.00622987188398838;5;1651355977.7212846
5;-0.007784536574035883;6;1651355979.0557609
6;-0.009352661669254303;7;1651355980.3802714
7;-0.010925008915364742;8;1651355981.7172267
8;-0.012488482519984245;9;1651355983.0331047
9;-0.014043119736015797;10;1651355984.3421438
10;-0.015605425462126732;11;1651355985.6529713
11;-0.017166074365377426;12;1651355986.966216
12;-0.01872500590980053;13;1651355988.2912016
13;-0.02028658054769039;14;1651355989.607782
14;-0.02185826562345028;15;1651355990.9853847
15;-0.023406773805618286;16;1651355992.5361278
16;-0.024967869743704796;17;1651355993.858646
17;-0.026529377326369286;18;1651355995.1622736
18;-0.028111444786190987;19;1651355996.4836667
19;-0.02965187467634678;20;1651355997.8081043
20;-0.03121008910238743;21;1651355999.1423833
21;-0.032761797308921814;22;1651356000.4643505
22;-0.03430109843611717;23;1651356001.788344
23;-0.035852015018463135;24;1651356003.106248
24;-0.037413839250802994;25;1651356004.4171772
25;-0.03896598890423775;26;1651356005.744829
26;-0.04049607366323471;27;1651356007.0677173
27;-0.04208816960453987;28;1651356008.4013433
28;-0.04361230134963989;29;1651356009.7328844
29;-0.045158322900533676;30;1651356011.0542789
30;-0.04672608897089958;31;1651356012.385604
31;-0.048263221979141235;32;1651356013.7784271
32;-0.049835942685604095;33;1651356015.089642
33;-0.051383547484874725;34;1651356016.4024022
34;-0.05292849987745285;35;1651356017.7191267
35;-0.054498277604579926;36;1651356019.0433013
36;-0.05605927109718323;37;1651356020.3815439
37;-0.057610128074884415;38;1651356021.7081494
38;-0.05914992839097977;39;1651356023.100566
39;-0.060714900493621826;40;1651356024.4193566
40;-0.062260039150714874;41;1651356025.7667794
41;-0.06382664293050766;42;1651356027.1043015
42;-0.06537780165672302;43;1651356028.4449592
43;-0.06693681329488754;44;1651356029.758406
44;-0.06849373877048492;45;1651356031.0719914
45;-0.07003849744796753;46;1651356032.4010484
46;-0.07156738638877869;47;1651356033.7378
47;-0.07311347872018814;48;1651356035.241949
48;-0.07466429471969604;49;1651356036.6987138
49;-0.07621140033006668;50;1651356038.1483443
50;-0.07778812944889069;51;1651356039.4861429
51;-0.07932297140359879;52;1651356040.8212807
52;-0.08085267245769501;53;1651356042.1590157
53;-0.0823625847697258;54;1651356043.509199
54;-0.0838872641324997;55;1651356044.8578644
55;-0.08539341390132904;56;1651356046.1686635
56;-0.08690261095762253;57;1651356047.48881
57;-0.0884309932589531;58;1651356048.8181605
58;-0.08995838463306427;59;1651356050.1501842
59;-0.09149468690156937;60;1651356051.4750285
60;-0.09302347153425217;61;1651356052.8094
61;-0.0945548489689827;62;1651356054.141447
62;-0.09607980400323868;63;1651356055.4500322
63;-0.09760311245918274;64;1651356056.7732031
64;-0.09914719313383102;65;1651356058.1772444
65;-0.10065367072820663;66;1651356059.5094326
66;-0.1021832749247551;67;1651356060.8287024
67;-0.10370539873838425;68;1651356062.1387057
68;-0.10521925985813141;69;1651356063.4635947
69;-0.10673408955335617;70;1651356064.8040144
70;-0.10826941579580307;71;1651356066.1239622
71;-0.10976963490247726;72;1651356067.4601212
72;-0.11129827052354813;73;1651356068.7878156
73;-0.11280851811170578;74;1651356070.0970972
74;-0.11433865129947662;75;1651356071.4035237
75;-0.11587046086788177;76;1651356072.7502942
76;-0.11740080267190933;77;1651356074.0667868
77;-0.11892452836036682;78;1651356075.3969972
78;-0.12043999880552292;79;1651356076.7087626
79;-0.12194382399320602;80;1651356078.0314524
80;-0.12345226109027863;81;1651356079.375412
81;-0.12496327608823776;82;1651356080.7640026
82;-0.1264960616827011;83;1651356082.1080909
83;-0.12800979614257812;84;1651356083.4273376
84;-0.12955234944820404;85;1651356084.7488363
85;-0.13109330832958221;86;1651356086.0796032
86;-0.13258767127990723;87;1651356087.4017792
87;-0.13412585854530334;88;1651356088.7353253
88;-0.1356460303068161;89;1651356090.0802314
89;-0.13715635240077972;90;1651356091.4199615
90;-0.13870249688625336;91;1651356092.753238
91;-0.1402299404144287;92;1651356094.0731745
92;-0.14175206422805786;93;1651356095.4403327
93;-0.14328180253505707;94;1651356096.7662175
94;-0.14479467272758484;95;1651356098.0788426
95;-0.14630268514156342;96;1651356099.3837247
96;-0.14783349633216858;97;1651356100.697838
