problem,graph_size,embedding_dim,hidden_dim,n_encode_layers,normalization,tanh_clipping,rl_algorithm,lr_actor,lr_critic1,lr_critic2,lr_scheduler_type,decay_lr,lr_decay,cyc_base_lr,cyc_max_lr,cyc_step_size_up,cyc_step_size_down,decay_eps,n_train_envs,n_test_envs,epc_factor,bs_factor,es_factor,te_factor,gamma,n_step,target_freq,eps_train,eps_test,repeat_per_collect,critic_class_str,eps_clip,vf_coef,ent_coef,gae_lambda,critics_embedding_dim,tau,alpha_ent,target_ent,lr_alpha_ent,n_epochs,negate_critics_output,v1critic_activation,v1critic_inv_visited,max_grad_norm,neg_PG,seed,data_distribution,run_name
tsp,20,128,128,3,instance,0.0,DQN,5E-04,,,cyclic,FALSE,0.9992,,,,,TRUE,64,64,2,20,100,20,1.0,5,50,0.5,0.2,,,,,,,,,,,,50,,,,,,,dist,run_036_
tsp,20,128,128,3,instance,0.0,DQN,5E-04,,,cyclic,FALSE,0.9992,,,,,TRUE,64,64,2,20,100,20,1.0,5,50,0.5,0.2,,,,,,,,,,,,50,,,,,,,dist,run_037_
tsp,20,128,128,3,instance,0.0,DQN,5E-04,,,cyclic,FALSE,0.9992,,,,,TRUE,64,64,2,20,100,20,1.0,10,50,0.5,0.2,,,,,,,,,,,,50,,,,,,,dist,run_038_
tsp,20,128,128,3,instance,0.0,DQN,5E-04,,,cyclic,FALSE,0.9992,,,,,TRUE,64,64,2,20,100,20,1.0,10,50,0.5,0.2,,,,,,,,,,,,50,,,,,,,dist,run_039_
tsp,20,128,128,3,batch,0.0,PG,5E-05,,,exp,FALSE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,1,,,,,,,,,,,50,,,,,FALSE,,dist,run_040_
tsp,20,128,128,3,batch,0.0,PG,5E-05,,,exp,FALSE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,1,,,,,,,,,,,50,,,,,FALSE,,dist,run_041_
tsp,20,128,128,3,instance,0.0,PG,5E-05,,,exp,FALSE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,2,,,,,,,,,,,50,,,,,FALSE,,dist,run_042_
tsp,20,128,128,3,instance,0.0,PG,5E-05,,,exp,FALSE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,4,,,,,,,,,,,50,,,,,FALSE,,dist,run_043_
tsp,20,128,128,3,instance,0.0,PG,5E-05,,,exp,FALSE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,8,,,,,,,,,,,50,,,,,FALSE,,dist,run_044_
tsp,20,128,128,3,instance,0.0,PG,5E-05,,,exp,TRUE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,1,,,,,,,,,,,50,,,,,TRUE,,dist,run_045_
tsp,20,128,128,3,instance,0.0,PG,5E-05,,,exp,TRUE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,1,,,,,,,,,,,50,,,,,TRUE,,dist,run_046_
tsp,20,128,128,3,instance,0.0,SAC,1E-04,1E-05,1E-05,,,,,,,,,64,64,2,1,100,20,1.0,,,,,,v3,,,,,128,0.005,,-1,3E-04,50,TRUE,leaky,FALSE,,,,dist,run_047_
tsp,20,128,128,3,instance,0.0,SAC,1E-04,1E-05,1E-05,,,,,,,,,64,64,2,1,100,20,1.0,,,,,,v3,,,,,128,0.005,,-1,3E-04,50,TRUE,leaky,FALSE,,,,dist,run_048_
tsp,20,128,128,3,instance,0.0,SAC,1E-04,1E-05,1E-05,,,,,,,,,64,64,2,1,100,20,1.0,,,,,,v3,,,,,128,0.005,,0,3E-04,50,TRUE,leaky,FALSE,,,,dist,run_049_
tsp,20,128,128,3,instance,0.0,SAC,1E-04,1E-05,1E-05,,,,,,,,,64,64,2,1,100,20,1.0,,,,,,v3,,,,,128,0.005,,0,3E-04,50,TRUE,leaky,FALSE,,,,dist,run_050_
tsp,20,128,128,3,instance,0.0,PPO,1E-04,5E-05,,exp,TRUE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,1,v3,0.2,0.5,0.01,1.00,128,,,,,50,TRUE,leaky,FALSE,,,,dist,run_051_
tsp,20,128,128,3,instance,0.0,PPO,1E-04,5E-05,,exp,TRUE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,1,v3,0.5,0.5,0.01,1.00,128,,,,,50,TRUE,leaky,FALSE,,,,dist,run_052_
tsp,20,128,128,3,instance,0.0,PPO,1E-04,5E-05,,exp,TRUE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,1,v3,0.1,0.5,0.01,1.00,128,,,,,50,TRUE,leaky,FALSE,,,,dist,run_053_
tsp,20,128,128,3,instance,0.0,PPO,1E-04,5E-05,,exp,TRUE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,1,v3,0.01,0.5,0.01,1.00,128,,,,,50,TRUE,leaky,FALSE,,,,dist,run_054_
tsp,20,128,128,3,instance,1.0,PPO,1E-04,5E-05,,exp,TRUE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,1,v3,0.2,0.5,0.01,1.00,128,,,,,50,TRUE,leaky,FALSE,,,,dist,run_055_
tsp,20,128,128,3,instance,10.0,PPO,1E-04,5E-05,,exp,TRUE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,1,v3,0.2,0.5,0.01,1.00,128,,,,,50,TRUE,leaky,FALSE,,,,dist,run_056_
tsp,20,128,128,3,instance,100.0,PPO,1E-04,5E-05,,exp,TRUE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,1,v3,0.2,0.5,0.01,1.00,128,,,,,50,TRUE,leaky,FALSE,,,,dist,run_057_
tsp,20,128,128,3,instance,0.0,PPO,1E-04,5E-05,,exp,TRUE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,1,v3,0.2,0.5,0.01,1.00,128,,,,,50,TRUE,leaky,FALSE,0.1,,,dist,run_058_
tsp,20,128,128,3,instance,0.0,PPO,1E-04,5E-05,,exp,TRUE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,1,v3,0.2,0.5,0.01,1.00,128,,,,,50,TRUE,leaky,FALSE,1.0,,,dist,run_059_
tsp,20,128,128,3,instance,0.0,PPO,1E-04,5E-05,,exp,TRUE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,1,v3,0.2,0.5,0.01,1.00,128,,,,,50,TRUE,leaky,FALSE,10.0,,,dist,run_060_
tsp,20,128,128,3,instance,0.0,PPO,1E-04,5E-05,,exp,TRUE,0.9992,,,,,,64,64,2,,100,20,1.0,,,,,1,v3,0.2,0.5,0.01,1.00,128,,,,,50,TRUE,leaky,FALSE,100.0,,,dist,run_061_
